,Latitude,Longitude,A,B,C,D
0,-6.795194858644155,107.58243735773125,45,66,77,83
1,-6.795376559052513,107.58225750965866,98,98,98,98
2,-6.7953755945379,107.58243832267794,98,98,98,98
3,-6.795374629955934,107.58261913567097,98,98,98,98
4,-6.795373665306613,107.58279994863771,98,98,98,98
5,-6.795372700589941,107.5829807615782,98,98,98,98
6,-6.795558259443805,107.58207766145132,98,98,98,98
7,-6.795557294970661,107.58225847456426,98,98,98,98
8,-6.795556330430162,107.5824392876509,45,66,77,83
9,-6.795555365822309,107.5826201007113,98,98,98,98
10,-6.795554401147098,107.58280091374544,98,98,98,98
11,-6.795553436404534,107.58298172675329,98,98,98,98
12,-6.795552471594615,107.58316253973489,45,66,77,83
13,-6.7955515067173415,107.5833433526902,62,71,88,91
14,-6.795738995386356,107.58207862631578,98,98,98,98
15,-6.7957380308873265,107.58225943949608,39,61,74,80
16,-6.7957370663209415,107.58244025265013,45,66,77,83
17,-6.795736101687201,107.58262106577791,98,98,98,98
18,-6.795735136986102,107.58280187887942,45,66,77,83
19,-6.795734172217648,107.58298269195467,98,98,98,98
20,-6.795733207381836,107.58316350500364,98,98,98,98
21,-6.795732242478667,107.58334431802633,98,98,98,98
22,-6.795919731327423,107.58207959120651,98,98,98,98
23,-6.7959187668025125,107.5822604044542,45,66,77,83
24,-6.79591780221024,107.58244121767562,98,98,98,98
25,-6.795916837550612,107.58262203087078,98,98,98,98
26,-6.795915872823624,107.58280284403969,98,98,98,98
27,-6.795914908029278,107.5829836571823,98,98,98,98
28,-6.795913943167574,107.58316447029867,45,66,77,83
29,-6.79591297823851,107.58334528338875,98,98,98,98
30,-6.7961014317504445,107.58189974278214,98,98,98,98
31,-6.796100467267009,107.58208055612347,45,66,77,83
32,-6.796099502716213,107.58226136943856,98,98,98,98
33,-6.796098538098057,107.58244218272738,45,66,77,83
34,-6.796097573412539,107.58262299598992,62,71,88,91
35,-6.796096608659663,107.58280380922622,98,98,98,98
36,-6.7960956438394255,107.58298462243623,45,66,77,83
37,-6.796094678951828,107.58316543561996,45,66,77,83
38,-6.796282167714432,107.581900707658,98,98,98,98
39,-6.796281203205113,107.58208152106673,98,98,98,98
40,-6.796280238628433,107.5822623344492,98,98,98,98
41,-6.796279273984392,107.58244314780539,98,98,98,98
42,-6.796278309272987,107.58262396113534,45,66,77,83
43,-6.796277344494221,107.582804774439,45,66,77,83
44,-6.796276379648093,107.58298558771641,62,71,88,91
45,-6.796275414734601,107.58316640096754,98,98,98,98
46,-6.796462903676935,107.58190167256012,98,98,98,98
47,-6.796461939141736,107.58208248603624,98,98,98,98
48,-6.796460974539171,107.58226329948609,98,98,98,98
49,-6.796460009869244,107.58244411290968,39,61,74,80
50,-6.796459045131952,107.582624926307,45,66,77,83
51,-6.796458080327296,107.58280573967807,45,66,77,83
52,-6.796457115455277,107.58298655302286,45,66,77,83
53,-6.796456150515892,107.58316736634139,98,98,98,98
54,-6.796644604131675,107.58172182391871,98,98,98,98
55,-6.796643639637958,107.58190263748848,98,98,98,98
56,-6.7966426750768765,107.58208345103199,98,98,98,98
57,-6.796641710448428,107.58226426454925,98,98,98,98
58,-6.796640745752615,107.58244507804022,98,98,98,98
59,-6.796639780989435,107.58262589150495,98,98,98,98
60,-6.79663881615889,107.58280670494341,98,98,98,98
61,-6.796637851260979,107.58298751835558,98,98,98,98
62,-6.796825340117096,107.58172278880596,98,98,98,98
63,-6.7968243755975,107.58190360244312,98,98,98,98
64,-6.796823411010535,107.58208441605403,98,98,98,98
65,-6.796822446356202,107.58226522963867,57,72,81,86
