,Latitude,Longitude,A,B,C,D
0,-6.842652377371411,107.59679676005214,98,98,98,98
1,-6.84265140071595,107.59697758870631,98,98,98,98
2,-6.842834087462748,107.59661690845282,98,98,98,98
3,-6.842833110849079,107.59679773720127,98,98,98,98
4,-6.842832134167584,107.59697856592331,98,98,98,98
5,-6.842831157418265,107.59715939461891,98,98,98,98
6,-6.843014820964953,107.5966178855605,98,98,98,98
7,-6.843013844325253,107.59679871437683,39,61,74,80
8,-6.843012867617726,107.59697954316671,98,98,98,98
9,-6.843011890842372,107.59716037193017,98,98,98,98
10,-6.843010913999192,107.59734120066722,39,61,74,80
11,-6.843195554465665,107.59661886269461,98,98,98,98
12,-6.843194577799932,107.5967996915788,98,98,98,98
13,-6.843193601066372,107.59698052043655,98,98,98,98
14,-6.843192624264982,107.59716134926788,39,61,74,80
15,-6.843191647395767,107.59734217807278,39,61,74,80
16,-6.8431906704587195,107.59752300685126,98,98,98,98
17,-6.843189693453846,107.5977038356033,98,98,98,98
18,-6.843376287964885,107.59661983985515,98,98,98,98
19,-6.84337531127312,107.59680066880718,98,98,98,98
20,-6.843374334513527,107.5969814977328,98,98,98,98
21,-6.843373357686103,107.59716232663199,39,61,74,80
22,-6.843372380790847,107.59734315550476,45,66,77,83
23,-6.843371403827763,107.59752398435108,39,61,74,80
24,-6.84337042679685,107.597704813171,98,98,98,98
25,-6.843557021462609,107.5966208170421,45,66,77,83
26,-6.8435560447448145,107.59680164606199,98,98,98,98
27,-6.843555067959185,107.59698247505547,39,61,74,80
28,-6.843554091105727,107.59716330402253,98,98,98,98
29,-6.843553114184434,107.59734413296316,39,61,74,80
30,-6.843552137195312,107.59752496187737,39,61,74,80
31,-6.8435511601383565,107.59770579076515,39,61,74,80
32,-6.843738731634834,107.59644096514127,45,66,77,83
33,-6.843737754958841,107.59662179425547,98,98,98,98
34,-6.843736778215013,107.59680262334322,98,98,98,98
35,-6.843735801403352,107.59698345240457,39,61,74,80
36,-6.843734824523858,107.5971642814395,98,98,98,98
37,-6.843733847576528,107.597345110448,57,72,81,86
38,-6.843732870561366,107.59752593943007,57,72,81,86
39,-6.843731893478372,107.59770676838572,98,98,98,98
40,-6.843921418356141,107.59608028386982,98,98,98,98
41,-6.843920441789789,107.59626111310472,98,98,98,98
42,-6.843919465155603,107.59644194231319,98,98,98,98
43,-6.8439184884535775,107.59662277149525,39,61,74,80
44,-6.843917511683719,107.59680360065089,98,98,98,98
45,-6.843916534846025,107.5969844297801,39,61,74,80
46,-6.843915557940495,107.59716525888288,57,72,81,86
47,-6.843914580967129,107.59734608795925,57,72,81,86
48,-6.843913603925928,107.59752691700919,57,72,81,86
49,-6.843912626816891,107.5977077460327,57,72,81,86
50,-6.8441031284520095,107.59590043160325,45,66,77,83
51,-6.844102151927469,107.59608126093242,45,66,77,83
52,-6.844101175335091,107.59626209023519,98,98,98,98
53,-6.844100198674875,107.59644291951153,98,98,98,98
54,-6.844099221946822,107.59662374876146,98,98,98,98
55,-6.844098245150931,107.59680457798495,98,98,98,98
56,-6.8440972682872045,107.59698540718203,57,72,81,86
57,-6.844096291355639,107.5971662363527,57,72,81,86
58,-6.8440953143562355,107.59734706549693,57,72,81,86
59,-6.844094337288997,107.59752789461476,57,72,81,86
60,-6.844093360153918,107.59770872370613,57,72,81,86
61,-6.84428386204787,107.59590140862439,39,61,74,80
62,-6.844282885497304,107.59608223802142,57,72,81,86
63,-6.844281908878901,107.59626306739207,98,98,98,98
64,-6.844280932192657,107.59644389673628,98,98,98,98
65,-6.844279955438574,107.59662472605407,98,98,98,98
66,-6.844278978616652,107.59680555534545,57,72,81,86
67,-6.844278001726889,107.5969863846104,57,72,81,86
68,-6.844277024769291,107.59716721384895,57,72,81,86
69,-6.84427604774385,107.59734804306106,57,72,81,86
70,-6.84427507065057,107.59752887224674,57,72,81,86
71,-6.844274093489453,107.59770970140599,57,72,81,86
