,Latitude,Longitude,A,B,C,D
0,-6.897934202006977,107.63417159306567,98,98,98,98
1,-6.897933203341932,107.63435243718018,98,98,98,98
2,-6.8979322046085185,107.63453328126786,98,98,98,98
3,-6.897931205806738,107.63471412532876,98,98,98,98
4,-6.897930206936589,107.6348949693628,98,98,98,98
5,-6.898114929648502,107.6341725923536,98,98,98,98
6,-6.898113930957047,107.6343534365365,98,98,98,98
7,-6.898112932197222,107.63453428069262,98,98,98,98
8,-6.898111933369028,107.6347151248219,57,72,81,86
9,-6.898110934472465,107.63489596892437,57,72,81,86
10,-6.898109935507532,107.63507681300003,98,98,98,98
11,-6.898108936474229,107.63525765704884,98,98,98,98
12,-6.898107937372556,107.63543850107084,98,98,98,98
13,-6.898106938202515,107.63561934506602,98,98,98,98
14,-6.898105938964105,107.63580018903437,98,98,98,98
15,-6.898295657288516,107.63417359166833,98,98,98,98
16,-6.898294658570652,107.63435443591966,98,98,98,98
17,-6.898293659784416,107.63453528014418,98,98,98,98
18,-6.898292660929809,107.63471612434186,57,72,81,86
19,-6.898291662006829,107.63489696851275,57,72,81,86
20,-6.898290663015479,107.63507781265682,98,98,98,98
21,-6.898289663955758,107.63525865677406,57,72,81,86
22,-6.898288664827666,107.63543950086446,57,72,81,86
23,-6.8982876656312015,107.63562034492806,98,98,98,98
24,-6.898286666366366,107.63580118896483,98,98,98,98
25,-6.898285667033161,107.63598203297475,98,98,98,98
26,-6.898284667631583,107.63616287695787,98,98,98,98
27,-6.898283668161633,107.63634372091413,98,98,98,98
28,-6.898476384927021,107.63417459100987,98,98,98,98
29,-6.898475386182749,107.63435543532962,98,98,98,98
30,-6.8984743873701,107.63453627962254,98,98,98,98
31,-6.898473388489078,107.63471712388866,98,98,98,98
32,-6.898472389539685,107.63489796812796,57,72,81,86
33,-6.898471390521918,107.63507881234044,57,72,81,86
34,-6.898470391435778,107.63525965652607,57,72,81,86
35,-6.898469392281266,107.63544050068491,57,72,81,86
36,-6.898468393058378,107.63562134481693,57,72,81,86
37,-6.898467393767118,107.6358021889221,57,72,81,86
38,-6.898466394407484,107.63598303300044,98,98,98,98
39,-6.898465394979479,107.63616387705196,98,98,98,98
40,-6.898464395483103,107.63634472107665,98,98,98,98
41,-6.898463395918352,107.6365255650745,98,98,98,98
42,-6.898462396285228,107.63670640904552,98,98,98,98
43,-6.8984613965837305,107.6368872529897,98,98,98,98
44,-6.898657112564018,107.63417559037823,98,98,98,98
45,-6.898656113793335,107.6343564347664,57,72,81,86
46,-6.898655114954276,107.63453727912774,57,72,81,86
47,-6.898654116046841,107.63471812346226,98,98,98,98
48,-6.8986531170710315,107.63489896776998,57,72,81,86
49,-6.898652118026846,107.63507981205086,57,72,81,86
50,-6.898651118914288,107.63526065630495,57,72,81,86
51,-6.898650119733354,107.63544150053218,57,72,81,86
52,-6.898649120484045,107.63562234473261,57,72,81,86
53,-6.898648121166361,107.6358031889062,57,72,81,86
54,-6.898647121780302,107.63598403305296,57,72,81,86
55,-6.898646122325869,107.6361648771729,39,61,74,80
56,-6.898645122803061,107.636345721266,98,98,98,98
57,-6.898644123211879,107.63652656533228,98,98,98,98
58,-6.898643123552322,107.63670740937171,98,98,98,98
59,-6.89864212382439,107.63688825338429,98,98,98,98
60,-6.898641124028083,107.63706909737004,57,72,81,86
61,-6.898640124163405,107.63724994132896,98,98,98,98
62,-6.898838838928222,107.63399574529002,98,98,98,98
63,-6.898837840199506,107.6341765897734,98,98,98,98
64,-6.898836841402411,107.63435743422998,57,72,81,86
65,-6.89883584253694,107.63453827865975,57,72,81,86
66,-6.898834843603092,107.6347191230627,57,72,81,86
67,-6.898833844600868,107.63489996743883,57,72,81,86
68,-6.898832845530267,107.63508081178813,57,72,81,86
69,-6.898831846391287,107.63526165611061,98,98,98,98
70,-6.898830847183934,107.63544250040628,57,72,81,86
71,-6.8988298479082015,107.63562334467512,57,72,81,86
72,-6.898828848564094,107.63580418891713,98,98,98,98
73,-6.898827849151608,107.63598503313231,57,72,81,86
74,-6.898826849670749,107.63616587732066,57,72,81,86
75,-6.8988258501215105,107.63634672148218,57,72,81,86
76,-6.898824850503896,107.63652756561687,57,72,81,86
77,-6.898823850817906,107.63670840972472,98,98,98,98
78,-6.89882285106354,107.63688925380573,57,72,81,86
79,-6.898821851240798,107.63707009785989,57,72,81,86
80,-6.899019566588607,107.63399674464358,98,98,98,98
81,-6.899018567833482,107.63417758919539,98,98,98,98
82,-6.899017569009979,107.6343584337204,57,72,81,86
83,-6.899016570118095,107.63453927821857,57,72,81,86
84,-6.899015571157835,107.63472012268993,57,72,81,86
85,-6.899014572129195,107.63490096713448,57,72,81,86
86,-6.899013573032177,107.63508181155221,98,98,98,98
87,-6.899012573866779,107.63526265594312,57,72,81,86
88,-6.899011574633003,107.6354435003072,57,72,81,86
89,-6.89901057533085,107.63562434464447,57,72,81,86
90,-6.899009575960317,107.63580518895489,98,98,98,98
91,-6.899008576521406,107.6359860332385,57,72,81,86
92,-6.8990075770141175,107.63616687749527,57,72,81,86
93,-6.899006577438449,107.6363477217252,57,72,81,86
94,-6.899005577794406,107.6365285659283,57,72,81,86
95,-6.89900457808198,107.63670941010457,98,98,98,98
96,-6.89900357830118,107.636890254254,57,72,81,86
97,-6.8990025784519995,107.6370710983766,57,72,81,86
98,-6.899200294247485,107.63399774402396,98,98,98,98
99,-6.89919929546595,107.63417858864419,98,98,98,98
100,-6.899198296616036,107.6343594332376,57,72,81,86
101,-6.899197297697742,107.6345402778042,57,72,81,86
102,-6.899196298711068,107.63472112234399,57,72,81,86
103,-6.899195299656013,107.63490196685697,57,72,81,86
104,-6.899194300532576,107.63508281134311,98,98,98,98
105,-6.899193301340761,107.63526365580245,57,72,81,86
106,-6.899192302080564,107.63544450023495,57,72,81,86
107,-6.899191302751989,107.63562534464063,98,98,98,98
108,-6.899190303355031,107.63580618901949,98,98,98,98
109,-6.899189303889694,107.6359870333715,57,72,81,86
110,-6.899188304355977,107.6361678776967,57,72,81,86
111,-6.89918730475388,107.63634872199506,98,98,98,98
112,-6.899186305083402,107.63652956626657,98,98,98,98
113,-6.899185305344545,107.63671041051127,98,98,98,98
114,-6.899184305537308,107.63689125472914,98,98,98,98
115,-6.899183305661691,107.63707209892013,98,98,98,98
116,-6.899380023096908,107.63417958811979,98,98,98,98
117,-6.899379024220586,107.63436043278163,98,98,98,98
118,-6.8993780252758805,107.63454127741667,98,98,98,98
119,-6.899377026262793,107.63472212202487,98,98,98,98
120,-6.899376027181321,107.63490296660628,98,98,98,98
121,-6.899375028031468,107.63508381116085,98,98,98,98
122,-6.899374028813233,107.6352646556886,57,72,81,86
