,Latitude,Longitude,A,B,C,D
0,-6.974362810283273,107.60547474964119,98,98,98,98
1,-6.974543541514118,107.60547574910882,98,98,98,98
2,-6.974542542807044,107.60565662662147,98,98,98,98
3,-6.974541544030829,107.60583750410757,98,98,98,98
4,-6.974540545185475,107.60601838156714,98,98,98,98
5,-6.974539546270977,107.60619925900016,98,98,98,98
6,-6.9747252714075,107.6052958709946,98,98,98,98
7,-6.97472427274344,107.60547674860298,98,98,98,98
8,-6.974723274010239,107.60565762618484,98,98,98,98
9,-6.974722275207896,107.60583850374013,98,98,98,98
10,-6.97472127633641,107.6060193812689,98,98,98,98
11,-6.9747202773957815,107.60620025877112,98,98,98,98
12,-6.9747192783860115,107.6063811362468,98,98,98,98
13,-6.9747182793070985,107.60656201369592,98,98,98,98
14,-6.974717280159043,107.6067428911185,98,98,98,98
15,-6.974906002661425,107.60529687044611,98,98,98,98
16,-6.974905003971242,107.60547774812369,57,72,81,86
17,-6.974904005211914,107.60565862577472,98,98,98,98
18,-6.9749030063834425,107.60583950339924,57,72,81,86
19,-6.9749020074858255,107.6060203809972,57,72,81,86
20,-6.9749010085190655,107.60620125856862,57,72,81,86
21,-6.97490000948316,107.60638213611348,57,72,81,86
22,-6.974899010378111,107.6065630136318,39,61,74,80
23,-6.974898011203917,107.60674389112359,39,61,74,80
24,-6.975086733913828,107.60529786992414,98,98,98,98
25,-6.975085735197518,107.60547874767093,98,98,98,98
26,-6.9750847364120645,107.60565962539117,98,98,98,98
27,-6.975083737557464,107.60584050308488,57,72,81,86
28,-6.975082738633717,107.60602138075203,57,72,81,86
29,-6.9750817396408245,107.60620225839264,57,72,81,86
30,-6.975080740578786,107.60638313600673,57,72,81,86
31,-6.975079741447601,107.60656401359424,39,61,74,80
32,-6.975078742247271,107.60674489115522,39,61,74,80
33,-6.975268463837992,107.60511799158621,98,98,98,98
34,-6.975267465164706,107.60529886942872,98,98,98,98
35,-6.975266466422273,107.6054797472447,98,98,98,98
36,-6.975265467610693,107.60566062503415,98,98,98,98
37,-6.9752644687299625,107.60584150279705,98,98,98,98
38,-6.975263469780085,107.60602238053342,98,98,98,98
39,-6.975262470761061,107.60620325824323,57,72,81,86
40,-6.975261471672888,107.6063841359265,57,72,81,86
41,-6.975260472515567,107.60656501358322,39,61,74,80
42,-6.975259473289098,107.6067458912134,39,61,74,80
43,-6.975449195113472,107.60511899104813,98,98,98,98
44,-6.975448196414064,107.60529986895983,57,72,81,86
45,-6.975447197645506,107.60548074684502,98,98,98,98
46,-6.975446198807798,107.60566162470367,98,98,98,98
47,-6.975445199900941,107.60584250253578,98,98,98,98
48,-6.975444200924932,107.60602338034134,57,72,81,86
49,-6.975443201879775,107.60620425812036,57,72,81,86
50,-6.975442202765469,107.60638513587283,57,72,81,86
51,-6.975441203582011,107.60656601359877,39,61,74,80
52,-6.975440204329405,107.60674689129813,39,61,74,80
53,-6.9756299263874295,107.60511999053656,98,98,98,98
54,-6.975628927661898,107.60530086851749,98,98,98,98
55,-6.9756279288672145,107.60548174647188,57,72,81,86
56,-6.97562693000338,107.60566262439973,57,72,81,86
57,-6.975625931070393,107.60584350230103,98,98,98,98
58,-6.975624932068254,107.6060243801758,98,98,98,98
59,-6.975623932996966,107.60620525802403,98,98,98,98
60,-6.975622933856524,107.60638613584571,57,72,81,86
61,-6.975621934646931,107.60656701364084,57,72,81,86
62,-6.975620935368188,107.60674789140941,57,72,81,86
63,-6.975810657659864,107.60512099005153,98,98,98,98
64,-6.97580965890821,107.60530186810166,98,98,98,98
65,-6.9758086600874005,107.60548274612526,98,98,98,98
66,-6.97580766119744,107.60566362412231,57,72,81,86
67,-6.975806662238325,107.60584450209284,39,61,74,80
68,-6.975805663210055,107.60602538003681,57,72,81,86
69,-6.9758046641126334,107.60620625795424,39,61,74,80
70,-6.975803664946058,107.60638713584513,57,72,81,86
71,-6.975802665710329,107.60656801370946,57,72,81,86
72,-6.975801666405447,107.60674889154726,98,98,98,98
73,-6.975992387639398,107.60494111144718,98,98,98,98
74,-6.975991388930776,107.60512198959306,98,98,98,98
75,-6.975990390152997,107.6053028677124,98,98,98,98
76,-6.975989391306065,107.6054837458052,98,98,98,98
77,-6.975988392389976,107.60566462387146,98,98,98,98
78,-6.975987393404731,107.60584550191119,39,61,74,80
79,-6.9759863943503335,107.60602637992436,57,72,81,86
80,-6.975985395226777,107.60620725791101,57,72,81,86
81,-6.975984396034068,107.6063881358711,57,72,81,86
82,-6.975983396772205,107.60656901380464,57,72,81,86
83,-6.975982397441185,107.60674989171166,57,72,81,86
84,-6.976173118934909,107.60494211094601,98,98,98,98
85,-6.976172120200165,107.6051229891611,98,98,98,98
86,-6.976171121396263,107.60530386734965,98,98,98,98
87,-6.976170122523205,107.60548474551166,98,98,98,98
88,-6.9761691235809895,107.60566562364714,98,98,98,98
89,-6.976168124569617,107.60584650175608,39,61,74,80
90,-6.976167125489088,107.60602737983847,98,98,98,98
91,-6.9761661263394,107.60620825789431,98,98,98,98
92,-6.976165127120556,107.60638913592362,57,72,81,86
93,-6.976164127832557,107.60657001392637,98,98,98,98
94,-6.976163128475399,107.60675089190258,39,61,74,80
95,-6.976353850228896,107.6049431104714,98,98,98,98
96,-6.97635285146803,107.6051239887557,98,98,98,98
97,-6.976351852638006,107.60530486701344,98,98,98,98
98,-6.976350853738822,107.60548574524466,39,61,74,80
99,-6.976349854770479,107.60566662344937,45,66,77,83
100,-6.9763488557329785,107.60584750162751,62,71,88,91
101,-6.976347856626317,107.6060283797791,98,98,98,98
102,-6.976346857450498,107.60620925790418,98,98,98,98
103,-6.976345858205521,107.60639013600269,98,98,98,98
104,-6.976344858891385,107.60657101407466,39,61,74,80
105,-6.976343859508089,107.60675189212007,39,61,74,80
106,-6.9765355802391875,107.60476323164325,98,98,98,98
107,-6.97653458152136,107.6049441100233,98,98,98,98
108,-6.976533582734373,107.6051249883768,98,98,98,98
109,-6.976532583878225,107.60530586670377,39,61,74,80
110,-6.976531584952914,107.60548674500421,39,61,74,80
111,-6.976530585958446,107.60566762327811,45,66,77,83
112,-6.9765295868948165,107.60584850152547,45,66,77,83
113,-6.976528587762026,107.60602937974629,45,66,77,83
114,-6.976527588560074,107.60621025794056,45,66,77,83
115,-6.976526589288962,107.6063911361083,98,98,98,98
116,-6.976525589948689,107.60657201424948,45,66,77,83
117,-6.976524590539258,107.60675289236411,39,61,74,80
118,-6.976716311556248,107.60476423115247,98,98,98,98
119,-6.976715312812301,107.60494510960172,98,98,98,98
120,-6.976714313999194,107.60512598802445,98,98,98,98
121,-6.976713315116922,107.60530686642063,39,61,74,80
122,-6.9767123161654885,107.6054877447903,45,66,77,83
123,-6.976711317144891,107.60566862313341,45,66,77,83
124,-6.976710318055131,107.60584950145,45,66,77,83
125,-6.976709318896212,107.60603037974002,45,66,77,83
126,-6.976708319668128,107.60621125800353,45,66,77,83
127,-6.976707320370882,107.60639213624047,62,71,88,91
128,-6.976706321004473,107.60657301445086,98,98,98,98
129,-6.976897042871786,107.60476523068822,98,98,98,98
130,-6.97689604410172,107.6049461092067,98,98,98,98
131,-6.97689504526249,107.60512698769864,98,98,98,98
132,-6.9768940463540945,107.60530786616405,39,61,74,80
133,-6.976893047376535,107.60548874460292,62,71,88,91
134,-6.9768920483298125,107.60566962301526,98,98,98,98
135,-6.9768910492139256,107.60585050140105,98,98,98,98
136,-6.976890050028874,107.6060313797603,62,71,88,91
137,-6.976889050774657,107.60621225809301,39,61,74,80
138,-6.976888051451277,107.60639313639916,98,98,98,98
139,-6.976887052058733,107.60657401467878,62,71,88,91
140,-6.9770777741858,107.60476623025049,39,61,74,80
141,-6.977076775389615,107.60494710883819,98,98,98,98
142,-6.977075776524263,107.60512798739936,39,61,74,80
143,-6.9770747775897455,107.60530886593398,39,61,74,80
144,-6.977073778586062,107.60548974444208,45,66,77,83
145,-6.977072779513212,107.60567062292364,98,98,98,98
146,-6.977071780371194,107.60585150137865,62,71,88,91
147,-6.977070781160013,107.60603237980712,45,53,67,72
148,-6.977069781879663,107.60621325820904,45,66,77,83
149,-6.977068782530147,107.60639413658443,98,98,98,98
150,-6.977067783111468,107.60657501493326,45,66,77,83
151,-6.97725950425143,107.60458635115586,57,72,81,86
152,-6.977258505498293,107.60476722983931,98,98,98,98
153,-6.977257506675989,107.60494810849623,45,66,77,83
154,-6.977256507784514,107.60512898712662,45,66,77,83
155,-6.9772555088238715,107.60530986573048,45,66,77,83
156,-6.977254509794063,107.60549074430777,45,66,77,83
157,-6.977253510695086,107.60567162285855,45,66,77,83
158,-6.97725251152694,107.60585250138278,45,66,77,83
159,-6.9772515122896275,107.60603337988047,45,66,77,83
160,-6.977250512983146,107.60621425835163,45,66,77,83
161,-6.9772495136074975,107.60639513679624,45,66,77,83
162,-6.977248514162682,107.60657601521429,98,98,98,98
163,-6.977440235588516,107.60458735070199,39,61,74,80
164,-6.977439236809262,107.60476822945465,98,98,98,98
165,-6.977438237960836,107.60494910818079,98,98,98,98
166,-6.977437239043241,107.60512998688041,98,98,98,98
167,-6.977436240056477,107.60531086555348,62,71,88,91
168,-6.977435241000541,107.60549174420002,45,66,77,83
169,-6.977434241875437,107.60567262282002,98,98,98,98
170,-6.977433242681162,107.60585350141346,45,66,77,83
171,-6.977432243417718,107.60603437998039,45,66,77,83
172,-6.977431244085105,107.60621525852076,98,98,98,98
173,-6.9774302446833225,107.60639613703458,45,66,77,83
174,-6.97742924521237,107.60657701552186,45,66,77,83
175,-6.97762096692408,107.60458835027464,39,61,74,80
176,-6.977619968118708,107.60476922909652,98,98,98,98
177,-6.977618969244162,107.6049501078919,98,98,98,98
178,-6.977617970300446,107.60513098666074,45,66,77,83
179,-6.977616971287557,107.60531186540304,45,66,77,83
180,-6.977615972205496,107.60549274411879,98,98,98,98
181,-6.977614973054266,107.60567362280801,45,66,77,83
182,-6.977613973833862,107.60585450147069,45,66,77,83
183,-6.977612974544288,107.60603538010683,98,98,98,98
184,-6.9776119751855425,107.60621625871643,98,98,98,98
185,-6.977610975757625,107.60639713729948,45,66,77,83
186,-6.977609976260537,107.60657801585599,45,66,77,83
187,-6.97780169825812,107.60458934987382,45,66,77,83
188,-6.977800699426629,107.60477022876493,98,98,98,98
189,-6.977799700525964,107.60495110762953,98,98,98,98
190,-6.977798701556125,107.6051319864676,98,98,98,98
191,-6.977797702517114,107.60531286527912,45,66,77,83
192,-6.97779670340893,107.6054937440641,45,66,77,83
193,-6.97779570423157,107.60567462282256,45,66,77,83
194,-6.977794704985039,107.60585550155446,45,66,77,83
195,-6.977793705669334,107.60603638025982,98,98,98,98
196,-6.977792706284455,107.60621725893866,45,66,77,83
197,-6.977791706830405,107.60639813759093,98,98,98,98
198,-6.977790707307179,107.60657901621666,39,61,74,80
199,-6.977983428379071,107.60440947051264,98,98,98,98
200,-6.9779824295906385,107.60459034949952,98,98,98,98
201,-6.977981430733029,107.60477122845988,98,98,98,98
202,-6.977980431806245,107.6049521073937,98,98,98,98
203,-6.977979432810284,107.60513298630099,98,98,98,98
204,-6.9779784337451485,107.60531386518174,98,98,98,98
205,-6.977977434610838,107.60549474403595,98,98,98,98
206,-6.977976435407352,107.60567562286363,45,66,77,83
207,-6.977975436134691,107.60585650166476,45,66,77,83
208,-6.977974436792855,107.60603738043936,62,71,88,91
209,-6.977973437381844,107.60621825918741,45,53,67,72
210,-6.977972437901658,107.60639913790892,39,61,74,80
211,-6.977971438352299,107.60658001660389,45,66,77,83
212,-6.978164159736183,107.60441047009564,98,98,98,98
213,-6.978163160921633,107.60459134915176,98,98,98,98
214,-6.978162162037905,107.60477222818133,98,98,98,98
215,-6.978161163085001,107.60495310718439,98,98,98,98
216,-6.978160164062919,107.60513398616092,98,98,98,98
217,-6.97815916497166,107.6053148651109,98,98,98,98
218,-6.978158165811224,107.60549574403436,45,66,77,83
219,-6.978157166581612,107.60567662293126,45,66,77,83
220,-6.978156167282822,107.60585750180162,62,71,88,91
221,-6.978155167914855,107.60603838064544,45,53,67,72
222,-6.978154168477711,107.60621925946273,45,66,77,83
223,-6.978153168971391,107.60640013825348,45,66,77,83
224,-6.978152169395894,107.60658101701765,45,66,77,83
225,-6.97834489109177,107.60441146970518,98,98,98,98
226,-6.978343892251104,107.60459234883052,98,98,98,98
227,-6.9783428933412575,107.60477322792934,98,98,98,98
228,-6.978341894362234,107.60495410700163,98,98,98,98
229,-6.978340895314029,107.60513498604737,98,98,98,98
230,-6.9783398961966485,107.6053158650666,98,98,98,98
231,-6.978338897010087,107.60549674405928,98,98,98,98
232,-6.978337897754347,107.60567762302541,98,98,98,98
233,-6.978336898429428,107.60585850196502,45,53,67,72
234,-6.978335899035331,107.60603938087807,45,66,77,83
235,-6.978334899572054,107.6062202597646,45,66,77,83
236,-6.9783339000396,107.60640113862456,45,66,77,83
237,-6.978332900437967,107.60658201745797,39,61,74,80
238,-6.9783309010271655,107.60694377504517,39,61,74,80
239,-6.978329901217996,107.60712465379893,98,98,98,98
240,-6.9783289013396494,107.60730553252614,57,72,81,86
241,-6.978327901392124,107.60748641122679,57,72,81,86
242,-6.978525622445834,107.60441246934126,62,71,88,91
243,-6.978524623579051,107.60459334853583,62,71,88,91
244,-6.978523624643088,107.60477422770389,62,71,88,91
245,-6.978522625637943,107.6049551068454,98,98,98,98
246,-6.9785216265636185,107.60513598596039,98,98,98,98
247,-6.978520627420112,107.60531686504883,62,71,88,91
248,-6.978519628207425,107.60549774411075,62,71,88,91
249,-6.978518628925559,107.60567862314612,98,98,98,98
250,-6.97851762957451,107.60585950215496,62,71,88,91
251,-6.978516630154282,107.60604038113725,98,98,98,98
252,-6.978515630664873,107.606221260093,45,66,77,83
253,-6.978514631106284,107.6064021390222,45,66,77,83
254,-6.978513631478514,107.60658301792485,45,66,77,83
255,-6.978512631781566,107.60676389680096,39,61,74,80
256,-6.978511632015435,107.6069447756505,45,66,77,83
257,-6.978510632180126,107.6071256544735,98,98,98,98
258,-6.978509632275634,107.60730653326995,57,72,81,86
259,-6.978508632301965,107.60748741203983,57,72,81,86
260,-6.9787063537983745,107.60441346900383,62,71,88,91
261,-6.9787053549054745,107.60459434826765,62,71,88,91
262,-6.978704355943393,107.60477522750493,62,71,88,91
263,-6.978703356912129,107.60495610671569,62,71,88,91
264,-6.978702357811682,107.60513698589992,98,98,98,98
265,-6.978701358642053,107.6053178650576,98,98,98,98
266,-6.97870035940324,107.60549874418875,98,98,98,98
267,-6.978699360095247,107.60567962329337,45,66,77,83
268,-6.978698360718069,107.60586050237144,45,66,77,83
269,-6.978697361271711,107.60604138142297,98,98,98,98
270,-6.978696361756169,107.60622226044795,39,61,74,80
271,-6.978695362171446,107.60640313944639,45,66,77,83
272,-6.9786943625175395,107.60658401841827,98,98,98,98
273,-6.978693362794453,107.6067648973636,39,61,74,80
274,-6.978692363002184,107.6069457762824,45,66,77,83
275,-6.978691363140731,107.60712665517462,45,66,77,83
276,-6.978690363210097,107.6073075340403,98,98,98,98
277,-6.978689363210281,107.60748841287943,98,98,98,98
278,-6.978888083999222,107.60423358933336,98,98,98,98
279,-6.978887085149391,107.60441446869297,62,71,88,91
280,-6.978886086230374,107.60459534802601,62,71,88,91
281,-6.978885087242175,107.60477622733254,62,71,88,91
282,-6.978884088184791,107.60495710661253,62,71,88,91
283,-6.978883089058222,107.605137985866,62,71,88,91
284,-6.978882089862469,107.60531886509293,62,71,88,91
285,-6.978881090597532,107.60549974429331,98,98,98,98
286,-6.978880091263411,107.60568062346715,98,98,98,98
287,-6.9788790918601045,107.60586150261446,98,98,98,98
288,-6.978878092387615,107.60604238173522,45,66,77,83
289,-6.9788770928459405,107.60622326082944,98,98,98,98
290,-6.978876093235082,107.60640413989712,45,66,77,83
291,-6.978875093555041,107.60658501893823,98,98,98,98
292,-6.978874093805816,107.60676589795281,98,98,98,98
293,-6.978873093987406,107.60694677694084,39,61,74,80
294,-6.9788720940998115,107.60712765590232,98,98,98,98
295,-6.9788710941430345,107.60730853483723,57,72,81,86
296,-6.978870094117075,107.6074894137456,57,72,81,86
297,-6.979069814181589,107.60405370952444,45,66,77,83
