,Latitude,Longitude,A,B,C,D
0,-7.001667707438592,107.66749013025785,62,71,88,91
1,-7.001666681022783,107.66767100912301,98,98,98,98
2,-7.001881238912371,107.66170301729804,45,66,77,83
3,-7.001880214690649,107.6618838971013,39,61,74,80
4,-7.001879190399527,107.66206477687747,45,66,77,83
5,-7.0018781660390035,107.66224565662651,98,98,98,98
6,-7.001849455767366,107.66731027858195,98,98,98,98
7,-7.001848429394209,107.66749115754375,39,61,74,80
8,-7.001847402951653,107.66767203647838,98,98,98,98
9,-7.002062985900449,107.66152316248855,98,98,98,98
10,-7.002061961721441,107.6617040423884,39,61,74,80
11,-7.00206093747303,107.66188492226114,39,61,74,80
12,-7.0020599131552155,107.66206580210675,98,98,98,98
13,-7.002058888767998,107.66224668192525,98,98,98,98
14,-7.002057864311376,107.66242756171663,98,98,98,98
15,-7.00205683978535,107.66260844148088,98,98,98,98
16,-7.002031204078696,107.66713042676716,98,98,98,98
17,-7.002030177748194,107.66731130582558,45,66,77,83
18,-7.002029151348292,107.66749218485683,98,98,98,98
19,-7.002028124878986,107.66767306386093,45,66,77,83
20,-7.002245756937847,107.66116242751662,98,98,98,98
21,-7.002244732870963,107.66134330754014,45,66,77,83
22,-7.002243708734674,107.66152418753656,98,98,98,98
23,-7.0022426845289765,107.66170506750588,98,98,98,98
24,-7.002241660253877,107.66188594744807,39,61,74,80
25,-7.002240635909369,107.66206682736316,98,98,98,98
26,-7.002239611495456,107.66224770725111,98,98,98,98
27,-7.002238587012139,107.66242858711196,98,98,98,98
28,-7.002237562459416,107.66260946694568,98,98,98,98
29,-7.002236537837289,107.66279034675227,98,98,98,98
30,-7.002212952372574,107.66695057481343,98,98,98,98
31,-7.002211926084733,107.66713145396848,98,98,98,98
32,-7.002210899727488,107.66731233309638,98,98,98,98
33,-7.002209873300838,107.6674932121971,45,66,77,83
34,-7.002208846804784,107.66767409127064,62,71,88,91
35,-7.002429551688171,107.66062081201115,98,98,98,98
36,-7.002428527802824,107.66080169218547,98,98,98,98
37,-7.002427503848071,107.6609825723327,98,98,98,98
38,-7.002426479823909,107.6611634524528,98,98,98,98
39,-7.002425455730339,107.6613443325458,98,98,98,98
40,-7.0024244315673645,107.66152521261169,39,61,74,80
41,-7.0024234073349785,107.66170609265048,98,98,98,98
42,-7.002422383033187,107.66188697266213,45,66,77,83
43,-7.002421358661988,107.66206785264667,98,98,98,98
44,-7.002420334221383,107.66224873260411,39,61,74,80
45,-7.002419309711369,107.66242961253441,39,61,74,80
46,-7.002418285131948,107.6626104924376,39,61,74,80
47,-7.00241726048312,107.66279137231366,62,71,88,91
48,-7.002416235764886,107.66297225216259,98,98,98,98
49,-7.002415210977243,107.66315313198439,98,98,98,98
50,-7.002394700648999,107.66677072272078,98,98,98,98
51,-7.00239367440382,107.66695160197247,39,61,74,80
52,-7.002392648089236,107.667132481197,45,66,77,83
53,-7.002391621705246,107.66731336039435,62,71,88,91
54,-7.00239059525185,107.66749423956453,45,66,77,83
55,-7.002389568729047,107.66767511870754,62,71,88,91
56,-7.002614369606752,107.65989831551987,98,98,98,98
57,-7.002613345972363,107.66007919587206,45,66,77,83
58,-7.002612322268566,107.66026007619716,45,66,77,83
59,-7.00261129849536,107.66044095649517,45,66,77,83
60,-7.002610274652743,107.66062183676605,45,66,77,83
61,-7.002609250740717,107.66080271700984,45,66,77,83
62,-7.002608226759281,107.66098359722653,45,66,77,83
63,-7.002607202708437,107.66116447741611,45,66,77,83
64,-7.002606178588183,107.66134535757858,45,66,77,83
65,-7.002605154398519,107.66152623771393,98,98,98,98
66,-7.002604130139447,107.66170711782217,45,66,77,83
67,-7.002603105810965,107.6618879979033,98,98,98,98
68,-7.002602081413073,107.66206887795731,98,98,98,98
69,-7.002601056945774,107.66224975798421,98,98,98,98
70,-7.002600032409064,107.66243063798399,98,98,98,98
71,-7.002599007802945,107.66261151795663,45,66,77,83
72,-7.002597983127418,107.66279239790217,98,98,98,98
73,-7.002596958382482,107.66297327782056,45,66,77,83
74,-7.002595933568137,107.66315415771183,39,61,74,80
75,-7.002594908684382,107.66333503757596,45,66,77,83
76,-7.002576448907962,107.6665908704892,98,98,98,98
77,-7.0025754227054495,107.66677174983752,45,66,77,83
78,-7.0025743964335305,107.66695262915869,45,66,77,83
79,-7.002573370092204,107.66713350845268,98,98,98,98
80,-7.00257234368147,107.66731438771949,45,66,77,83
81,-7.002571317201325,107.66749526695914,45,66,77,83
82,-7.002570290651777,107.6676761461716,45,66,77,83
83,-7.002797139790372,107.65953757909938,45,66,77,83
84,-7.0027961162681365,107.65971845957525,45,66,77,83
