,Latitude,Longitude,A,B,C,D
0,-6.901753458601133,107.56347799043448,98,98,98,98
1,-6.90175248618334,107.5636588461931,98,98,98,98
2,-6.9019341964017755,107.56347896346581,98,98,98,98
3,-6.90193322395828,107.5636598192929,98,98,98,98
4,-6.902115906601692,107.56329908060157,98,98,98,98
5,-6.902114934200918,107.56347993652322,98,98,98,98
6,-6.902113961731717,107.56366079241879,98,98,98,98
7,-6.902112989194094,107.56384164828823,98,98,98,98
8,-6.90229664442503,107.5633000536166,98,98,98,98
9,-6.902295671998555,107.56348090960672,98,98,98,98
10,-6.902294699503653,107.56366176557076,98,98,98,98
11,-6.902293726940325,107.5638426215087,45,66,77,83
12,-6.902292754308569,107.56402347742052,98,98,98,98
13,-6.902478354630616,107.56312017057306,39,61,74,80
14,-6.9024773822468655,107.56330102665774,62,71,88,91
15,-6.90247640979469,107.56348188271633,45,66,77,83
16,-6.902475437274085,107.56366273874883,98,98,98,98
17,-6.902474464685052,107.56384359475523,45,66,77,83
18,-6.902473492027588,107.56402445073553,98,98,98,98
19,-6.902660064817665,107.56294028739256,57,72,81,86
20,-6.9026590924766476,107.56312114357182,39,61,74,80
21,-6.902658120067201,107.56330199972497,45,66,77,83
22,-6.902657147589323,107.56348285585204,45,66,77,83
23,-6.902656175043015,107.56366371195301,45,66,77,83
24,-6.902655202428276,107.56384456802787,98,98,98,98
25,-6.902654229745107,107.56402542407665,45,66,77,83
26,-6.902653256993508,107.56420628009933,98,98,98,98
27,-6.902840802687894,107.56294126034894,57,72,81,86
28,-6.902839830321179,107.56312211659666,39,61,74,80
29,-6.902838857886032,107.5633029728183,39,61,74,80
30,-6.902837885382451,107.56348382901383,98,98,98,98
31,-6.902836912810442,107.56366468518328,45,66,77,83
32,-6.902835940169998,107.56384554132663,62,71,88,91
33,-6.902834967461121,107.56402639744387,98,98,98,98
34,-6.902833994683814,107.56420725353503,39,61,74,80
35,-6.903022512880598,107.5627613769891,57,72,81,86
36,-6.90302154055662,107.5629422333314,57,72,81,86
37,-6.903020568164208,107.5631230896476,98,98,98,98
38,-6.903019595703362,107.5633039459377,98,98,98,98
39,-6.90301862317408,107.56348480220173,98,98,98,98
40,-6.9030176505763645,107.56366565843966,62,71,88,91
41,-6.903016677910216,107.56384651465147,45,66,77,83
42,-6.903015705175634,107.5640273708372,45,66,77,83
43,-6.903014732372617,107.56420822699681,45,66,77,83
44,-6.903013759501166,107.56438908313034,98,98,98,98
45,-6.903203250773517,107.56276234992919,57,72,81,86
46,-6.9032022784238425,107.56294320633995,57,72,81,86
47,-6.903201306005733,107.56312406272464,98,98,98,98
48,-6.9032003335191865,107.56330491908322,98,98,98,98
49,-6.903199360964204,107.56348577541571,98,98,98,98
50,-6.903198388340786,107.56366663172211,98,98,98,98
51,-6.903197415648932,107.56384748800241,45,66,77,83
52,-6.903196442888642,107.56402834425661,98,98,98,98
53,-6.903195470059918,107.56420920048471,45,66,77,83
54,-6.903194497162756,107.56439005668672,98,98,98,98
55,-6.903193524197159,107.5645709128626,98,98,98,98
56,-6.9033849609718665,107.56258246639001,57,72,81,86
57,-6.903383988664935,107.56276332289535,57,72,81,86
58,-6.903383016289564,107.5629441793746,57,72,81,86
59,-6.903382043845755,107.56312503582775,98,98,98,98
60,-6.90338107133351,107.56330589225483,98,98,98,98
61,-6.903380098752826,107.5634867486558,98,98,98,98
62,-6.9033791261037045,107.56366760503069,62,71,88,91
63,-6.903378153386145,107.56384846137945,62,71,88,91
64,-6.903377180600148,107.56402931770214,98,98,98,98
65,-6.9033762077457155,107.56421017399872,98,98,98,98
66,-6.9033752348228425,107.56439103026919,39,61,74,80
67,-6.903374261831535,107.56457188651356,45,66,77,83
68,-6.903566671151662,107.56240258271387,57,72,81,86
69,-6.903565698887474,107.56258343931378,57,72,81,86
70,-6.903564726554847,107.5627642958876,98,98,98,98
71,-6.90356375415378,107.56294515243535,98,98,98,98
72,-6.903562781684275,107.56312600895697,98,98,98,98
73,-6.903561809146329,107.56330686545252,98,98,98,98
74,-6.903560836539944,107.56348772192199,98,98,98,98
75,-6.903559863865119,107.56366857836534,45,66,77,83
76,-6.903558891121855,107.56384943478261,45,66,77,83
77,-6.903557918310151,107.56403029117376,45,66,77,83
78,-6.903556945430008,107.56421114753881,98,98,98,98
79,-6.903555972481427,107.56439200387778,98,98,98,98
80,-6.903554999464404,107.56457286019064,98,98,98,98
81,-6.903554026378942,107.56475371647737,98,98,98,98
82,-6.903747409091459,107.56240355559524,57,72,81,86
83,-6.903746436801579,107.56258441226365,57,72,81,86
84,-6.903745464443258,107.56276526890595,98,98,98,98
85,-6.9037444920164965,107.56294612552216,98,98,98,98
86,-6.903743519521291,107.56312698211228,98,98,98,98
87,-6.903742546957646,107.56330783867631,98,98,98,98
88,-6.903741574325558,107.56348869521426,98,98,98,98
89,-6.903740601625031,107.5636695517261,98,98,98,98
90,-6.903739628856062,107.56385040821185,62,71,88,91
91,-6.90373865601865,107.56403126467148,45,66,77,83
92,-6.903737683112799,107.56421212110503,98,98,98,98
93,-6.9037367101385065,107.56439297751247,98,98,98,98
94,-6.903735737095772,107.56457383389382,98,98,98,98
95,-6.903734763984598,107.56475469024903,98,98,98,98
96,-6.903929119276881,107.56222367173976,57,72,81,86
97,-6.903928147029754,107.56240452850271,57,72,81,86
98,-6.903927174714181,107.56258538523959,57,72,81,86
99,-6.903926202330165,107.56276624195037,98,98,98,98
100,-6.903925229877706,107.56294709863508,98,98,98,98
101,-6.903924257356804,107.56312795529368,98,98,98,98
102,-6.90392328476746,107.5633088119262,98,98,98,98
103,-6.903922312109671,107.56348966853263,39,61,74,80
104,-6.90392133938344,107.56367052511295,45,66,77,83
105,-6.903920366588765,107.56385138166719,45,53,67,72
106,-6.903919393725647,107.56403223819532,98,98,98,98
107,-6.903918420794088,107.56421309469735,39,61,74,80
108,-6.9039174477940835,107.56439395117327,98,98,98,98
109,-6.903916474725637,107.56457480762309,45,66,77,83
110,-6.903915501588748,107.5647556640468,45,66,77,83
111,-6.9039145283834165,107.5649365204444,98,98,98,98
112,-6.904109857239365,107.5622246446048,57,72,81,86
113,-6.904108884966545,107.56240550143626,57,72,81,86
114,-6.904107912625281,107.56258635824162,39,61,74,80
115,-6.904106940215572,107.5627672150209,39,61,74,80
116,-6.904105967737417,107.56294807177409,98,98,98,98
117,-6.904104995190816,107.56312892850117,98,98,98,98
118,-6.904104022575773,107.5633097852022,98,98,98,98
