,Latitude,Longitude,A,B,C,D
0,-6.990495698848775,107.6616384912669,98,98,98,98
1,-6.990494676308509,107.66181936669784,98,98,98,98
2,-6.990493653698953,107.66200024210167,25,55,70,77
3,-6.99049263102011,107.66218111747837,62,71,88,91
4,-6.99067642175445,107.66163951464911,98,98,98,98
5,-6.990675399187493,107.6618203901494,98,98,98,98
6,-6.9906743765512465,107.66200126562258,98,98,98,98
7,-6.990673353845712,107.66218214106863,98,98,98,98
8,-6.990672331070888,107.66236301648757,98,98,98,98
9,-6.990671308226773,107.6625438918794,62,71,88,91
10,-6.990670285313369,107.66272476724409,62,71,88,91
11,-6.990669262330674,107.66290564258166,45,66,77,83
12,-6.9906682392786905,107.66308651789213,45,66,77,83
13,-6.990667216157418,107.66326739317545,98,98,98,98
14,-6.990666192966855,107.66344826843164,98,98,98,98
15,-6.990665169707005,107.66362914366071,98,98,98,98
16,-6.990664146377863,107.66381001886265,98,98,98,98
17,-6.990663122979435,107.66399089403745,98,98,98,98
18,-6.990662099511715,107.66417176918512,98,98,98,98
19,-6.990661075974706,107.66435264430564,98,98,98,98
20,-6.990858167182942,107.66145966246171,98,98,98,98
21,-6.990857144658591,107.66164053805845,98,98,98,98
22,-6.990856122064946,107.66182141362808,98,98,98,98
23,-6.990855099402009,107.6620022891706,98,98,98,98
24,-6.990854076669781,107.662183164686,98,98,98,98
25,-6.990853053868261,107.6623640401743,98,98,98,98
26,-6.99085203099745,107.66254491563546,25,55,70,77
27,-6.990851008057349,107.6627257910695,98,98,98,98
28,-6.990849985047954,107.66290666647643,98,98,98,98
29,-6.990848961969269,107.66308754185623,98,98,98,98
30,-6.990847938821293,107.6632684172089,98,98,98,98
31,-6.990846915604025,107.66344929253444,98,98,98,98
32,-6.990845892317466,107.66363016783285,98,98,98,98
33,-6.990844868961617,107.66381104310413,98,98,98,98
34,-6.9908438455364745,107.66399191834829,98,98,98,98
35,-6.990842822042043,107.66417279356529,62,71,88,91
36,-6.99084179847832,107.66435366875518,98,98,98,98
37,-6.9908407748453065,107.66453454391791,98,98,98,98
38,-6.990839751143001,107.6647154190535,98,98,98,98
39,-6.990838727371406,107.66489629416195,98,98,98,98
40,-6.99083770353052,107.66507716924326,98,98,98,98
41,-6.9910388901122404,107.66146068582879,98,98,98,98
42,-6.991037867561199,107.66164156149489,98,98,98,98
43,-6.991036844940866,107.66182243713386,98,98,98,98
44,-6.991035822251238,107.66200331274574,98,98,98,98
45,-6.9910347994923185,107.6621841883305,98,98,98,98
