,Latitude,Longitude,A,B,C,D
0,-6.98624078798705,107.5818440066754,39,61,74,80
1,-6.986239796680857,107.58202489208149,39,61,74,80
2,-6.986238805305401,107.58220577746128,39,61,74,80
3,-6.986237813860683,107.58238666281476,57,72,81,86
4,-6.986236822346702,107.58256754814194,98,98,98,98
5,-6.986235830763458,107.5827484334428,98,98,98,98
6,-6.986422513788789,107.58166411328594,39,61,74,80
7,-6.98642152252597,107.58184499878764,39,61,74,80
8,-6.986420531193886,107.58202588426305,57,72,81,86
9,-6.986419539792538,107.58220676971216,39,61,74,80
10,-6.986418548321924,107.58238765513495,57,72,81,86
11,-6.986417556782048,107.58256854053145,57,72,81,86
12,-6.986416565172905,107.58274942590164,39,61,74,80
13,-6.986415573494497,107.58293031124552,98,98,98,98
14,-6.986604239571518,107.58148421975783,39,61,74,80
15,-6.986603248352076,107.58166510535516,39,61,74,80
16,-6.986602257063368,107.58184599092618,39,61,74,80
17,-6.986601265705395,107.5820268764709,57,72,81,86
18,-6.986600274278152,107.58220776198934,98,98,98,98
19,-6.986599282781646,107.58238864748147,39,61,74,80
20,-6.986598291215872,107.58256953294728,57,72,81,86
21,-6.98659729958083,107.58275041838678,57,72,81,86
22,-6.986596307876523,107.58293130379998,57,72,81,86
23,-6.986785965335231,107.58130432609107,39,61,74,80
24,-6.98678497415917,107.58148521178403,98,98,98,98
25,-6.986783982913843,107.58166609745066,39,61,74,80
26,-6.986782991599244,107.58184698309101,39,61,74,80
27,-6.9867820002153795,107.58202786870507,98,98,98,98
28,-6.986781008762245,107.58220875429282,45,66,77,83
29,-6.986780017239842,107.58238963985427,39,61,74,80
30,-6.986779025648171,107.5825705253894,57,72,81,86
31,-6.986778033987234,107.58275141089824,57,72,81,86
32,-6.9867770422570254,107.58293229638076,39,61,74,80
33,-6.98677605045755,107.58311318183698,98,98,98,98
34,-6.986966699947244,107.58130531807423,98,98,98,98
35,-6.986965708745299,107.5814862038365,39,61,74,80
36,-6.986964717474083,107.58166708957248,39,61,74,80
37,-6.986963726133596,107.58184797528216,45,66,77,83
38,-6.986962734723841,107.58202886096554,98,98,98,98
39,-6.986961743244812,107.58220974662261,98,98,98,98
40,-6.986960751696516,107.58239063225338,98,98,98,98
41,-6.986959760078949,107.58257151785784,57,72,81,86
42,-6.98695876839211,107.582752403436,39,61,74,80
43,-6.986957776636005,107.58293328898785,39,61,74,80
44,-6.986956784810626,107.58311417451338,45,66,77,83
45,-6.98695579291598,107.5832950600126,39,61,74,80
46,-6.987148425716296,107.58112542422579,45,66,77,83
47,-6.987147434557737,107.58130631008369,45,66,77,83
48,-6.987146443329905,107.58148719591529,45,66,77,83
49,-6.987145452032803,107.5816680817206,25,55,70,77
50,-6.987144460666427,107.5818489674996,98,98,98,98
51,-6.987143469230778,107.5820298532523,25,55,70,77
52,-6.987142477725859,107.5822107389787,98,98,98,98
53,-6.987141486151668,107.5823916246788,98,98,98,98
54,-6.9871404945082025,107.58257251035259,98,98,98,98
55,-6.9871395027954675,107.58275339600007,98,98,98,98
56,-6.987138511013458,107.58293428162125,39,61,74,80
57,-6.987137519162181,107.5831151672161,39,61,74,80
58,-6.987136527241629,107.58329605278466,98,98,98,98
59,-6.987135535251808,107.5834769383269,39,61,74,80
60,-6.987329160351149,107.58112641619222,39,61,74,80
61,-6.987328169166707,107.58130730211944,39,61,74,80
62,-6.98732717791299,107.58148818802037,39,61,74,80
63,-6.98732618659,107.581669073895,45,66,77,83
64,-6.987325195197732,107.58184995974334,25,55,70,77
65,-6.987324203736195,107.58203084556537,45,66,77,83
66,-6.987323212205381,107.5822117313611,45,66,77,83
67,-6.987322220605294,107.58239261713052,25,55,70,77
68,-6.987321228935936,107.58257350287364,45,66,77,83
69,-6.987320237197301,107.58275438859046,39,61,74,80
70,-6.987319245389393,107.58293527428096,98,98,98,98
71,-6.987318253512212,107.58311615994515,62,71,88,91
72,-6.987317261565757,107.58329704558304,39,61,74,80
73,-6.987316269550028,107.5834779311946,39,61,74,80
74,-6.987315277465027,107.58365881677983,57,72,81,86
75,-6.9873142853107515,107.58383970233876,39,61,74,80
76,-6.9875098949844805,107.58112740818494,39,61,74,80
77,-6.9875089037741525,107.5813082941815,57,72,81,86
78,-6.98750791249455,107.58148918015175,39,61,74,80
79,-6.987506921145672,107.58167006609571,25,55,70,77
80,-6.987505929727518,107.58185095201337,25,55,70,77
81,-6.987504938240087,107.58203183790474,98,98,98,98
82,-6.987503946683382,107.5822127237698,98,98,98,98
83,-6.9875029550574,107.58239360960856,45,53,67,72
84,-6.987501963362144,107.58257449542101,98,98,98,98
85,-6.987500971597611,107.58275538120715,45,66,77,83
86,-6.987499979763804,107.58293626696698,45,66,77,83
87,-6.98749898786072,107.5831171527005,98,98,98,98
88,-6.9874979958883605,107.58329803840772,98,98,98,98
89,-6.987497003846727,107.5834789240886,39,61,74,80
90,-6.987496011735817,107.58365980974318,98,98,98,98
91,-6.987495019555634,107.58384069537144,98,98,98,98
92,-6.987494027306175,107.58402158097337,57,72,81,86
93,-6.987493034987439,107.58420246654899,98,98,98,98
94,-6.98749204259943,107.58438335209827,45,66,77,83
95,-6.987491050142144,107.58456423762124,98,98,98,98
96,-6.9874900576155845,107.58474512311787,98,98,98,98
97,-6.9874890650197505,107.58492600858817,39,61,74,80
98,-6.98748807235464,107.58510689403214,39,61,74,80
99,-6.987689638380077,107.58130928626983,98,98,98,98
100,-6.987688647074589,107.58149017230943,57,72,81,86
101,-6.987687655699822,107.58167105832273,57,72,81,86
102,-6.9876866642557784,107.58185194430972,45,66,77,83
103,-6.987685672742458,107.5820328302704,98,98,98,98
104,-6.987684681159858,107.5822137162048,45,66,77,83
105,-6.987683689507983,107.5823946021129,98,98,98,98
106,-6.98768269778683,107.58257548799469,98,98,98,98
