,Latitude,Longitude,A,B,C,D
0,-6.912021384165196,107.56986356757,98,98,98,98
1,-6.912203097217875,107.56968368564455,57,72,81,86
2,-6.912202120979404,107.56986454448874,98,98,98,98
3,-6.912201144672409,107.57004540330678,98,98,98,98
4,-6.912384810252054,107.56950380358195,57,72,81,86
5,-6.912383834056345,107.56968466252088,57,72,81,86
6,-6.912382857792108,107.56986552143364,57,72,81,86
7,-6.912381881459344,107.57004638032025,39,61,74,80
8,-6.912565547114781,107.56950478041588,57,72,81,86
9,-6.912564570893307,107.56968563942338,57,72,81,86
10,-6.912563594603305,107.56986649840472,57,72,81,86
11,-6.912562618244774,107.5700473573599,57,72,81,86
12,-6.912561641817714,107.5702282162889,98,98,98,98
13,-6.912747260154711,107.56932489817375,57,72,81,86
14,-6.912746283976002,107.56950575727598,57,72,81,86
15,-6.912745307728765,107.56968661635204,57,72,81,86
16,-6.912744331412996,107.56986747540196,57,72,81,86
17,-6.912743355028698,107.57004833442569,57,72,81,86
18,-6.912742378575869,107.57022919342329,57,72,81,86
19,-6.912927997040189,107.5693258749914,57,72,81,86
20,-6.912927020835719,107.56950673416222,57,72,81,86
21,-6.912926044562718,107.56968759330687,57,72,81,86
22,-6.912925068221183,107.56986845242535,98,98,98,98
23,-6.9129240918111154,107.57004931151768,98,98,98,98
24,-6.912923115332519,107.57023017058383,57,72,81,86
25,-6.9129221387853885,107.57041102962383,98,98,98,98
26,-6.913113614047318,107.56842255524602,57,72,81,86
27,-6.913112638159754,107.56860341461616,57,72,81,86
28,-6.913109710085861,107.5691459925697,57,72,81,86
29,-6.913108733924162,107.56932685183524,57,72,81,86
30,-6.913107757693929,107.56950771107462,57,72,81,86
31,-6.913106781395164,107.56968857028784,57,72,81,86
32,-6.913105805027863,107.5698694294749,57,72,81,86
33,-6.913104828592029,107.5700502886358,57,72,81,86
34,-6.913103852087661,107.57023114777054,57,72,81,86
35,-6.913102875514761,107.57041200687911,98,98,98,98
36,-6.913101898873327,107.5705928659615,98,98,98,98
37,-6.913295326903348,107.56824267230823,57,72,81,86
38,-6.913294351058568,107.56842353177309,98,98,98,98
39,-6.913293375145251,107.56860439121184,57,72,81,86
40,-6.9132923991634,107.5687852506244,98,98,98,98
41,-6.913291423113011,107.56896611001083,98,98,98,98
42,-6.913290446994089,107.5691469693711,98,98,98,98
43,-6.913289470806628,107.56932782870523,57,72,81,86
44,-6.913288494550633,107.56950868801319,57,72,81,86
45,-6.913287518226103,107.569689547295,57,72,81,86
46,-6.913286541833038,107.56987040655063,57,72,81,86
47,-6.913285565371436,107.57005126578011,57,72,81,86
48,-6.913284588841299,107.57023212498342,57,72,81,86
49,-6.913283612242626,107.57041298416057,98,98,98,98
50,-6.9132826355754196,107.57059384331154,98,98,98,98
51,-6.913476063938845,107.56824364879287,98,98,98,98
52,-6.913475088068312,107.56842450832634,98,98,98,98
53,-6.913474112129244,107.56860536783365,57,72,81,86
54,-6.9134731361216355,107.56878622731482,57,72,81,86
55,-6.913472160045491,107.56896708676982,57,72,81,86
56,-6.9134711839008105,107.56914794619867,57,72,81,86
57,-6.913470207687589,107.56932880560137,57,72,81,86
58,-6.913469231405833,107.56950966497791,57,72,81,86
59,-6.9134682550555375,107.5696905243283,57,72,81,86
60,-6.913467278636707,107.56987138365251,57,72,81,86
61,-6.913466302149337,107.57005224295058,57,72,81,86
62,-6.913465325593432,107.57023310222247,57,72,81,86
63,-6.913464348968988,107.5704139614682,98,98,98,98
64,-6.9134633722760075,107.57059482068776,57,72,81,86
65,-6.9134623955144905,107.57077567988114,57,72,81,86
66,-6.913656800972835,107.56824462530368,57,72,81,86
67,-6.913655825076552,107.56842548490572,57,72,81,86
68,-6.913654849111729,107.56860634448161,57,72,81,86
69,-6.913653873078368,107.56878720403137,57,72,81,86
70,-6.9136528969764655,107.56896806355495,57,72,81,86
71,-6.913651920806024,107.5691489230524,57,72,81,86
72,-6.913650944567045,107.56932978252367,57,72,81,86
73,-6.9136499682595245,107.56951064196879,57,72,81,86
74,-6.913648991883468,107.56969150138775,57,72,81,86
75,-6.91364801543887,107.56987236078056,57,72,81,86
76,-6.913647038925733,107.5700532201472,57,72,81,86
77,-6.913646062344057,107.57023407948768,57,72,81,86
78,-6.913645085693844,107.57041493880199,57,72,81,86
79,-6.913644108975091,107.57059579809014,57,72,81,86
80,-6.913643132187798,107.57077665735211,39,61,74,80
81,-6.913838513858813,107.56806474214385,57,72,81,86
82,-6.91383753800532,107.56824560184063,57,72,81,86
83,-6.913836562083285,107.56842646151125,57,72,81,86
84,-6.913835586092709,107.56860732115574,57,72,81,86
85,-6.913834610033593,107.56878818077405,98,98,98,98
86,-6.913833633905935,107.56896904036624,98,98,98,98
87,-6.913832657709736,107.56914989993226,57,72,81,86
88,-6.913831681444995,107.56933075947214,57,72,81,86
89,-6.913830705111714,107.56951161898584,57,72,81,86
90,-6.9138297287098895,107.56969247847339,57,72,81,86
91,-6.913828752239527,107.56987333793477,57,72,81,86
92,-6.9138277757006215,107.57005419737,57,72,81,86
93,-6.913826799093178,107.57023505677905,57,72,81,86
94,-6.913825822417192,107.57041591616196,98,98,98,98
95,-6.913824845672665,107.57059677551868,39,61,74,80
96,-6.913823868859598,107.57077763484924,39,61,74,80
97,-6.913822891977991,107.57095849415361,98,98,98,98
98,-6.914019250915543,107.56806571863837,57,72,81,86
99,-6.914018275036299,107.56824657840373,57,72,81,86
100,-6.914017299088514,107.56842743814293,57,72,81,86
101,-6.914016323072184,107.568608297856,57,72,81,86
102,-6.914015346987312,107.56878915754292,57,72,81,86
103,-6.914014370833896,107.56897001720368,98,98,98,98
104,-6.914013394611938,107.5691508768383,57,72,81,86
105,-6.914012418321438,107.56933173644674,98,98,98,98
106,-6.914011441962395,107.56951259602903,57,72,81,86
