,Latitude,Longitude,A,B,C,D
0,-7.0000602733473265,107.63202721513657,98,98,98,98
1,-7.000242013031784,107.63184734498192,98,98,98,98
2,-7.000241000525993,107.63202822853971,98,98,98,98
3,-7.000422740235311,107.63184835834241,98,98,98,98
4,-7.000421727703129,107.63202924196966,98,98,98,98
5,-7.000420715101553,107.6322101255701,57,72,81,86
6,-7.000603467437305,107.63184937172973,98,98,98,98
7,-7.000602454878732,107.63203025542643,39,61,74,80
8,-7.000601442250763,107.63221113909631,39,61,74,80
9,-7.000600429553398,107.6323920227394,98,98,98,98
10,-7.000784194637769,107.63185038514385,98,98,98,98
11,-7.000783182052805,107.63203126891001,98,98,98,98
12,-7.000782169398442,107.63221215264934,39,61,74,80
13,-7.000781156674681,107.63239303636188,39,61,74,80
14,-7.000965934378661,107.63167051472236,98,98,98,98
15,-7.000964921836703,107.63185139858479,39,61,74,80
16,-7.000963909225346,107.6320322824204,98,98,98,98
17,-7.00096289654459,107.63221316622919,98,98,98,98
18,-7.000961883794433,107.63239405001119,98,98,98,98
19,-7.000960870974879,107.63257493376635,98,98,98,98
20,-7.001146661602452,107.63167152812063,98,98,98,98
21,-7.001145649034107,107.63185241205252,45,66,77,83
22,-7.001144636396357,107.6320332959576,39,61,74,80
23,-7.001143623689208,107.63221417983586,98,98,98,98
24,-7.001142610912655,107.6323950636873,98,98,98,98
25,-7.001141598066702,107.63257594751192,45,66,77,83
26,-7.001140585151349,107.63275683130973,98,98,98,98
27,-7.0013273888247145,107.63167254154574,98,98,98,98
28,-7.001326376229977,107.63185342554708,39,61,74,80
29,-7.001325363565836,107.6320343095216,98,98,98,98
30,-7.001324350832293,107.63221519346932,39,61,74,80
31,-7.001323338029345,107.63239607739023,98,98,98,98
32,-7.001322325156995,107.63257696128433,98,98,98,98
33,-7.001321312215243,107.63275784515159,45,66,77,83
34,-7.001320299204087,107.63293872899203,98,98,98,98
35,-7.001508116045445,107.63167355499765,98,98,98,98
36,-7.001507103424318,107.63185443906845,98,98,98,98
37,-7.001506090733784,107.63203532311243,98,98,98,98
38,-7.001505077973848,107.63221620712962,98,98,98,98
39,-7.001504065144504,107.63239709111998,98,98,98,98
40,-7.001503052245757,107.63257797508354,98,98,98,98
41,-7.001502039277606,107.63275885902026,39,61,74,80
42,-7.0015010262400486,107.63293974293018,98,98,98,98
43,-7.001500013133088,107.63312062681325,39,61,74,80
44,-7.001688843264643,107.63167456847637,98,98,98,98
45,-7.001687830617126,107.63185545261662,39,61,74,80
