,Latitude,Longitude,A,B,C,D
0,-6.9570672833455,107.52868539860138,45,66,77,83
1,-6.957066316469055,107.52886628035796,45,66,77,83
2,-6.957065349523627,107.52904716208877,45,66,77,83
3,-6.957064382509215,107.52922804379384,98,98,98,98
4,-6.957063415425823,107.52940892547315,98,98,98,98
5,-6.957062448273448,107.52958980712668,45,66,77,83
6,-6.957061481052091,107.52977068875447,45,66,77,83
7,-6.957060513761753,107.52995157035647,39,61,74,80
8,-6.957059546402432,107.53013245193273,98,98,98,98
9,-6.957258657006222,107.52669666442121,62,71,88,91
10,-6.957257690863249,107.52687754653002,45,66,77,83
11,-6.9572567246512875,107.52705842861309,45,66,77,83
12,-6.957255758370343,107.52723931067041,45,66,77,83
13,-6.957254792020415,107.52742019270201,45,66,77,83
14,-6.957253825601503,107.52760107470786,45,66,77,83
15,-6.957252859113604,107.52778195668797,98,98,98,98
16,-6.957251892556722,107.52796283864234,98,98,98,98
17,-6.957250925930856,107.52814372057095,98,98,98,98
18,-6.9572499592360035,107.52832460247382,98,98,98,98
19,-6.95724899247217,107.52850548435093,98,98,98,98
20,-6.957248025639348,107.5286863662023,45,66,77,83
21,-6.957247058737544,107.52886724802791,98,98,98,98
22,-6.957246091766757,107.52904812982777,98,98,98,98
23,-6.957245124726986,107.52922901160187,39,61,74,80
24,-6.957244157618231,107.5294098933502,98,98,98,98
25,-6.957243190440488,107.52959077507278,45,66,77,83
26,-6.957242223193765,107.5297716567696,45,66,77,83
27,-6.957241255878058,107.52995253844065,45,66,77,83
28,-6.957240288493366,107.53013342008593,57,72,81,86
29,-6.95723932103969,107.53031430170545,57,72,81,86
30,-6.957238353517031,107.53049518329918,57,72,81,86
31,-6.957237385925387,107.53067606486715,57,72,81,86
32,-6.957442297668397,107.52615498460057,98,98,98,98
33,-6.957441331707044,107.5263358668556,62,71,88,91
34,-6.957440365676705,107.5265167490849,45,66,77,83
35,-6.957439399577378,107.52669763128849,45,66,77,83
36,-6.957438433409065,107.52687851346633,45,66,77,83
37,-6.957437467171766,107.52705939561844,45,66,77,83
38,-6.957436500865479,107.52724027774481,45,66,77,83
39,-6.957435534490209,107.52742115984543,45,66,77,83
40,-6.957434568045948,107.52760204192032,45,66,77,83
41,-6.9574336015327045,107.52778292396947,98,98,98,98
42,-6.9574326349504725,107.52796380599287,39,61,74,80
43,-6.957431668299257,107.5281446879905,98,98,98,98
44,-6.957430701579052,107.52832556996242,45,66,77,83
45,-6.957429734789863,107.52850645190858,45,66,77,83
46,-6.957428767931686,107.52868733382897,45,66,77,83
47,-6.957427801004525,107.52886821572362,98,98,98,98
48,-6.957426834008378,107.52904909759252,98,98,98,98
49,-6.957425866943245,107.52922997943566,45,66,77,83
50,-6.957424899809125,107.52941086125303,39,61,74,80
51,-6.957423932606019,107.52959174304463,45,66,77,83
52,-6.957422965333928,107.52977262481048,45,66,77,83
53,-6.957421997992851,107.52995350655057,45,66,77,83
54,-6.957421030582789,107.53013438826488,39,61,74,80
55,-6.957420063103742,107.53031526995343,39,61,74,80
56,-6.957419095555706,107.53049615161622,98,98,98,98
57,-6.957418127938689,107.53067703325323,39,61,74,80
58,-6.957624006231744,107.52597506893666,25,55,70,77
59,-6.957623040314046,107.52615595128646,98,98,98,98
60,-6.957622074327361,107.52633683361053,45,66,77,83
61,-6.957621108271685,107.52651771590888,62,71,88,91
62,-6.9576201421470225,107.5266985981815,39,61,74,80
63,-6.957619175953373,107.52687948042838,45,66,77,83
64,-6.957618209690733,107.52706036264952,45,66,77,83
65,-6.957617243359105,107.52724124484493,45,66,77,83
66,-6.95761627695849,107.52742212701459,45,66,77,83
67,-6.957615310488886,107.52760300915851,62,71,88,91
68,-6.9576143439502935,107.5277838912767,25,55,70,77
69,-6.957613377342715,107.52796477336913,98,98,98,98
70,-6.9576124106661466,107.52814565543584,45,66,77,83
71,-6.95761144392059,107.52832653747677,62,71,88,91
72,-6.957610477106045,107.52850741949196,45,66,77,83
73,-6.957609510222514,107.5286883014814,98,98,98,98
74,-6.957608543269994,107.5288691834451,98,98,98,98
75,-6.957607576248487,107.52905006538302,98,98,98,98
76,-6.957606609157991,107.5292309472952,45,66,77,83
77,-6.957605641998509,107.52941182918161,39,61,74,80
78,-6.957604674770039,107.52959271104226,45,66,77,83
79,-6.95760370747258,107.52977359287715,45,66,77,83
80,-6.957602740106134,107.52995447468628,45,66,77,83
81,-6.957601772670701,107.53013535646963,98,98,98,98
82,-6.957600805166281,107.53031623822721,98,98,98,98
83,-6.9575998375928725,107.53049711995904,62,71,88,91
84,-6.957598869950477,107.53067800166507,39,61,74,80
85,-6.957597902239096,107.53085888334535,98,98,98,98
86,-6.957805714775249,107.52579515313465,45,53,67,72
87,-6.957804748901212,107.52597603557923,45,53,67,72
88,-6.957803782958184,107.52615691799807,98,98,98,98
89,-6.957802816946165,107.52633780039119,98,98,98,98
90,-6.957801850865157,107.52651868275858,45,53,67,72
91,-6.957800884715159,107.52669956510023,62,71,88,91
92,-6.957799918496169,107.52688044741615,45,66,77,83
93,-6.957798952208189,107.52706132970633,45,66,77,83
94,-6.95779798585122,107.52724221197079,62,71,88,91
95,-6.957797019425262,107.5274230942095,62,71,88,91
96,-6.957796052930311,107.52760397642247,62,71,88,91
97,-6.957795086366373,107.52778485860969,98,98,98,98
98,-6.9577941197334425,107.52796574077115,39,61,74,80
99,-6.957793153031525,107.52814662290689,45,66,77,83
100,-6.957792186260616,107.52832750501688,45,66,77,83
101,-6.957791219420719,107.52850838710111,45,66,77,83
102,-6.957790252511829,107.52868926915959,45,66,77,83
103,-6.957789285533951,107.52887015119231,45,66,77,83
104,-6.957788318487085,107.52905103319928,45,66,77,83
105,-6.957787351371229,107.5292319151805,45,66,77,83
106,-6.957786384186382,107.52941279713595,45,66,77,83
107,-6.957785416932547,107.52959367906564,45,66,77,83
108,-6.957784449609722,107.52977456096957,45,66,77,83
109,-6.9577834822179065,107.52995544284772,39,61,74,80
110,-6.9577825147571035,107.53013632470012,45,66,77,83
111,-6.95778154722731,107.53031720652676,39,61,74,80
112,-6.957780579628528,107.5304980883276,98,98,98,98
113,-6.957779611960755,107.5306789701027,98,98,98,98
114,-6.957778644223996,107.53085985185201,45,66,77,83
115,-6.958017329820127,107.52000786572559,25,55,70,77
116,-6.9580163661285335,107.52018874906149,45,53,67,72
117,-6.9580154023679475,107.52036963237171,45,53,67,72
118,-6.958014438538369,107.52055051565627,45,53,67,72
119,-6.958013474639794,107.52073139891516,45,53,67,72
120,-6.958012510672228,107.52091228214837,45,53,67,72
121,-6.958011546635667,107.52109316535592,45,66,77,83
122,-6.957988389060294,107.52543435462952,25,55,70,77
123,-6.9579874232989125,107.52561523719457,25,55,70,77
124,-6.957986457468536,107.52579611973393,98,98,98,98
125,-6.95798549156917,107.52597700224753,98,98,98,98
126,-6.957984525600811,107.52615788473543,98,98,98,98
127,-6.957983559563459,107.52633876719759,98,98,98,98
128,-6.957982593457117,107.52651964963401,62,71,88,91
129,-6.957981627281781,107.52670053204471,62,71,88,91
130,-6.957980661037454,107.52688141442967,45,66,77,83
131,-6.957979694724135,107.5270622967889,45,66,77,83
132,-6.957978728341824,107.52724317912238,98,98,98,98
133,-6.957977761890522,107.52742406143014,62,71,88,91
134,-6.957976795370226,107.52760494371215,62,71,88,91
135,-6.957975828780941,107.52778582596841,45,66,77,83
136,-6.957974862122662,107.52796670819893,45,66,77,83
137,-6.957973895395393,107.5281475904037,45,66,77,83
138,-6.957972928599132,107.52832847258273,45,66,77,83
139,-6.957971961733879,107.528509354736,98,98,98,98
140,-6.957970994799634,107.52869023686353,45,66,77,83
141,-6.9579700277964,107.5288711189653,98,98,98,98
142,-6.957969060724173,107.52905200104131,45,66,77,83
143,-6.957968093582954,107.52923288309157,45,66,77,83
144,-6.957967126372744,107.52941376511605,45,66,77,83
145,-6.957966159093543,107.52959464711479,45,66,77,83
146,-6.95796519174535,107.52977552908776,98,98,98,98
147,-6.957964224328167,107.52995641103496,45,66,77,83
148,-6.9579632568419925,107.5301372929564,45,66,77,83
149,-6.957962289286828,107.53031817485207,45,66,77,83
150,-6.957961321662672,107.53049905672196,62,71,88,91
151,-6.957960353969524,107.5306799385661,98,98,98,98
152,-6.957959386207385,107.53086082038445,98,98,98,98
153,-6.9581990369693445,107.51982794671052,25,55,70,77
154,-6.958198073321479,107.52000883014114,25,55,70,77
155,-6.958197109604614,107.52018971354607,25,55,70,77
156,-6.958196145818756,107.52037059692535,45,53,67,72
157,-6.958195181963901,107.52055148027895,45,53,67,72
158,-6.958194218040052,107.52073236360688,98,98,98,98
159,-6.958193254047205,107.52091324690915,98,98,98,98
160,-6.958192289985365,107.52109413018573,45,66,77,83
161,-6.9581913258545285,107.52127501343664,45,66,77,83
162,-6.958190361654697,107.52145589666186,45,53,67,72
163,-6.958170097520437,107.52525443845659,25,55,70,77
