,Latitude,Longitude,A,B,C,D
0,-6.984904108174237,107.59486070959416,98,98,98,98
1,-6.9849031120633835,107.59504159261664,98,98,98,98
2,-6.9849021158832825,107.59522247561269,98,98,98,98
3,-6.984901119633935,107.59540335858229,39,61,74,80
4,-6.984900123315341,107.59558424152546,39,61,74,80
5,-6.984899126927499,107.5957651244422,98,98,98,98
6,-6.9848981304704125,107.59594600733249,98,98,98,98
7,-6.984897133944079,107.59612689019633,45,66,77,83
8,-6.984896137348497,107.59630777303373,39,61,74,80
9,-6.985125622843278,107.58744547701214,39,61,74,80
10,-6.985124629545639,107.58762636118614,57,72,81,86
11,-6.985092807457093,107.59341464082661,98,98,98,98
12,-6.985091811874209,107.5935955241298,98,98,98,98
13,-6.985090816222075,107.59377640740655,98,98,98,98
14,-6.985089820500693,107.5939572906569,98,98,98,98
15,-6.985088824710062,107.59413817388084,98,98,98,98
16,-6.985087828850181,107.59431905707832,98,98,98,98
17,-6.985086832921053,107.5944999402494,98,98,98,98
18,-6.985085836922675,107.59468082339404,57,72,81,86
19,-6.985084840855047,107.59486170651226,98,98,98,98
20,-6.985083844718172,107.59504258960403,98,98,98,98
21,-6.985082848512049,107.59522347266939,98,98,98,98
22,-6.985081852236677,107.59540435570831,57,72,81,86
23,-6.985080855892057,107.59558523872077,57,72,81,86
24,-6.985079859478187,107.59576612170682,57,72,81,86
25,-6.98507886299507,107.5959470046664,98,98,98,98
26,-6.985077866442704,107.59612788759955,98,98,98,98
27,-6.985307349842208,107.58726558684545,39,61,74,80
28,-6.985306356587875,107.58744647111511,39,61,74,80
29,-6.9853053632642865,107.58762735535842,57,72,81,86
30,-6.985304369871448,107.58780823957537,57,72,81,86
31,-6.985303376409355,107.58798912376595,57,72,81,86
32,-6.985276526755651,107.5928729869407,45,66,77,83
33,-6.985275531354514,107.59305387039245,98,98,98,98
34,-6.985274535884124,107.59323475381778,98,98,98,98
35,-6.985273540344483,107.5934156372167,98,98,98,98
36,-6.985272544735592,107.59359652058917,57,72,81,86
37,-6.985271549057451,107.59377740393525,57,72,81,86
38,-6.985270553310057,107.59395828725492,57,72,81,86
39,-6.985269557493414,107.59413917054815,57,72,81,86
40,-6.98526856160752,107.59432005381494,57,72,81,86
41,-6.985267565652375,107.59450093705532,57,72,81,86
42,-6.9852665696279805,107.59468182026927,57,72,81,86
43,-6.985265573534333,107.59486270345678,57,72,81,86
44,-6.985264577371439,107.59504358661788,57,72,81,86
45,-6.985263581139292,107.59522446975252,57,72,81,86
46,-6.985262584837895,107.59540535286075,57,72,81,86
47,-6.985261588467247,107.59558623594252,57,72,81,86
48,-6.98526059202735,107.59576711899786,57,72,81,86
49,-6.985259595518202,107.59594800202676,57,72,81,86
50,-6.985489076822252,107.58708569654016,39,61,74,80
51,-6.985488083611227,107.58726658090548,39,61,74,80
52,-6.985487090330948,107.58744746524445,98,98,98,98
53,-6.985486096981413,107.58762834955706,57,72,81,86
