,Latitude,Longitude,A,B,C,D
0,-6.980515665340507,107.60406170709665,98,98,98,98
1,-6.980514666324846,107.60424258710599,98,98,98,98
2,-6.980513667239983,107.6044234670888,39,61,74,80
3,-6.98051266808592,107.60460434704507,62,71,88,91
4,-6.980511668862656,107.60478522697481,39,61,74,80
5,-6.98051066957019,107.60496610687804,39,61,74,80
6,-6.980509670208526,107.60514698675472,98,98,98,98
7,-6.980698394604456,107.60370094667577,45,66,77,83
8,-6.980697395701087,107.60388182680741,98,98,98,98
9,-6.980696396728517,107.60406270691253,57,72,81,86
10,-6.98069539768674,107.60424358699112,57,72,81,86
11,-6.980694398575763,107.60442446704319,39,61,74,80
12,-6.980693399395585,107.60460534706873,39,61,74,80
13,-6.980692400146202,107.60478622706773,98,98,98,98
14,-6.980691400827617,107.6049671070402,57,72,81,86
15,-6.98069040143983,107.60514798698615,39,61,74,80
16,-6.980689401982839,107.60532886690554,45,66,77,83
17,-6.980880124903436,107.60352106615225,39,61,74,80
18,-6.980879126043162,107.60370194637967,39,61,74,80
19,-6.980878127113685,107.60388282658057,57,72,81,86
20,-6.980877128115001,107.60406370675494,57,72,81,86
21,-6.980876129047113,107.6042445869028,57,72,81,86
22,-6.980875129910021,107.60442546702411,57,72,81,86
23,-6.980874130703724,107.60460634711892,57,72,81,86
24,-6.980873131428225,107.60478722718719,98,98,98,98
25,-6.980872132083519,107.60496810722891,98,98,98,98
26,-6.980871132669609,107.6051489872441,39,61,74,80
27,-6.980870133186496,107.60532986723278,39,61,74,80
28,-6.980869133634178,107.6055107471949,39,61,74,80
29,-6.980868134012657,107.60569162713048,45,66,77,83
30,-6.981062853931867,107.60316030514049,45,66,77,83
31,-6.981061855183898,107.60334118549021,98,98,98,98
32,-6.981060856366725,107.60352206581341,39,61,74,80
33,-6.981059857480344,107.60370294611009,57,72,81,86
34,-6.981058858524756,107.60388382638025,57,72,81,86
35,-6.981057859499961,107.60406470662389,57,72,81,86
36,-6.98105686040596,107.60424558684099,57,72,81,86
37,-6.981055861242754,107.60442646703157,98,98,98,98
38,-6.9810548620103425,107.60460734719562,98,98,98,98
39,-6.9810538627087215,107.60478822733315,57,72,81,86
40,-6.981052863337896,107.60496910744415,98,98,98,98
41,-6.981051863897866,107.6051499875286,39,61,74,80
42,-6.981050864388628,107.60533086758653,98,98,98,98
43,-6.981049864810186,107.60551174761791,98,98,98,98
44,-6.981048865162535,107.60569262762276,98,98,98,98
45,-6.981047865445679,107.60587350760106,98,98,98,98
46,-6.98104686565962,107.60605438755282,98,98,98,98
47,-6.981045865804351,107.60623526747804,45,66,77,83
48,-6.981244584150706,107.60298042424415,45,66,77,83
49,-6.981243585445843,107.60316130468965,98,98,98,98
50,-6.98124258667177,107.60334218510862,98,98,98,98
51,-6.98124158782849,107.60352306550108,45,66,77,83
52,-6.981240588916001,107.60370394586703,57,72,81,86
53,-6.981239589934303,107.60388482620644,98,98,98,98
54,-6.9812385908833985,107.60406570651934,57,72,81,86
55,-6.981237591763285,107.60424658680571,57,72,81,86
56,-6.981236592573963,107.60442746706556,57,72,81,86
57,-6.981235593315433,107.60460834729888,57,72,81,86
58,-6.981234593987697,107.60478922750566,57,72,81,86
59,-6.9812335945907495,107.60497010768592,98,98,98,98
60,-6.981232595124597,107.60515098783965,98,98,98,98
61,-6.981231595589236,107.60533186796681,98,98,98,98
62,-6.981230595984666,107.60551274806747,57,72,81,86
63,-6.9812295963108895,107.60569362814158,57,72,81,86
64,-6.981228596567906,107.60587450818913,57,72,81,86
65,-6.981227596755715,107.60605538821017,98,98,98,98
66,-6.981226596874313,107.60623626820464,98,98,98,98
67,-6.981225596923706,107.60641714817257,39,61,74,80
68,-6.9812245969038935,107.60659802811395,98,98,98,98
69,-6.9812235968148695,107.60677890802879,98,98,98,98
70,-6.98122259665664,107.60695978791706,98,98,98,98
71,-6.9812215964292035,107.6071406677788,98,98,98,98
72,-6.98122059613256,107.60732154761395,98,98,98,98
73,-6.981426314351015,107.60280054320927,62,71,88,91
74,-6.981425315689259,107.60298142375055,45,66,77,83
75,-6.981424316958294,107.60316230426531,98,98,98,98
76,-6.981423318158117,107.60334318475354,45,66,77,83
77,-6.981422319288731,107.60352406521528,45,66,77,83
78,-6.981421320350133,107.60370494565048,98,98,98,98
