,Latitude,Longitude,A,B,C,D
0,-6.981098191710667,107.56372677469628,98,98,98,98
1,-6.981279912464192,107.56354687300615,98,98,98,98
2,-6.98127892887364,107.56372775911895,98,98,98,98
3,-6.98127794521387,107.56390864520561,98,98,98,98
4,-6.981276961484883,107.56408953126618,98,98,98,98
5,-6.9814606496513525,107.56354785738566,98,98,98,98
6,-6.981459666035093,107.56372874356772,98,98,98,98
7,-6.981458682349614,107.56390962972367,39,61,74,80
8,-6.981457698594916,107.56409051585351,57,72,81,86
9,-6.981456714770997,107.56427140195723,57,72,81,86
10,-6.981642370409742,107.56336795551383,98,98,98,98
11,-6.981641386836994,107.56354884179127,98,98,98,98
12,-6.981640403195025,107.56372972804262,98,98,98,98
13,-6.981639419483837,107.56391061426784,57,72,81,86
14,-6.9816384357034265,107.56409150046696,57,72,81,86
15,-6.981637451853797,107.56427238663994,98,98,98,98
16,-6.981636467934946,107.5644532727868,57,72,81,86
17,-6.981635483946873,107.56463415890755,57,72,81,86
18,-6.9818240911488,107.56318805350344,98,98,98,98
19,-6.9818231076195705,107.56336893987628,98,98,98,98
20,-6.981822124021116,107.56354982622301,39,61,74,80
21,-6.98182114035344,107.56373071254363,57,72,81,86
22,-6.981820156616542,107.56391159883813,57,72,81,86
23,-6.981819172810421,107.56409248510651,57,72,81,86
24,-6.981818188935077,107.56427337134878,57,72,81,86
25,-6.98181720499051,107.56445425756492,39,61,74,80
26,-6.9818162209767225,107.56463514375494,39,61,74,80
27,-6.98181523689371,107.56481602991886,39,61,74,80
28,-6.981814252741475,107.56499691605661,39,61,74,80
29,-6.982004828382811,107.56318903782272,98,98,98,98
30,-6.982003844827877,107.56336992426485,57,72,81,86
31,-6.982002861203718,107.56355081068087,98,98,98,98
32,-6.982001877510334,107.56373169707075,57,72,81,86
33,-6.982000893747725,107.56391258343454,98,98,98,98
34,-6.981999909915893,107.5640934697722,98,98,98,98
35,-6.981998926014836,107.56427435608374,98,98,98,98
36,-6.981997942044555,107.56445524236916,39,61,74,80
37,-6.98199695800505,107.56463612862846,98,98,98,98
38,-6.981995973896319,107.56481701486165,57,72,81,86
39,-6.9819949897183635,107.5649979010687,98,98,98,98
40,-6.9819940054711855,107.56517878724962,98,98,98,98
41,-6.982186549126715,107.56300913563061,98,98,98,98
42,-6.982185565615304,107.56319002216813,98,98,98,98
43,-6.982184582034665,107.56337090867953,57,72,81,86
44,-6.9821835983848,107.56355179516483,57,72,81,86
45,-6.9821826146657076,107.563732681624,57,72,81,86
46,-6.982181630877391,107.56391356805706,57,72,81,86
47,-6.982180647019846,107.56409445446401,98,98,98,98
48,-6.982179663093076,107.56427534084483,57,72,81,86
49,-6.982178679097079,107.56445622719953,57,72,81,86
50,-6.982177695031855,107.56463711352811,39,61,74,80
51,-6.9821767108974075,107.56481799983057,98,98,98,98
52,-6.9821757266937325,107.5649988861069,39,61,74,80
53,-6.982174742420831,107.5651797723571,39,61,74,80
54,-6.982173758078704,107.56536065858117,98,98,98,98
55,-6.982172773667352,107.56554154477911,57,72,81,86
56,-6.982369253249934,107.56264834664093,57,72,81,86
57,-6.982368269851277,107.56282923329994,98,98,98,98
58,-6.982367286383392,107.56301011993284,98,98,98,98
59,-6.982366302846276,107.56319100653964,98,98,98,98
60,-6.982365319239933,107.56337189312032,98,98,98,98
61,-6.9823643355643625,107.5635527796749,57,72,81,86
62,-6.982363351819563,107.56373366620335,57,72,81,86
63,-6.982362368005535,107.5639145527057,57,72,81,86
64,-6.982361384122279,107.56409543918193,98,98,98,98
65,-6.982360400169795,107.56427632563204,98,98,98,98
66,-6.982359416148083,107.56445721205601,98,98,98,98
67,-6.982358432057144,107.56463809845387,39,61,74,80
68,-6.982357447896976,107.56481898482562,98,98,98,98
69,-6.982356463667582,107.56499987117122,98,98,98,98
70,-6.982355479368959,107.56518075749071,57,72,81,86
71,-6.982354495001106,107.56536164378407,57,72,81,86
72,-6.982353510564028,107.56554253005129,57,72,81,86
73,-6.982352526057721,107.56572341629239,57,72,81,86
74,-6.982550973911618,107.5624684440763,98,98,98,98
75,-6.982549990556489,107.56264933083071,98,98,98,98
76,-6.982549007132133,107.562830217559,57,72,81,86
77,-6.982548023638546,107.56301110426118,57,72,81,86
78,-6.982547040075729,107.56319199093726,98,98,98,98
79,-6.982546056443681,107.56337287758723,98,98,98,98
80,-6.982545072742404,107.5635537642111,57,72,81,86
81,-6.982544088971895,107.56373465080883,57,72,81,86
82,-6.982543105132159,107.56391553738045,57,72,81,86
83,-6.982542121223192,107.56409642392597,98,98,98,98
84,-6.982541137244995,107.56427731044536,39,61,74,80
85,-6.982540153197569,107.56445819693863,57,72,81,86
86,-6.98253916908091,107.56463908340577,39,61,74,80
87,-6.982538184895024,107.5648199698468,57,72,81,86
88,-6.98253720063991,107.56500085626169,57,72,81,86
89,-6.982536216315563,107.56518174265047,57,72,81,86
90,-6.982535231921987,107.5653626290131,57,72,81,86
91,-6.982534247459185,107.5655435153496,57,72,81,86
92,-6.9825332629271495,107.56572440165998,98,98,98,98
93,-6.982532278325885,107.5659052879442,98,98,98,98
94,-6.982531293655393,107.56608617420231,98,98,98,98
95,-6.9827336777963,107.56210765449721,57,72,81,86
96,-6.982732694553939,107.5622885413731,57,72,81,86
97,-6.982731711242348,107.5624694282229,57,72,81,86
98,-6.982730727861524,107.56265031504657,57,72,81,86
99,-6.982729744411468,107.56283120184415,57,72,81,86
100,-6.98272876089218,107.56301208861562,57,72,81,86
101,-6.982727777303661,107.56319297536099,57,72,81,86
102,-6.982726793645909,107.56337386208024,98,98,98,98
103,-6.982725809918926,107.5635547487734,98,98,98,98
104,-6.982724826122712,107.56373563544041,57,72,81,86
105,-6.982723842257265,107.56391652208133,57,72,81,86
106,-6.982722858322584,107.56409740869613,57,72,81,86
107,-6.982721874318675,107.56427829528481,57,72,81,86
108,-6.982720890245534,107.56445918184735,57,72,81,86
109,-6.982719906103159,107.56464006838378,39,61,74,80
110,-6.9827189218915535,107.5648209548941,57,72,81,86
111,-6.982717937610718,107.56500184137828,57,72,81,86
112,-6.98271695326065,107.56518272783633,57,72,81,86
113,-6.98271596884135,107.56536361426826,57,72,81,86
114,-6.982714984352819,107.56554450067405,98,98,98,98
115,-6.982713999795058,107.5657253870537,98,98,98,98
116,-6.982713015168064,107.56590627340724,98,98,98,98
117,-6.9827120304718395,107.56608715973461,98,98,98,98
118,-6.9827110457063855,107.56626804603586,39,61,74,80
119,-6.982710060871699,107.56644893231096,45,66,77,83
120,-6.9829144151769,107.56210863853133,57,72,81,86
121,-6.982913431908846,107.5622895254765,98,98,98,98
122,-6.982912448571561,107.56247041239558,98,98,98,98
123,-6.9829114651650395,107.56265129928855,57,72,81,86
124,-6.982910481689284,107.56283218615542,57,72,81,86
125,-6.982909498144296,107.56301307299618,57,72,81,86
126,-6.982908514530074,107.56319395981083,57,72,81,86
127,-6.982907530846618,107.56337484659937,57,72,81,86
128,-6.982906547093928,107.56355573336181,98,98,98,98
129,-6.982905563272006,107.56373662009811,57,72,81,86
130,-6.982904579380849,107.56391750680832,57,72,81,86
131,-6.982903595420458,107.56409839349242,57,72,81,86
132,-6.982902611390834,107.56427928015037,57,72,81,86
133,-6.982901627291978,107.56446016678221,57,72,81,86
134,-6.9829006431238865,107.56464105338793,39,61,74,80
135,-6.982899658886563,107.56482193996753,39,61,74,80
136,-6.982898674580006,107.565002826521,39,61,74,80
137,-6.982897690204214,107.56518371304834,57,72,81,86
138,-6.982896705759193,107.56536459954955,57,72,81,86
139,-6.982895721244936,107.56554548602463,98,98,98,98
140,-6.982894736661446,107.56572637247358,98,98,98,98
141,-6.982893752008722,107.56590725889637,98,98,98,98
142,-6.982892767286766,107.56608814529305,98,98,98,98
143,-6.982891782495577,107.56626903166358,39,61,74,80
144,-6.9828907976351555,107.56644991800796,57,72,81,86
145,-6.982889812705502,107.56663080432622,98,98,98,98
146,-6.983094169262236,107.562290509606,57,72,81,86
147,-6.983093185899252,107.56247139659438,57,72,81,86
148,-6.983092202467035,107.56265228355663,57,72,81,86
149,-6.98309121896558,107.5628331704928,57,72,81,86
150,-6.983090235394891,107.56301405740284,57,72,81,86
151,-6.983089251754967,107.56319494428678,57,72,81,86
152,-6.983088268045807,107.56337583114461,57,72,81,86
153,-6.983087284267411,107.56355671797633,98,98,98,98
154,-6.983086300419781,107.56373760478193,98,98,98,98
155,-6.983085316502913,107.56391849156142,57,72,81,86
156,-6.983084332516811,107.56409937831481,57,72,81,86
157,-6.983083348461473,107.56428026504204,57,72,81,86
158,-6.983082364336901,107.56446115174319,98,98,98,98
159,-6.983081380143095,107.5646420384182,57,72,81,86
160,-6.983080395880051,107.56482292506709,57,72,81,86
161,-6.983079411547775,107.56500381168985,57,72,81,86
162,-6.983078427146261,107.56518469828647,57,72,81,86
163,-6.983077442675513,107.56536558485698,57,72,81,86
164,-6.98307645813553,107.56554647140135,57,72,81,86
165,-6.983075473526314,107.56572735791957,98,98,98,98
166,-6.983074488847861,107.56590824441167,98,98,98,98
167,-6.983073504100173,107.56608913087763,39,61,74,80
168,-6.983072519283252,107.56627001731745,39,61,74,80
169,-6.983071534397094,107.56645090373114,98,98,98,98
170,-6.983070549441703,107.56663179011868,98,98,98,98
171,-6.983069564417077,107.56681267648005,98,98,98,98
172,-6.983068579323217,107.5669935628153,98,98,98,98
173,-6.983274906614102,107.5622914937616,57,72,81,86
174,-6.9832739232254255,107.56247238081926,57,72,81,86
175,-6.98327293976751,107.56265326785082,57,72,81,86
176,-6.983271956240358,107.56283415485626,57,72,81,86
177,-6.983270972643967,107.56301504183561,57,72,81,86
178,-6.983269988978339,107.56319592878883,57,72,81,86
179,-6.983269005243475,107.56337681571596,57,72,81,86
180,-6.983268021439373,107.56355770261698,98,98,98,98
181,-6.983267037566034,107.56373858949188,98,98,98,98
182,-6.983266053623458,107.56391947634066,98,98,98,98
183,-6.983265069611644,107.56410036316332,57,72,81,86
184,-6.983264085530594,107.56428124995986,39,61,74,80
185,-6.983263101380307,107.56446213673028,98,98,98,98
186,-6.983262117160782,107.56464302347459,98,98,98,98
187,-6.983261132872021,107.56482391019277,57,72,81,86
188,-6.983260148514022,107.56500479688482,57,72,81,86
189,-6.983259164086786,107.56518568355074,57,72,81,86
190,-6.9832581795903135,107.56536657019053,57,72,81,86
191,-6.983257195024606,107.5655474568042,98,98,98,98
192,-6.98325621038966,107.56572834339173,98,98,98,98
193,-6.983255225685478,107.5659092299531,98,98,98,98
194,-6.98325424091206,107.56609011648835,39,61,74,80
195,-6.983253256069404,107.56627100299747,39,61,74,80
196,-6.983252271157511,107.56645188948043,98,98,98,98
197,-6.983251286176384,107.56663277593726,98,98,98,98
198,-6.98325030112602,107.56681366236795,98,98,98,98
199,-6.983249316006418,107.56699454877248,98,98,98,98
200,-6.983248330817581,107.56717543515086,98,98,98,98
201,-6.983247345559507,107.5673563215031,45,66,77,83
202,-6.983454660550077,107.56247336507026,57,72,81,86
203,-6.983453677066465,107.5626542521711,57,72,81,86
204,-6.983452693513613,107.56283513924585,57,72,81,86
205,-6.983451709891523,107.56301602629448,57,72,81,86
206,-6.983450726200193,107.563196913317,57,72,81,86
207,-6.983449742439623,107.56337780031343,57,72,81,86
208,-6.983448758609816,107.56355868728373,57,72,81,86
209,-6.983447774710768,107.56373957422792,98,98,98,98
210,-6.983446790742483,107.563920461146,98,98,98,98
211,-6.983445806704957,107.56410134803795,98,98,98,98
212,-6.983444822598193,107.5642822349038,98,98,98,98
213,-6.983443838422191,107.56446312174351,39,61,74,80
214,-6.983442854176949,107.56464400855711,39,61,74,80
215,-6.983441869862468,107.56482489534459,57,72,81,86
216,-6.983440885478749,107.56500578210593,57,72,81,86
217,-6.9834399010257915,107.56518666884114,57,72,81,86
218,-6.983438916503595,107.56536755555022,57,72,81,86
219,-6.98343793191216,107.56554844223317,57,72,81,86
220,-6.983436947251487,107.56572932888999,57,72,81,86
221,-6.983435962521576,107.56591021552067,98,98,98,98
222,-6.983434977722425,107.56609110212521,98,98,98,98
223,-6.983433992854036,107.56627198870362,39,61,74,80
224,-6.98343300791641,107.56645287525588,98,98,98,98
225,-6.983432022909544,107.566633761782,57,72,81,86
226,-6.98343103783344,107.56681464828198,57,72,81,86
227,-6.983430052688099,107.56699553475579,98,98,98,98
228,-6.98342906747352,107.56717642120348,98,98,98,98
229,-6.983428082189702,107.56735730762502,45,66,77,83
230,-6.983427096836646,107.56753819402039,98,98,98,98
231,-6.983634414363902,107.5626552365175,57,72,81,86
232,-6.98363343078535,107.56283612366154,57,72,81,86
233,-6.983632447137559,107.56301701077948,57,72,81,86
234,-6.983631463420526,107.56319789787128,57,72,81,86
235,-6.983630479634253,107.563378784937,57,72,81,86
236,-6.983629495778739,107.5635596719766,57,72,81,86
237,-6.9836285118539845,107.56374055899009,98,98,98,98
238,-6.983627527859988,107.56392144597746,98,98,98,98
239,-6.983626543796752,107.5641023329387,98,98,98,98
240,-6.983625559664273,107.56428321987384,57,72,81,86
241,-6.983624575462556,107.56446410678285,57,72,81,86
242,-6.983623591191597,107.56464499366575,98,98,98,98
243,-6.983622606851398,107.56482588052252,57,72,81,86
244,-6.983621622441959,107.56500676735315,57,72,81,86
245,-6.983620637963276,107.56518765415765,57,72,81,86
246,-6.983619653415357,107.56536854093603,98,98,98,98
247,-6.983618668798195,107.56554942768828,98,98,98,98
248,-6.983617684111794,107.5657303144144,57,72,81,86
249,-6.983616699356153,107.56591120111437,57,72,81,86
250,-6.983615714531272,107.5660920877882,39,61,74,80
251,-6.983614729637149,107.5662729744359,39,61,74,80
252,-6.983613744673788,107.56645386105747,39,61,74,80
253,-6.9836127596411846,107.56663474765288,39,61,74,80
254,-6.983611774539343,107.56681563422215,98,98,98,98
255,-6.98361078936826,107.56699652076527,98,98,98,98
256,-6.98360980412794,107.56717740728224,45,66,77,83
257,-6.983608818818376,107.56735829377307,45,66,77,83
258,-6.983607833439575,107.56753918023773,45,66,77,83
259,-6.983606847991534,107.56772006667624,45,66,77,83
260,-6.983605862474252,107.56790095308861,45,66,77,83
261,-6.9838141680555665,107.56283710810334,57,72,81,86
262,-6.983813184382075,107.56301799529055,57,72,81,86
263,-6.983812200639339,107.56319888245167,57,72,81,86
264,-6.983811216827362,107.56337976958669,98,98,98,98
265,-6.983810232946142,107.56356065669559,98,98,98,98
266,-6.983809248995678,107.56374154377838,57,72,81,86
267,-6.983808264975972,107.56392243083504,57,72,81,86
268,-6.9838072808870235,107.56410331786559,57,72,81,86
269,-6.983806296728833,107.56428420487002,57,72,81,86
270,-6.9838053125014,107.56446509184833,57,72,81,86
271,-6.983804328204723,107.56464597880053,98,98,98,98
272,-6.983803343838806,107.56482686572657,57,72,81,86
273,-6.983802359403645,107.56500775262651,57,72,81,86
274,-6.983801374899243,107.56518863950032,57,72,81,86
275,-6.983800390325597,107.565369526348,45,66,77,83
276,-6.98379940568271,107.56555041316953,98,98,98,98
277,-6.983798420970581,107.56573129996495,98,98,98,98
278,-6.98379743618921,107.56591218673421,57,72,81,86
279,-6.9837964513385975,107.56609307347735,39,61,74,80
280,-6.983795466418741,107.56627396019435,39,61,74,80
281,-6.983794481429643,107.56645484688521,45,66,77,83
282,-6.983793496371305,107.56663573354992,39,61,74,80
283,-6.983792511243723,107.56681662018848,98,98,98,98
284,-6.983791526046901,107.56699750680089,98,98,98,98
285,-6.983790540780837,107.56717839338717,45,66,77,83
286,-6.98378955544553,107.56735927994728,39,61,74,80
287,-6.983788570040982,107.56754016648124,45,66,77,83
288,-6.983787584567193,107.56772105298906,45,66,77,83
289,-6.983786599024162,107.56790193947072,45,66,77,83
290,-6.98378561341189,107.56808282592621,98,98,98,98
291,-6.983994905324264,107.56283809257123,57,72,81,86
292,-6.98399392162507,107.56301897982776,98,98,98,98
293,-6.983992937856633,107.56319986705817,57,72,81,86
294,-6.98399195401895,107.5633807542625,98,98,98,98
295,-6.983990970112024,107.56356164144069,98,98,98,98
296,-6.983989986135851,107.56374252859277,98,98,98,98
297,-6.983989002090437,107.56392341571875,98,98,98,98
298,-6.983988017975777,107.56410430281858,57,72,81,86
299,-6.983987033791872,107.56428518989232,57,72,81,86
300,-6.983986049538724,107.56446607693992,98,98,98,98
301,-6.9839850652163316,107.56464696396141,98,98,98,98
302,-6.983984080824695,107.56482785095677,57,72,81,86
303,-6.983983096363814,107.56500873792601,57,72,81,86
304,-6.983982111833687,107.5651896248691,57,72,81,86
305,-6.983981127234319,107.56537051178609,39,61,74,80
306,-6.983980142565706,107.56555139867692,98,98,98,98
307,-6.983979157827847,107.56573228554163,98,98,98,98
308,-6.9839781730207475,107.56591317238019,98,98,98,98
309,-6.983977188144402,107.56609405919264,98,98,98,98
310,-6.9839762031988135,107.56627494597892,57,72,81,86
311,-6.983975218183981,107.56645583273908,39,61,74,80
312,-6.983974233099904,107.5666367194731,98,98,98,98
313,-6.983973247946585,107.56681760618095,57,72,81,86
314,-6.983972262724021,107.56699849286267,98,98,98,98
315,-6.983971277432215,107.56717937951822,98,98,98,98
