,Latitude,Longitude,A,B,C,D
0,-6.991242108062291,107.5596214676926,57,72,81,86
1,-6.991424812533385,107.55926067076584,57,72,81,86
2,-6.991423829166829,107.55944156138705,98,98,98,98
3,-6.991422845730953,107.55962245198216,57,72,81,86
4,-6.991606533574756,107.55908076422608,98,98,98,98
5,-6.9916055502518555,107.55926165494273,98,98,98,98
6,-6.991604566859634,107.55944254563332,98,98,98,98
7,-6.99160358339809,107.55962343629781,98,98,98,98
8,-6.991602599867223,107.55980432693624,98,98,98,98
9,-6.991794152816257,107.55781551212762,57,72,81,86
10,-6.991793169952958,107.5579964030961,98,98,98,98
11,-6.991792187020336,107.55817729403852,57,72,81,86
12,-6.99179120401839,107.55835818495487,57,72,81,86
13,-6.991787271317368,107.55908174835966,45,66,77,83
14,-6.991786287968804,107.55926263914569,98,98,98,98
15,-6.991785304550916,107.55944352990565,98,98,98,98
16,-6.9917843210637045,107.55962442063954,39,61,74,80
17,-6.991783337507171,107.55980531134735,45,66,77,83
18,-6.991977838987841,107.55727382253168,98,98,98,98
19,-6.991976856306867,107.55745471364772,98,98,98,98
20,-6.9919758735565685,107.5576356047377,98,98,98,98
21,-6.991974890736945,107.55781649580162,39,61,74,80
22,-6.991973907847995,107.55799738683946,98,98,98,98
23,-6.991972924889719,107.55817827785127,57,72,81,86
24,-6.9919719418621185,107.55835916883701,57,72,81,86
25,-6.991970958765192,107.55854005979668,57,72,81,86
26,-6.9919699755989395,107.5587209507303,57,72,81,86
27,-6.991968992363362,107.55890184163783,57,72,81,86
28,-6.991968009058461,107.55908273251933,98,98,98,98
29,-6.9919670256842315,107.55926362337473,98,98,98,98
30,-6.991966042240679,107.55944451420407,98,98,98,98
31,-6.991965058727801,107.55962540500732,98,98,98,98
32,-6.991964075145598,107.55980629578451,98,98,98,98
33,-6.991963091494069,107.55998718653562,98,98,98,98
34,-6.992163489477124,107.55637034970577,57,72,81,86
35,-6.992162507117145,107.55655124102142,57,72,81,86
36,-6.992161524687837,107.55673213231104,57,72,81,86
37,-6.9921605421892,107.5569130235746,57,72,81,86
38,-6.992159559621238,107.55709391481211,57,72,81,86
39,-6.992158576983947,107.55727480602359,98,98,98,98
40,-6.992157594277329,107.55745569720898,98,98,98,98
41,-6.992156611501383,107.55763658836835,57,72,81,86
42,-6.99215562865611,107.55781747950165,98,98,98,98
43,-6.992154645741509,107.55799837060889,39,61,74,80
44,-6.992153662757582,107.55817926169007,57,72,81,86
45,-6.992152679704326,107.55836015274521,57,72,81,86
46,-6.992151696581743,107.55854104377427,57,72,81,86
47,-6.992150713389833,107.55872193477725,57,72,81,86
48,-6.992149730128595,107.55890282575419,57,72,81,86
49,-6.99214874679803,107.55908371670505,98,98,98,98
50,-6.992147763398139,107.55926460762984,98,98,98,98
51,-6.992146779928921,107.55944549852856,98,98,98,98
52,-6.992145796390374,107.5596263894012,98,98,98,98
53,-6.992144812782503,107.55980728024777,98,98,98,98
54,-6.992143829105303,107.55998817106827,57,72,81,86
55,-6.992142845358776,107.56016906186268,39,61,74,80
56,-6.992347174340782,107.55582865856545,98,98,98,98
57,-6.992346192163156,107.55600955002859,57,72,81,86
58,-6.992345209916198,107.55619044146572,57,72,81,86
59,-6.992344227599912,107.55637133287681,57,72,81,86
60,-6.992343245214294,107.55655222426184,98,98,98,98
61,-6.992342262759348,107.55673311562083,98,98,98,98
62,-6.992341280235074,107.55691400695378,57,72,81,86
63,-6.992340297641468,107.55709489826067,98,98,98,98
64,-6.992339314978533,107.55727578954152,98,98,98,98
65,-6.99233833224627,107.55745668079632,57,72,81,86
66,-6.992337349444677,107.55763757202506,57,72,81,86
67,-6.992336366573753,107.55781846322775,57,72,81,86
68,-6.992335383633502,107.55799935440437,39,61,74,80
69,-6.992334400623921,107.55818024555495,98,98,98,98
70,-6.992333417545011,107.55836113667947,45,66,77,83
71,-6.992332434396771,107.5585420277779,39,61,74,80
72,-6.9923314511792025,107.5587229188503,57,72,81,86
73,-6.992330467892305,107.5589038098966,57,72,81,86
74,-6.992329484536079,107.55908470091684,57,72,81,86
75,-6.992328501110525,107.55926559191101,39,61,74,80
76,-6.99232751761564,107.55944648287912,98,98,98,98
77,-6.9923265340514265,107.55962737382116,57,72,81,86
78,-6.992325550417885,107.5598082647371,57,72,81,86
79,-6.992324566715015,107.55998915562698,57,72,81,86
