,Latitude,Longitude,A,B,C,D
0,-6.932410321984944,107.57630443719705,98,98,98,98
1,-6.932409340386448,107.57648530278927,98,98,98,98
2,-6.932408358719226,107.57666616835526,98,98,98,98
3,-6.932594002186394,107.57576282233923,98,98,98,98
4,-6.932593020768247,107.57594368807891,98,98,98,98
5,-6.9325920392813725,107.57612455379235,98,98,98,98
6,-6.932591057725772,107.57630541947958,98,98,98,98
7,-6.932590076101444,107.57648628514058,98,98,98,98
8,-6.932589094408386,107.57666715077532,98,98,98,98
9,-6.9327747380032,107.57576380444166,98,98,98,98
10,-6.932773756559226,107.57594467025012,98,98,98,98
11,-6.932772775046522,107.57612553603235,57,72,81,86
12,-6.932771793465091,107.57630640178836,98,98,98,98
13,-6.932770811814928,107.5764872675181,98,98,98,98
14,-6.932769830096039,107.57666813322165,98,98,98,98
15,-6.932955473818496,107.57576478657033,98,98,98,98
16,-6.932954492348696,107.57594565244756,57,72,81,86
17,-6.932953510810162,107.57612651829858,57,72,81,86
18,-6.932952529202898,107.57630738412334,98,98,98,98
19,-6.932951547526903,107.57648824992188,98,98,98,98
20,-6.932950565782178,107.5766691156942,98,98,98,98
21,-6.932949583968722,107.57684998144026,98,98,98,98
22,-6.9331362096322815,107.57576576872522,98,98,98,98
23,-6.933135228136653,107.57594663467123,57,72,81,86
24,-6.933134246572291,107.57612750059101,57,72,81,86
25,-6.9331332649391975,107.57630836648457,57,72,81,86
26,-6.933132283237369,107.57648923235189,98,98,98,98
27,-6.93313130146681,107.57667009819299,98,98,98,98
28,-6.933130319627517,107.57685096400783,98,98,98,98
29,-6.933316945444557,107.57576675090634,98,98,98,98
30,-6.933315963923101,107.57594761692113,57,72,81,86
31,-6.9333149823329085,107.5761284829097,57,72,81,86
32,-6.933314000673984,107.57630934887204,57,72,81,86
33,-6.933313018946323,107.57649021480813,98,98,98,98
34,-6.9333120371499275,107.576671080718,98,98,98,98
35,-6.933311055284799,107.57685194660164,98,98,98,98
36,-6.933310073350935,107.57703281245904,98,98,98,98
37,-6.9334976812553215,107.57576773311368,98,98,98,98
38,-6.933496699708036,107.57594859919726,98,98,98,98
39,-6.933495718092016,107.57612946525461,98,98,98,98
40,-6.933494736407258,107.57631033128573,98,98,98,98
41,-6.933493754653765,107.57649119729061,98,98,98,98
42,-6.933492772831536,107.57667206326927,98,98,98,98
43,-6.933491790940569,107.57685292922167,98,98,98,98
44,-6.933490808980868,107.57703379514786,98,98,98,98
45,-6.933678417064575,107.57576871534725,98,98,98,98
46,-6.933677435491462,107.57594958149961,98,98,98,98
47,-6.933676453849611,107.57613044762574,98,98,98,98
48,-6.933675472139024,107.57631131372564,98,98,98,98
49,-6.9336744903596985,107.57649217979932,98,98,98,98
50,-6.933673508511633,107.57667304584676,98,98,98,98
51,-6.9336725265948305,107.57685391186796,39,61,74,80
52,-6.9336715446092905,107.57703477786292,98,98,98,98
53,-6.933670562555011,107.57721564383164,98,98,98,98
54,-6.933858171273378,107.5759505638282,98,98,98,98
55,-6.933857189605699,107.57613143002312,57,72,81,86
56,-6.933856207869278,107.57631229619182,57,72,81,86
57,-6.933855226064121,107.57649316233426,57,72,81,86
58,-6.933854244190219,107.57667402845048,98,98,98,98
59,-6.933853262247581,107.57685489454047,98,98,98,98
60,-6.933852280236201,107.57703576060423,98,98,98,98
61,-6.933851298156083,107.57721662664173,98,98,98,98
62,-6.933850316007224,107.57739749265299,98,98,98,98
63,-6.934039888678551,107.57577067989307,98,98,98,98
64,-6.9340389070537825,107.575951546183,98,98,98,98
65,-6.934037925360272,107.57613241244673,57,72,81,86
66,-6.934036943598022,107.5763132786842,57,72,81,86
67,-6.934035961767029,107.57649414489543,57,72,81,86
68,-6.934034979867295,107.57667501108045,57,72,81,86
69,-6.93403399789882,107.57685587723923,57,72,81,86
70,-6.934033015861602,107.57703674337176,57,72,81,86
71,-6.934032033755644,107.57721760947807,98,98,98,98
72,-6.934031051580942,107.57739847555811,98,98,98,98
73,-6.934220624483272,107.57577166220533,98,98,98,98
74,-6.9342196428326766,107.57595252856406,98,98,98,98
75,-6.934218661113337,107.57613339489656,98,98,98,98
76,-6.934217679325255,107.57631426120281,98,98,98,98
77,-6.934216697468429,107.57649512748286,98,98,98,98
78,-6.9342157155428605,107.57667599373666,57,72,81,86
79,-6.934214733548547,107.57685685996422,57,72,81,86
80,-6.934213751485491,107.57703772616556,98,98,98,98
81,-6.934212769353692,107.57721859234064,98,98,98,98
82,-6.93421178715315,107.57739945848948,98,98,98,98
83,-6.934210804883863,107.57758032461207,98,98,98,98
84,-6.934402341894159,107.57559177809006,98,98,98,98
85,-6.934401360286482,107.5757726445438,98,98,98,98
86,-6.934400378610059,107.57595351097133,98,98,98,98
87,-6.934399396864891,107.57613437737261,45,66,77,83
88,-6.934398415050978,107.57631524374769,98,98,98,98
89,-6.934397433168319,107.5764961100965,98,98,98,98
90,-6.934396451216914,107.57667697641911,57,72,81,86
91,-6.934395469196764,107.57685784271546,57,72,81,86
92,-6.934394487107871,107.57703870898558,57,72,81,86
93,-6.934393504950231,107.57721957522945,98,98,98,98
94,-6.934392522723845,107.57740044144708,98,98,98,98
95,-6.934391540428716,107.57758130763848,98,98,98,98
96,-6.93439055806484,107.57776217380363,98,98,98,98
97,-6.934584059286441,107.57541189383721,98,98,98,98
98,-6.934583077721685,107.57559276038597,57,72,81,86
99,-6.934582096088181,107.57577362690851,39,61,74,80
100,-6.934581114385932,107.57595449340482,45,66,77,83
101,-6.934580132614933,107.57613535987491,45,66,77,83
102,-6.934579150775189,107.57631622631877,98,98,98,98
103,-6.934578168866697,107.57649709273639,98,98,98,98
104,-6.934577186889458,107.57667795912778,57,72,81,86
105,-6.934576204843472,107.57685882549292,98,98,98,98
106,-6.934575222728739,107.57703969183183,57,72,81,86
107,-6.934574240545259,107.57722055814452,57,72,81,86
108,-6.93457325829303,107.57740142443095,39,61,74,80
109,-6.934572275972059,107.57758229069113,98,98,98,98
110,-6.934571293582336,107.57776315692507,98,98,98,98
111,-6.93476675811319,107.57505114277676,98,98,98,98
112,-6.934765776660109,107.57523200944676,98,98,98,98
113,-6.93476479513828,107.57541287609054,98,98,98,98
114,-6.9347638135477,107.57559374270811,98,98,98,98
115,-6.934762831888371,107.57577460929946,98,98,98,98
116,-6.934761850160292,107.57595547586456,39,61,74,80
117,-6.934760868363466,107.57613634240344,39,61,74,80
118,-6.934759886497889,107.57631720891608,57,72,81,86
119,-6.934758904563564,107.57649807540251,57,72,81,86
120,-6.93475792256049,107.5766789418627,57,72,81,86
121,-6.934756940488667,107.57685980829663,98,98,98,98
122,-6.934755958348095,107.57704067470435,57,72,81,86
123,-6.934754976138773,107.57722154108582,57,72,81,86
124,-6.9347539938607055,107.57740240744103,98,98,98,98
125,-6.934753011513888,107.57758327377002,98,98,98,98
126,-6.934752029098321,107.57776414007274,98,98,98,98
127,-6.934751046614005,107.57794500634924,45,66,77,83
128,-6.934948475425314,107.57487125815369,57,72,81,86
129,-6.934947494015162,107.57505212491871,57,72,81,86
130,-6.934946512536261,107.57523299165753,98,98,98,98
131,-6.934945530988609,107.57541385837011,98,98,98,98
132,-6.934944549372204,107.57559472505648,98,98,98,98
133,-6.93494356768705,107.5757755917166,98,98,98,98
134,-6.934942585933144,107.57595645835052,57,72,81,86
135,-6.934941604110486,107.5761373249582,57,72,81,86
136,-6.934940622219078,107.57631819153964,57,72,81,86
137,-6.9349396402589205,107.57649905809487,98,98,98,98
138,-6.934938658230012,107.57667992462385,98,98,98,98
139,-6.934937676132353,107.57686079112658,98,98,98,98
140,-6.934936693965942,107.57704165760309,98,98,98,98
141,-6.93493571173078,107.57722252405335,57,72,81,86
142,-6.934934729426869,107.57740339047737,57,72,81,86
143,-6.934933747054207,107.57758425687516,98,98,98,98
144,-6.934932764612793,107.57776512324669,98,98,98,98
145,-6.934931782102631,107.57794598959197,98,98,98,98
146,-6.935131174017273,107.57451050650678,98,98,98,98
147,-6.935130192718809,107.57469137339304,98,98,98,98
148,-6.935129211351592,107.57487224025309,57,72,81,86
149,-6.935128229915623,107.57505310708692,57,72,81,86
150,-6.935127248410899,107.57523397389451,98,98,98,98
151,-6.935126266837425,107.5754148406759,98,98,98,98
152,-6.9351252851951966,107.57559570743108,98,98,98,98
153,-6.935124303484216,107.57577657416,98,98,98,98
154,-6.9351233217044825,107.57595744086271,57,72,81,86
155,-6.935122339855996,107.5761383075392,98,98,98,98
156,-6.9351213579387565,107.57631917418944,98,98,98,98
157,-6.935120375952764,107.57650004081346,98,98,98,98
158,-6.935119393898023,107.57668090741122,98,98,98,98
159,-6.935118411774525,107.57686177398277,98,98,98,98
160,-6.9351174295822755,107.57704264052808,98,98,98,98
161,-6.935116447321275,107.57722350704714,98,98,98,98
162,-6.9351154649915205,107.57740437353995,98,98,98,98
163,-6.935114482593016,107.57758524000653,98,98,98,98
164,-6.935113500125756,107.57776610644686,98,98,98,98
165,-6.935112517589746,107.57794697286094,98,98,98,98
166,-6.935111534984984,107.5781278392488,98,98,98,98
167,-6.935312891249195,107.57433062151351,98,98,98,98
168,-6.935311909993671,107.57451148849478,98,98,98,98
169,-6.935310928669393,107.57469235544986,98,98,98,98
170,-6.93530994727636,107.57487322237868,98,98,98,98
171,-6.9353089658145715,107.57505408928132,57,72,81,86
172,-6.935307984284028,107.57523495615773,57,72,81,86
