,Latitude,Longitude,A,B,C,D
0,-6.968167973277426,107.6144845055848,98,98,98,98
1,-6.968166972030964,107.61466537934761,98,98,98,98
2,-6.968165970715426,107.61484625308381,98,98,98,98
3,-6.9681649693308145,107.61502712679336,98,98,98,98
4,-6.968163967877126,107.61520800047629,98,98,98,98
5,-6.968348703251499,107.61448550760666,98,98,98,98
6,-6.96834770197882,107.61466638143862,57,72,81,86
7,-6.9683467006370625,107.61484725524394,57,72,81,86
8,-6.96834569922623,107.61502812902263,57,72,81,86
9,-6.96834469774632,107.61520900277468,57,72,81,86
10,-6.968343696197334,107.6153898765001,57,72,81,86
11,-6.968342694579272,107.61557075019888,98,98,98,98
12,-6.968341692892134,107.61575162387102,98,98,98,98
13,-6.968340691135918,107.61593249751652,98,98,98,98
14,-6.968339689310626,107.61611337113538,98,98,98,98
15,-6.968530434453865,107.61430563572746,98,98,98,98
16,-6.968529433224048,107.61448650965518,57,72,81,86
17,-6.968528431925152,107.61466738355625,57,72,81,86
18,-6.968527430557177,107.6148482574307,98,98,98,98
19,-6.968526429120124,107.61502913127852,98,98,98,98
20,-6.968525427613994,107.6152100050997,98,98,98,98
21,-6.968524426038783,107.61539087889426,98,98,98,98
22,-6.968523424394495,107.61557175266216,98,98,98,98
23,-6.968522422681128,107.61575262640345,98,98,98,98
24,-6.968521420898685,107.61593350011808,98,98,98,98
25,-6.968520419047162,107.61611437380607,98,98,98,98
26,-6.968711164451106,107.61430663773345,98,98,98,98
27,-6.968710163195074,107.6144875117303,98,98,98,98
28,-6.968709161869962,107.61466838570051,57,72,81,86
29,-6.968708160475768,107.6148492596441,39,61,74,80
30,-6.968707159012497,107.61503013356105,98,98,98,98
31,-6.9687061574801445,107.61521100745136,98,98,98,98
32,-6.96870515587871,107.61539188131503,98,98,98,98
33,-6.968704154208196,107.61557275515209,98,98,98,98
34,-6.968703152468603,107.6157536289625,98,98,98,98
35,-6.9687021506599285,107.61593450274626,98,98,98,98
36,-6.968701148782174,107.61611537650339,39,61,74,80
37,-6.968892895659991,107.61412676567348,98,98,98,98
38,-6.968891894446825,107.61430763976607,98,98,98,98
39,-6.968890893164579,107.61448851383206,45,66,77,83
40,-6.968889891813252,107.6146693878714,39,61,74,80
41,-6.968888890392839,107.61485026188411,39,61,74,80
42,-6.968887888903347,107.6150311358702,39,61,74,80
43,-6.9688868873447705,107.61521200982965,39,61,74,80
44,-6.968885885717114,107.61539288376247,39,61,74,80
45,-6.968884884020375,107.61557375766864,39,61,74,80
46,-6.968883882254554,107.61575463154819,39,61,74,80
47,-6.96888288041965,107.61593550540108,39,61,74,80
48,-6.968881878515665,107.61611637922734,98,98,98,98
49,-6.968880876542597,107.61629725302696,98,98,98,98
50,-6.969073625680401,107.61412776766359,98,98,98,98
51,-6.969072624441023,107.61430864182532,45,66,77,83
52,-6.969071623132562,107.61448951596043,39,61,74,80
53,-6.969070621755017,107.61467039006892,39,61,74,80
54,-6.969069620308387,107.61485126415077,57,72,81,86
55,-6.969068618792675,107.615032138206,57,72,81,86
56,-6.969067617207876,107.61521301223458,57,72,81,86
57,-6.969066615553995,107.61539388623653,57,72,81,86
58,-6.96906561383103,107.61557476021184,57,72,81,86
59,-6.969064612038982,107.61575563416052,57,72,81,86
60,-6.969063610177849,107.61593650808257,57,72,81,86
61,-6.969062608247633,107.61611738197796,98,98,98,98
62,-6.969061606248333,107.6162982558467,39,61,74,80
63,-6.969254355699288,107.61412876968032,98,98,98,98
64,-6.969253354433698,107.6143096439112,98,98,98,98
65,-6.969252353099021,107.61449051811546,39,61,74,80
66,-6.96925135169526,107.61467139229308,39,61,74,80
67,-6.969250350222412,107.61485226644406,57,72,81,86
68,-6.969249348680479,107.61503314056841,57,72,81,86
69,-6.969248347069459,107.61521401466615,57,72,81,86
70,-6.969247345389354,107.61539488873723,57,72,81,86
71,-6.9692463436401635,107.61557576278169,57,72,81,86
72,-6.969245341821886,107.6157566367995,57,72,81,86
73,-6.9692443399345265,107.61593751079067,57,72,81,86
74,-6.969243337978078,107.6161183847552,57,72,81,86
75,-6.969242335952546,107.61629925869309,98,98,98,98
76,-6.969435085716652,107.61412977172368,98,98,98,98
77,-6.969434084424851,107.6143106460237,57,72,81,86
78,-6.96943308306396,107.6144915202971,57,72,81,86
79,-6.969432081633981,107.61467239454385,57,72,81,86
80,-6.969431080134914,107.61485326876398,57,72,81,86
81,-6.96943007856676,107.61503414295748,57,72,81,86
82,-6.9694290769295195,107.61521501712434,57,72,81,86
83,-6.969428075223191,107.61539589126457,98,98,98,98
84,-6.969427073447775,107.61557676537817,57,72,81,86
85,-6.96942607160327,107.61575763946513,98,98,98,98
86,-6.969425069689679,107.61593851352544,57,72,81,86
87,-6.969424067707,107.6161193875591,98,98,98,98
88,-6.969423065655235,107.61630026156612,98,98,98,98
89,-6.969422063534381,107.61648113554651,98,98,98,98
90,-6.969617818161259,107.61376902497548,98,98,98,98
91,-6.969616816981422,107.6139498993979,98,98,98,98
92,-6.969615815732497,107.61413077379366,57,72,81,86
93,-6.969614814414481,107.61431164816283,57,72,81,86
94,-6.969613813027373,107.61449252250536,57,72,81,86
95,-6.969612811571177,107.61467339682126,57,72,81,86
96,-6.969611810045895,107.61485427111054,57,72,81,86
97,-6.969610808451521,107.61503514537317,57,72,81,86
98,-6.969609806788056,107.61521601960918,57,72,81,86
99,-6.969608805055504,107.61539689381854,57,72,81,86
100,-6.9696078032538615,107.61557776800129,57,72,81,86
101,-6.969606801383132,107.61575864215737,57,72,81,86
102,-6.969605799443309,107.61593951628683,57,72,81,86
103,-6.9696047974344,107.61612039038964,57,72,81,86
104,-6.969603795356403,107.6163012644658,57,72,81,86
105,-6.969602793209315,107.61648213851532,98,98,98,98
106,-6.9698005504328195,107.61340827787085,98,98,98,98
107,-6.969799549364955,107.61358915241564,98,98,98,98
108,-6.969798548228002,107.6137700269338,98,98,98,98
109,-6.9697975470219555,107.61395090142535,98,98,98,98
110,-6.969796545746818,107.61413177589029,98,98,98,98
111,-6.969795544402588,107.61431265032859,57,72,81,86
112,-6.969794542989268,107.61449352474025,57,72,81,86
113,-6.969793541506856,107.6146743991253,57,72,81,86
114,-6.969792539955353,107.61485527348371,57,72,81,86
115,-6.969791538334758,107.6150361478155,57,72,81,86
116,-6.969790536645072,107.61521702212065,57,72,81,86
117,-6.969789534886296,107.61539789639916,57,72,81,86
118,-6.969788533058428,107.61557877065104,98,98,98,98
119,-6.96978753116147,107.61575964487628,57,72,81,86
120,-6.969786529195419,107.61594051907487,57,72,81,86
121,-6.969785527160279,107.61612139324683,57,72,81,86
122,-6.969784525056048,107.61630226739214,57,72,81,86
123,-6.969783522882726,107.6164831415108,98,98,98,98
124,-6.969981280550452,107.61340927971752,98,98,98,98
125,-6.969980279456384,107.61359015433143,98,98,98,98
126,-6.969979278293222,107.61377102891876,45,66,77,83
127,-6.9699782770609655,107.61395190347946,98,98,98,98
128,-6.969977275759617,107.61413277801353,98,98,98,98
129,-6.9699762743891736,107.61431365252096,98,98,98,98
130,-6.969975272949639,107.61449452700178,98,98,98,98
131,-6.96997427144101,107.61467540145597,98,98,98,98
132,-6.969973269863288,107.61485627588354,57,72,81,86
133,-6.969972268216474,107.61503715028445,57,72,81,86
134,-6.969971266500567,107.61521802465876,57,72,81,86
135,-6.969970264715565,107.61539889900642,57,72,81,86
136,-6.969969262861471,107.61557977332744,98,98,98,98
137,-6.969968260938285,107.61576064762183,98,98,98,98
138,-6.969967258946006,107.61594152188957,98,98,98,98
139,-6.969966256884634,107.61612239613066,57,72,81,86
140,-6.969965254754171,107.61630327034511,57,72,81,86
141,-6.969964252554613,107.61648414453292,98,98,98,98
142,-6.9699632502859625,107.61666501869406,98,98,98,98
143,-6.970162010666562,107.61341028159077,98,98,98,98
144,-6.9701610095462865,107.61359115627386,98,98,98,98
145,-6.970160008356917,107.61377203093032,98,98,98,98
146,-6.970159007098451,107.61395290556017,98,98,98,98
147,-6.97015800577089,107.61413378016337,98,98,98,98
148,-6.970157004374236,107.61431465473997,98,98,98,98
149,-6.970156002908485,107.61449552928993,98,98,98,98
150,-6.97015500137364,107.61467640381328,98,98,98,98
151,-6.9701539997697,107.61485727830998,57,72,81,86
152,-6.9701529980966646,107.61503815278006,98,98,98,98
153,-6.970151996354535,107.6152190272235,57,72,81,86
154,-6.970150994543311,107.6153999016403,57,72,81,86
