,Latitude,Longitude,A,B,C,D
0,-6.932473978468825,107.56454811751875,98,98,98,98
1,-6.932655692973139,107.56436822794251,98,98,98,98
2,-6.932654715884915,107.56454909533089,98,98,98,98
3,-6.932653738727959,107.56472996269316,98,98,98,98
4,-6.932648851912229,107.56563429911277,98,98,98,98
5,-6.932837407458639,107.5641883382287,98,98,98,98
6,-6.932836430413433,107.56436920571198,98,98,98,98
7,-6.932835453299496,107.56455007316914,98,98,98,98
8,-6.932834476116826,107.5647309406002,98,98,98,98
9,-6.932832521545288,107.56509267538395,98,98,98,98
10,-6.932831544156421,107.56527354273666,98,98,98,98
11,-6.932830566698822,107.56545441006323,98,98,98,98
12,-6.93282958917249,107.5656352773637,98,98,98,98
13,-6.933018144923137,107.56418931595552,98,98,98,98
14,-6.93301716785222,107.56437018350756,98,98,98,98
15,-6.933016190712568,107.5645510510335,98,98,98,98
16,-6.933015213504181,107.56473191853334,98,98,98,98
17,-6.933014236227061,107.56491278600707,98,98,98,98
18,-6.933013258881208,107.56509365345467,98,98,98,98
19,-6.9330122814666195,107.56527452087613,98,98,98,98
20,-6.933011303983299,107.5654553882715,98,98,98,98
21,-6.933010326431243,107.56563625564074,98,98,98,98
22,-6.933009348810454,107.56581712298386,39,61,74,80
23,-6.933199859414019,107.56400942606147,98,98,98,98
24,-6.933198882386124,107.56419029370844,98,98,98,98
25,-6.933197905289495,107.56437116132926,98,98,98,98
26,-6.933196928124129,107.56455202892398,98,98,98,98
27,-6.933195950890029,107.5647328964926,98,98,98,98
28,-6.9331949735871925,107.5649137640351,98,98,98,98
29,-6.9331939962156195,107.56509463155149,98,98,98,98
30,-6.9331930187753095,107.56527549904175,39,61,74,80
31,-6.933192041266266,107.56545636650588,57,72,81,86
32,-6.933191063688486,107.5656372339439,57,72,81,86
33,-6.933190086041971,107.5658181013558,39,61,74,80
34,-6.933189108326719,107.56599896874158,57,72,81,86
35,-6.933380596901206,107.56401040377172,98,98,98,98
36,-6.933379619847603,107.56419127148745,98,98,98,98
37,-6.933378642725262,107.56437213917707,98,98,98,98
38,-6.933377665534183,107.56455300684057,98,98,98,98
39,-6.9333766882743655,107.56473387447798,98,98,98,98
40,-6.933375710945812,107.56491474208926,98,98,98,98
41,-6.93337473354852,107.56509560967443,98,98,98,98
42,-6.93337375608249,107.56527647723348,98,98,98,98
43,-6.933372778547723,107.5654573447664,57,72,81,86
44,-6.93337180094422,107.5656382122732,57,72,81,86
45,-6.933370823271977,107.56581907975388,39,61,74,80
46,-6.933369845530999,107.56599994720844,98,98,98,98
47,-6.933561334386886,107.56401138150805,98,98,98,98
48,-6.933560357307572,107.56419224929257,98,98,98,98
49,-6.93355938015952,107.56437311705098,98,98,98,98
50,-6.933558402942726,107.56455398478327,98,98,98,98
51,-6.933557425657194,107.56473485248947,98,98,98,98
52,-6.933556448302922,107.56491572016954,98,98,98,98
53,-6.93355547087991,107.56509658782349,98,98,98,98
54,-6.9335544933881605,107.56527745545132,98,98,98,98
55,-6.93355351582767,107.56545832305302,98,98,98,98
56,-6.933552538198442,107.56563919062863,57,72,81,86
57,-6.933551560500474,107.56582005817809,98,98,98,98
58,-6.9337430489073375,107.56383149139108,39,61,74,80
59,-6.9337420718710545,107.5640123592705,98,98,98,98
60,-6.933741094766031,107.56419322712382,98,98,98,98
61,-6.933740117592267,107.56437409495102,98,98,98,98
62,-6.933739140349759,107.5645549627521,98,98,98,98
63,-6.933738163038512,107.56473583052707,98,98,98,98
64,-6.933737185658523,107.56491669827592,98,98,98,98
65,-6.933736208209791,107.56509756599867,98,98,98,98
66,-6.933735230692322,107.56527843369528,98,98,98,98
67,-6.933734253106109,107.56545930136578,57,72,81,86
68,-6.933733275451156,107.56564016901017,57,72,81,86
69,-6.933732297727462,107.56582103662842,57,72,81,86
70,-6.933923786415706,107.56383246911086,98,98,98,98
71,-6.9339228093537155,107.56401333705907,98,98,98,98
72,-6.933921832222981,107.56419420498118,98,98,98,98
73,-6.933920855023504,107.56437507287716,98,98,98,98
74,-6.933919877755284,107.56455594074703,98,98,98,98
75,-6.933918900418321,107.5647368085908,98,98,98,98
76,-6.933917923012613,107.56491767640844,98,98,98,98
77,-6.933916945538164,107.56509854419996,98,98,98,98
78,-6.933915967994973,107.56527941196538,57,72,81,86
79,-6.933914990383038,107.56546027970465,57,72,81,86
80,-6.93391401270236,107.56564114741784,57,72,81,86
81,-6.93391303495294,107.56582201510489,57,72,81,86
82,-6.9341045239225645,107.56383344685675,98,98,98,98
83,-6.934103546834866,107.56401431487375,98,98,98,98
84,-6.934102569678422,107.56419518286462,57,72,81,86
85,-6.934101592453231,107.5643760508294,98,98,98,98
86,-6.9341006151592985,107.56455691876806,57,72,81,86
87,-6.934099637796619,107.56473778668062,98,98,98,98
88,-6.934098660365195,107.56491865456707,98,98,98,98
89,-6.934097682865027,107.56509952242737,98,98,98,98
90,-6.934096705296114,107.56528039026158,57,72,81,86
91,-6.934095727658456,107.56546125806966,57,72,81,86
92,-6.934094749952054,107.56564212585162,57,72,81,86
93,-6.934285261427913,107.56383442462872,98,98,98,98
94,-6.934284284314504,107.56401529271452,57,72,81,86
95,-6.934283307132351,107.56419616077419,57,72,81,86
96,-6.934282329881451,107.56437702880777,98,98,98,98
97,-6.934281352561803,107.56455789681522,98,98,98,98
98,-6.934280375173409,107.56473876479657,98,98,98,98
99,-6.934279397716267,107.5649196327518,45,66,77,83
100,-6.93427842019038,107.56510050068093,98,98,98,98
101,-6.934277442595745,107.56528136858391,57,72,81,86
102,-6.934276464932366,107.56546223646079,57,72,81,86
103,-6.934275487200239,107.56564310431155,57,72,81,86
104,-6.934465998931754,107.5638354024268,57,72,81,86
105,-6.9344650217926365,107.56401627058139,57,72,81,86
106,-6.9344640445847725,107.56419713870987,57,72,81,86
107,-6.93446306730816,107.56437800681223,98,98,98,98
108,-6.934462089962799,107.56455887488849,98,98,98,98
