,Latitude,Longitude,A,B,C,D
0,-6.938104752158973,107.52568994802449,98,98,98,98
1,-6.938103789045691,107.52587082295442,98,98,98,98
2,-6.938289346883178,107.52496741156773,39,61,74,80
3,-6.938288384019749,107.52514828666938,45,66,77,83
4,-6.938287421087526,107.52532916174532,98,98,98,98
5,-6.938286458086507,107.52551003679554,98,98,98,98
6,-6.938285495016692,107.52569091182004,39,61,74,80
7,-6.938284531878084,107.52587178681883,39,61,74,80
8,-6.93828356867068,107.52605266179188,98,98,98,98
9,-6.938470089840682,107.52496837511363,45,66,77,83
10,-6.938469126951933,107.52514925028412,39,61,74,80
11,-6.938468163994388,107.5253301254289,39,61,74,80
12,-6.938467200968046,107.52551100054797,98,98,98,98
13,-6.938466237872908,107.52569187564131,57,72,81,86
14,-6.938465274708971,107.52587275070893,57,72,81,86
15,-6.938464311476238,107.52605362575083,57,72,81,86
16,-6.93846334817471,107.52623450076702,57,72,81,86
17,-6.938462384804384,107.52641537575748,98,98,98,98
18,-6.938651795641949,107.52478846342018,45,66,77,83
19,-6.938650832796679,107.52496933868522,39,61,74,80
20,-6.938649869882611,107.52515021392456,98,98,98,98
21,-6.938648906899744,107.52533108913819,98,98,98,98
22,-6.938647943848079,107.5255119643261,57,72,81,86
23,-6.938646980727614,107.52569283948829,57,72,81,86
24,-6.9386460175383515,107.52587371462477,57,72,81,86
25,-6.93864505428029,107.52605458973552,57,72,81,86
26,-6.93864409095343,107.52623546482053,57,72,81,86
27,-6.9386431275577705,107.52641633987984,57,72,81,86
28,-6.938642164093315,107.52659721491342,57,72,81,86
29,-6.938641200560058,107.52677808992127,98,98,98,98
30,-6.938833501423543,107.52460855158904,45,66,77,83
31,-6.938832538621758,107.52478942694864,39,61,74,80
32,-6.93883157575117,107.52497030228255,45,66,77,83
33,-6.938830612811782,107.52515117759074,39,61,74,80
34,-6.938829649803593,107.52533205287321,98,98,98,98
35,-6.938828686726604,107.52551292812997,57,72,81,86
36,-6.938827723580813,107.525693803361,57,72,81,86
37,-6.938826760366224,107.52587467856632,98,98,98,98
38,-6.938825797082835,107.52605555374592,57,72,81,86
39,-6.938824833730644,107.5262364288998,57,72,81,86
40,-6.938823870309651,107.52641730402794,57,72,81,86
41,-6.93882290681986,107.52659817913036,57,72,81,86
42,-6.93882194326127,107.52677905420705,57,72,81,86
43,-6.938820979633878,107.52695992925801,57,72,81,86
44,-6.939015207185464,107.5244286396202,98,98,98,98
45,-6.939014244427162,107.52460951507436,98,98,98,98
46,-6.939013281600061,107.52479039050283,62,71,88,91
47,-6.939012318704154,107.52497126590558,98,98,98,98
48,-6.939011355739445,107.52515214128262,98,98,98,98
49,-6.939010392705936,107.52533301663392,39,61,74,80
50,-6.939009429603623,107.52551389195955,98,98,98,98
51,-6.939008466432508,107.52569476725942,98,98,98,98
52,-6.939007503192592,107.52587564253359,57,72,81,86
53,-6.939006539883872,107.52605651778204,57,72,81,86
54,-6.939005576506349,107.52623739300476,57,72,81,86
55,-6.939004613060027,107.52641826820178,57,72,81,86
56,-6.939003649544901,107.52659914337305,57,72,81,86
57,-6.939002685960973,107.52678001851858,57,72,81,86
58,-6.939001722308244,107.52696089363839,57,72,81,86
59,-6.939000758586712,107.52714176873248,98,98,98,98
60,-6.9391959502128895,107.52442960306237,45,66,77,83
61,-6.939194987429273,107.5246104785854,45,66,77,83
