,Latitude,Longitude,A,B,C,D
0,-6.939686086404364,107.53419974610591,98,98,98,98
1,-6.939685119829145,107.53438062044458,98,98,98,98
2,-6.939866828056191,107.53420071336924,39,61,74,80
3,-6.9398658614555595,107.53438158777678,98,98,98,98
4,-6.93986489478612,107.53456246215852,98,98,98,98
5,-6.940048536263742,107.5340208061562,39,61,74,80
6,-6.94004756970651,107.53420168065841,57,72,81,86
7,-6.940046603080467,107.5343825551348,57,72,81,86
8,-6.940045636385613,107.53456342958538,57,72,81,86
9,-6.940044669621949,107.53474430401016,39,61,74,80
10,-6.940229277937964,107.5340217734023,39,61,74,80
11,-6.9402283113553205,107.53420264797336,57,72,81,86
12,-6.940227344703867,107.53438352251861,57,72,81,86
13,-6.940226377983599,107.53456439703807,98,98,98,98
14,-6.940225411194518,107.5347452715317,98,98,98,98
15,-6.940224444336625,107.53492614599952,45,66,77,83
16,-6.9404187159864925,107.53239486775391,45,66,77,83
17,-6.9404177499977715,107.53257574262601,98,98,98,98
18,-6.940416783940237,107.53275661747232,98,98,98,98
19,-6.940415817813887,107.53293749229283,98,98,98,98
20,-6.940414851618722,107.53311836708755,39,61,74,80
21,-6.940413885354742,107.53329924185648,98,98,98,98
22,-6.940412919021948,107.53348011659962,98,98,98,98
23,-6.940411952620338,107.53366099131695,98,98,98,98
24,-6.940410986149916,107.53384186600847,98,98,98,98
25,-6.9404100196106775,107.53402274067419,39,61,74,80
26,-6.9404090530026235,107.53420361531413,98,98,98,98
27,-6.940408086325756,107.53438448992824,57,72,81,86
28,-6.940407119580076,107.53456536451654,57,72,81,86
29,-6.940406152765579,107.53474623907904,57,72,81,86
30,-6.940405185882269,107.53492711361574,98,98,98,98
31,-6.940602355515754,107.53185320945423,98,98,98,98
32,-6.940601389708089,107.53203408447254,45,66,77,83
33,-6.940600423831608,107.53221495946508,98,98,98,98
34,-6.940599457886311,107.53239583443184,39,61,74,80
35,-6.940598491872196,107.5325767093728,98,98,98,98
36,-6.940597525789265,107.53275758428798,45,66,77,83
37,-6.940596559637518,107.53293845917736,45,66,77,83
38,-6.940595593416953,107.53311933404095,45,66,77,83
39,-6.940594627127572,107.53330020887873,45,66,77,83
40,-6.940593660769374,107.53348108369073,98,98,98,98
41,-6.94059269434236,107.53366195847693,98,98,98,98
42,-6.940591727846529,107.53384283323732,39,61,74,80
43,-6.940590761281883,107.5340237079719,98,98,98,98
44,-6.940589794648419,107.5342045826807,98,98,98,98
45,-6.94058882794614,107.53438545736367,57,72,81,86
46,-6.940587861175043,107.53456633202084,57,72,81,86
47,-6.940586894335132,107.53474720665221,39,61,74,80
48,-6.940585927426404,107.53492808125775,39,61,74,80
49,-6.9405849604488585,107.53510895583749,98,98,98,98
50,-6.940784063254471,107.53167330083838,45,66,77,83
51,-6.940783097490236,107.53185417595134,45,66,77,83
