,Latitude,Longitude,A,B,C,D
0,-6.9267574050359375,107.5854980024831,98,98,98,98
1,-6.9267564207361785,107.58567886460405,98,98,98,98
2,-6.926940107949179,107.58513726299867,98,98,98,98
3,-6.926939123760832,107.58531812524097,98,98,98,98
4,-6.926938139503818,107.58549898745694,98,98,98,98
5,-6.926937155178135,107.58567984964661,98,98,98,98
6,-6.926936170783783,107.58586071180993,98,98,98,98
7,-6.9271237946981685,107.58459566077045,98,98,98,98
8,-6.927122810689913,107.58477652316041,98,98,98,98
9,-6.9271218266129875,107.58495738552408,57,72,81,86
10,-6.927120842467392,107.58513824786141,98,98,98,98
11,-6.927119858253125,107.58531911017243,98,98,98,98
12,-6.927118873970189,107.58549997245713,62,71,88,91
13,-6.927117889618581,107.58568083471549,62,71,88,91
14,-6.927116905198302,107.58586169694753,62,71,88,91
15,-6.927115920709354,107.58604255915326,98,98,98,98
16,-6.9273074809831,107.58405405791937,98,98,98,98
17,-6.927306497154947,107.58423492045702,98,98,98,98
18,-6.927305513258122,107.58441578296834,98,98,98,98
19,-6.927304529292624,107.58459664545333,98,98,98,98
20,-6.927303545258455,107.58477750791204,57,72,81,86
21,-6.927302561155613,107.58495837034441,57,72,81,86
22,-6.927301576984097,107.58513923275046,57,72,81,86
23,-6.927300592743908,107.5853200951302,98,98,98,98
24,-6.927299608435048,107.58550095748362,98,98,98,98
25,-6.927298624057516,107.5856818198107,98,98,98,98
26,-6.927297639611312,107.58586268211147,98,98,98,98
27,-6.927296655096434,107.58604354438589,98,98,98,98
28,-6.927295670512886,107.586224406634,98,98,98,98
29,-6.927491166803922,107.58351245444553,98,98,98,98
30,-6.927490183155882,107.5836933171308,98,98,98,98
31,-6.92748919943917,107.58387417978977,98,98,98,98
32,-6.927488215653781,107.58405504242243,98,98,98,98
33,-6.927487231799718,107.58423590502879,57,72,81,86
34,-6.927486247876982,107.58441676760883,98,98,98,98
35,-6.92748526388557,107.58459763016256,98,98,98,98
36,-6.927484279825484,107.58477849268996,57,72,81,86
37,-6.927483295696724,107.58495935519107,57,72,81,86
38,-6.92748231149929,107.58514021766585,57,72,81,86
39,-6.927481327233181,107.5853210801143,98,98,98,98
40,-6.927480342898399,107.58550194253644,98,98,98,98
41,-6.927479358494941,107.58568280493223,98,98,98,98
42,-6.92747837402281,107.58586366730172,98,98,98,98
43,-6.927477389482005,107.58604452964488,98,98,98,98
44,-6.927476404872525,107.58622539196169,98,98,98,98
45,-6.9276748521605835,107.5829708503489,45,66,77,83
46,-6.92767386869267,107.5831517131818,98,98,98,98
47,-6.927672885156079,107.58333257598842,98,98,98,98
48,-6.927671901550812,107.58351343876872,98,98,98,98
49,-6.927670917876869,107.58369430152271,98,98,98,98
50,-6.927669934134249,107.58387516425041,98,98,98,98
51,-6.9276689503229525,107.5840560269518,98,98,98,98
52,-6.927667966442981,107.58423688962688,57,72,81,86
53,-6.92766698249433,107.58441775227564,98,98,98,98
54,-6.927665998477006,107.58459861489808,98,98,98,98
55,-6.927665014391004,107.58477947749422,98,98,98,98
56,-6.927664030236326,107.58496034006403,98,98,98,98
57,-6.927663046012973,107.58514120260755,57,72,81,86
58,-6.927662061720943,107.58532206512471,57,72,81,86
59,-6.927661077360237,107.58550292761556,57,72,81,86
60,-6.927660092930856,107.5856837900801,57,72,81,86
61,-6.927659108432799,107.58586465251831,98,98,98,98
62,-6.927658123866065,107.58604551493018,98,98,98,98
63,-6.927657139230655,107.58622637731571,98,98,98,98
64,-6.927656154526571,107.58640723967494,98,98,98,98
65,-6.927858537053037,107.58242924562956,98,98,98,98
66,-6.92785755376526,107.58261010861008,98,98,98,98
67,-6.927856570408804,107.58279097156431,98,98,98,98
68,-6.927855586983669,107.58297183449224,98,98,98,98
69,-6.927854603489856,107.58315269739387,98,98,98,98
70,-6.9278536199273635,107.5833335602692,98,98,98,98
71,-6.927852636296194,107.58351442311822,98,98,98,98
72,-6.927851652596345,107.58369528594095,57,72,81,86
73,-6.927850668827818,107.58387614873736,57,72,81,86
74,-6.927849684990614,107.58405701150747,57,72,81,86
75,-6.9278487010847325,107.58423787425127,98,98,98,98
76,-6.92784771711017,107.58441873696877,98,98,98,98
77,-6.927846733066931,107.58459959965994,98,98,98,98
78,-6.927845748955014,107.5847804623248,57,72,81,86
79,-6.927844764774418,107.58496132496334,98,98,98,98
80,-6.927843780525146,107.58514218757556,98,98,98,98
81,-6.927842796207196,107.58532305016146,57,72,81,86
82,-6.927841811820566,107.58550391272104,98,98,98,98
83,-6.9278408273652605,107.5856847752543,57,72,81,86
84,-6.9278398428412755,107.58586563776122,98,98,98,98
85,-6.927838858248615,107.58604650024182,98,98,98,98
86,-6.927837873587276,107.58622736269608,98,98,98,98
87,-6.927836888857259,107.58640822512402,98,98,98,98
88,-6.927835904058564,107.58658908752562,98,98,98,98
89,-6.928041238373602,107.58206850341564,98,98,98,98
90,-6.928040255197291,107.58224936651746,98,98,98,98
91,-6.928039271952299,107.58243022959302,98,98,98,98
92,-6.928038288638628,107.58261109264227,98,98,98,98
93,-6.928037305256275,107.58279195566521,98,98,98,98
94,-6.928036321805243,107.58297281866187,98,98,98,98
95,-6.928035338285531,107.58315368163223,98,98,98,98
96,-6.928034354697138,107.58333454457627,98,98,98,98
97,-6.928033371040065,107.58351540749403,57,72,81,86
98,-6.928032387314312,107.58369627038549,57,72,81,86
99,-6.928031403519879,107.58387713325064,57,72,81,86
100,-6.928030419656765,107.58405799608946,57,72,81,86
101,-6.928029435724971,107.58423885890198,57,72,81,86
102,-6.928028451724499,107.5844197216882,57,72,81,86
103,-6.928027467655346,107.5846005844481,57,72,81,86
104,-6.928026483517514,107.58478144718168,57,72,81,86
105,-6.928025499311,107.58496230988895,57,72,81,86
106,-6.928024515035808,107.5851431725699,57,72,81,86
107,-6.928023530691938,107.58532403522453,57,72,81,86
108,-6.928022546279385,107.58550489785283,98,98,98,98
109,-6.928021561798153,107.58568576045481,57,72,81,86
110,-6.928020577248243,107.58586662303046,57,72,81,86
111,-6.928019592629654,107.58604748557978,57,72,81,86
112,-6.928018607942383,107.58622834810278,98,98,98,98
113,-6.928017623186435,107.58640921059944,98,98,98,98
114,-6.9280166383618065,107.58659007306976,98,98,98,98
115,-6.928224922517646,107.5815268975985,98,98,98,98
116,-6.928223939521493,107.58170776084793,98,98,98,98
117,-6.928222956456654,107.58188862407107,98,98,98,98
118,-6.9282219733231365,107.58206948726793,98,98,98,98
119,-6.928220990120935,107.58225035043849,98,98,98,98
120,-6.928220006850052,107.58243121358275,57,72,81,86
121,-6.9282190235104855,107.58261207670074,57,72,81,86
122,-6.928218040102236,107.58279293979241,57,72,81,86
123,-6.928217056625309,107.5829738028578,57,72,81,86
124,-6.928216073079695,107.58315466589688,57,72,81,86
125,-6.928215089465401,107.58333552890967,57,72,81,86
126,-6.928214105782426,107.58351639189615,57,72,81,86
127,-6.928213122030767,107.58369725485633,57,72,81,86
128,-6.928212138210427,107.5838781177902,57,72,81,86
129,-6.9282111543214056,107.58405898069776,57,72,81,86
