,Latitude,Longitude,A,B,C,D
0,-6.9490458806896305,107.541485174736,98,98,98,98
1,-6.949043939315349,107.54184692848571,98,98,98,98
2,-6.949226621245067,107.54148614609937,98,98,98,98
3,-6.9492256505668895,107.54166702305612,98,98,98,98
4,-6.949224679819812,107.54184789998699,98,98,98,98
5,-6.949223709003832,107.54202877689198,62,71,88,91
6,-6.9494083324337526,107.54130624043707,62,71,88,91
7,-6.949407361798992,107.54148711748864,98,98,98,98
8,-6.94940639109533,107.54166799451436,98,98,98,98
9,-6.949405420322764,107.54184887151416,62,71,88,91
10,-6.949589073011653,107.54130721178326,62,71,88,91
11,-6.949588102351409,107.54148808890379,62,71,88,91
12,-6.949587131622261,107.54166896599845,62,71,88,91
13,-6.949586160824207,107.54184984306723,98,98,98,98
14,-6.949770784204861,107.54112730593995,98,98,98,98
15,-6.949769813588042,107.54130818315532,62,71,88,91
16,-6.949768842902313,107.54148906034483,98,98,98,98
17,-6.94976787214768,107.54166993750844,57,72,81,86
18,-6.949766901324139,107.54185081464617,57,72,81,86
19,-6.949951524805223,107.54112827726895,62,71,88,91
20,-6.949950554162919,107.54130915455328,62,71,88,91
21,-6.9499495834517075,107.54149003181173,45,66,77,83
22,-6.949948612671588,107.54167090904431,98,98,98,98
23,-6.950133236002947,107.54094837124465,62,71,88,91
24,-6.950132265404074,107.54112924862382,62,71,88,91
25,-6.950131294736288,107.54131012597712,45,66,77,83
26,-6.950130323999592,107.54149100330454,98,98,98,98
27,-6.950129353193987,107.54167188060607,57,72,81,86
28,-6.950313976625768,107.54094934255644,62,71,88,91
29,-6.950313006001412,107.54113022000459,98,98,98,98
30,-6.950312035308145,107.54131109742684,45,66,77,83
31,-6.950311064545966,107.54149197482322,98,98,98,98
32,-6.9504956878279955,107.54076943635114,62,71,88,91
33,-6.950494717247076,107.54095031389411,62,71,88,91
34,-6.950493746597241,107.54113119141122,98,98,98,98
35,-6.950492775878491,107.54131206890244,98,98,98,98
36,-6.950491805090829,107.54149294636777,98,98,98,98
37,-6.9506764284732725,107.54077040764574,62,71,88,91
38,-6.950675457866874,107.54095128525766,98,98,98,98
39,-6.9506744871915584,107.54113216284372,98,98,98,98
40,-6.950673516447328,107.5413130404039,39,61,74,80
41,-6.950858139679998,107.5405905012594,98,98,98,98
42,-6.950857169117038,107.5407713789662,45,66,77,83
43,-6.950856198485161,107.5409522566471,25,55,70,77
44,-6.9508552277843645,107.54113313430211,45,53,67,72
45,-6.950854257014653,107.54131401193128,45,66,77,83
46,-6.95103888034773,107.54059147253676,98,98,98,98
47,-6.951037909759294,107.54077235031252,98,98,98,98
48,-6.951036939101938,107.5409532280624,25,55,70,77
49,-6.951035968375663,107.5411341057864,45,53,67,72
50,-6.951034997580467,107.54131498348453,45,53,67,72
51,-6.951220591558945,107.5404115659694,62,71,88,91
52,-6.951219621013952,107.54059244384001,98,98,98,98
53,-6.951218650400038,107.54077332168472,98,98,98,98
54,-6.951217679717204,107.54095419950359,98,98,98,98
55,-6.951216708965448,107.54113507729654,98,98,98,98
56,-6.951402302750673,107.54023165926411,98,98,98,98
57,-6.951401332249129,107.54041253722956,98,98,98,98
58,-6.951400361678663,107.54059341516911,62,71,88,91
59,-6.951399391039272,107.54077429308282,98,98,98,98
60,-6.951398420330959,107.54095517097065,98,98,98,98
61,-6.951397449553723,107.54113604883257,62,71,88,91
62,-6.951584013922913,107.54005175242087,98,98,98,98
63,-6.9515830434648205,107.54023263048116,98,98,98,98
64,-6.951582072937804,107.54041350851556,98,98,98,98
65,-6.951581102341862,107.5405943865241,98,98,98,98
66,-6.951580131676995,107.54077526450678,98,98,98,98
67,-6.951579160943203,107.54095614246357,98,98,98,98
68,-6.951765725075659,107.53987184543966,98,98,98,98
69,-6.951764754661022,107.5400527235948,98,98,98,98
70,-6.9517637841774595,107.54023360172405,98,98,98,98
71,-6.95176281362497,107.54041447982745,25,55,70,77
72,-6.951761843003551,107.54059535790498,98,98,98,98
73,-6.951760872313207,107.54077623595661,98,98,98,98
74,-6.951759901553937,107.54095711398239,98,98,98,98
75,-6.95194937674447,107.53933018174297,98,98,98,98
76,-6.951948406511151,107.53951106004467,98,98,98,98
77,-6.951947436208902,107.53969193832052,98,98,98,98
78,-6.951946465837725,107.5398728165705,98,98,98,98
79,-6.951945495397618,107.5400536947946,98,98,98,98
80,-6.951944524888584,107.54023457299284,98,98,98,98
81,-6.951943554310621,107.5404154511652,98,98,98,98
82,-6.95194258366373,107.5405963293117,98,98,98,98
83,-6.951941612947909,107.54077720743233,98,98,98,98
84,-6.95194064216316,107.54095808552708,98,98,98,98
85,-6.952130117581425,107.53933115269272,98,98,98,98
86,-6.9521291473226405,107.53951203106341,25,55,70,77
87,-6.952128176994926,107.53969290940822,62,71,88,91
88,-6.9521272065982815,107.53987378772717,98,98,98,98
89,-6.952126236132706,107.54005466602027,98,98,98,98
90,-6.952125265598199,107.54023554428748,98,98,98,98
91,-6.952124294994763,107.54041642252884,98,98,98,98
92,-6.952123324322397,107.54059730074432,98,98,98,98
93,-6.9521223535811005,107.54077817893392,98,98,98,98
94,-6.952311828632182,107.5391512452028,98,98,98,98
95,-6.952310858416867,107.53933212366833,62,71,88,91
96,-6.9523098881326195,107.539513002108,25,55,70,77
97,-6.952308917779439,107.5396938805218,25,55,70,77
98,-6.952307947357327,107.53987475890973,62,71,88,91
99,-6.952306976866282,107.5400556372718,98,98,98,98
100,-6.952306006306304,107.54023651560802,98,98,98,98
101,-6.952305035677393,107.54041739391833,98,98,98,98
102,-6.952304064979552,107.5405982722028,98,98,98,98
103,-6.952303094212777,107.54077915046139,98,98,98,98
104,-6.952492569491577,107.53915221613529,98,98,98,98
105,-6.952491599250799,107.5393330946698,25,55,70,77
106,-6.952490628941086,107.53951397317844,98,98,98,98
107,-6.952489658562441,107.53969485166124,98,98,98,98
108,-6.952488688114859,107.53987573011815,25,55,70,77
109,-6.952487717598346,107.54005660854921,98,98,98,98
110,-6.952486747012896,107.5402374869544,98,98,98,98
111,-6.952485776358513,107.54041836533371,98,98,98,98
112,-6.952484805635195,107.54059924368714,98,98,98,98
113,-6.952483834842946,107.54078012201472,98,98,98,98
114,-6.952673310349461,107.53915318709363,62,71,88,91
115,-6.95267234008322,107.53933406569713,25,55,70,77
116,-6.952671369748044,107.53951494427477,98,98,98,98
117,-6.952670399343932,107.53969582282653,98,98,98,98
118,-6.952669428870884,107.53987670135244,62,71,88,91
119,-6.952668458328899,107.54005757985249,98,98,98,98
120,-6.95266748771798,107.54023845832666,98,98,98,98
121,-6.952666517038122,107.54041933677496,98,98,98,98
122,-6.952665546289331,107.54060021519739,98,98,98,98
123,-6.952664575471603,107.54078109359394,98,98,98,98
124,-6.952854051205833,107.53915415807785,62,71,88,91
125,-6.95285308091413,107.53933503675033,62,71,88,91
126,-6.952852110553489,107.53951591539695,25,55,70,77
