,Latitude,Longitude,A,B,C,D
0,-6.930216874329613,107.54735298156909,98,98,98,98
1,-6.930398584426583,107.54717308354329,98,98,98,98
2,-6.930397614200012,107.54735395251001,98,98,98,98
3,-6.930396643904727,107.5475348214508,98,98,98,98
4,-6.9305812646191045,107.5468123162926,25,55,70,77
5,-6.930580294504418,107.54699318537996,98,98,98,98
6,-6.930579324321016,107.54717405444137,98,98,98,98
7,-6.930578354068901,107.54735492347686,98,98,98,98
8,-6.930577383748074,107.5475357924864,98,98,98,98
9,-6.930576413358532,107.54771666147002,98,98,98,98
10,-6.930763944637413,107.54645154868908,25,55,70,77
11,-6.930762974634617,107.54663241789707,25,55,70,77
12,-6.930762004563107,107.54681328707912,98,98,98,98
13,-6.930761034422882,107.54699415623523,45,66,77,83
14,-6.930760064213941,107.5471750253654,45,66,77,83
15,-6.930759093936284,107.54735589446966,98,98,98,98
16,-6.9307581235899125,107.54753676354797,98,98,98,98
17,-6.930757153174826,107.54771763260034,98,98,98,98
18,-6.930756182691025,107.54789850162676,98,98,98,98
19,-6.930945654590592,107.54627165006133,25,55,70,77
20,-6.93094468463098,107.546452519364,45,53,67,72
21,-6.930943714602649,107.54663338864074,25,55,70,77
22,-6.930942744505603,107.54681425789155,98,98,98,98
23,-6.930941774339839,107.54699512711645,25,55,70,77
24,-6.930940804105358,107.54717599631539,57,72,81,86
25,-6.930939833802158,107.5473568654884,98,98,98,98
26,-6.930938863430246,107.54753773463545,98,98,98,98
27,-6.930937892989614,107.54771860375659,98,98,98,98
28,-6.9309369224802655,107.54789947285178,98,98,98,98
29,-6.931128334372315,107.54591088187276,45,53,67,72
30,-6.931127364524609,107.54609175129603,45,53,67,72
31,-6.931126394608182,107.5462726206934,98,98,98,98
32,-6.931125424623038,107.54645349006485,45,66,77,83
33,-6.931124454569173,107.54663435941035,45,66,77,83
34,-6.93112348444659,107.54681522872994,98,98,98,98
35,-6.931122514255289,107.54699609802358,39,61,74,80
36,-6.931121543995269,107.54717696729129,57,72,81,86
37,-6.9311205736665285,107.54735783653307,98,98,98,98
38,-6.93111960326907,107.5475387057489,98,98,98,98
39,-6.931118632802894,107.5477195749388,98,98,98,98
40,-6.931117662268,107.54790044410275,98,98,98,98
41,-6.931116691664386,107.54808131324077,98,98,98,98
42,-6.931310044243974,107.54573098287526,25,55,70,77
43,-6.931309074439458,107.54591185239323,45,53,67,72
44,-6.931308104566224,107.54609272188529,98,98,98,98
45,-6.931307134624266,107.54627359135142,45,66,77,83
46,-6.931306164613588,107.54645446079161,98,98,98,98
47,-6.93130519453419,107.54663533020589,39,61,74,80
48,-6.931304224386071,107.54681619959425,57,72,81,86
49,-6.931303254169231,107.54699706895666,57,72,81,86
