,Latitude,Longitude,A,B,C,D
0,-7.024063439837425,107.73273755887722,98,98,98,98
1,-7.024062384989018,107.73291843660422,98,98,98,98
2,-7.024061330071003,107.73309931430337,45,66,77,83
3,-7.0240602750833805,107.73328019197469,98,98,98,98
4,-7.0240592200261505,107.73346106961816,98,98,98,98
5,-7.024058164899311,107.73364194723378,98,98,98,98
6,-7.024057109702866,107.73382282482154,98,98,98,98
7,-7.024048665625435,107.73526984452084,98,98,98,98
8,-7.024047609802524,107.73545072185786,98,98,98,98
9,-7.024046553910004,107.73563159916704,98,98,98,98
10,-7.024251534033774,107.7314724693159,98,98,98,98
11,-7.024250479645233,107.73165334730743,98,98,98,98
12,-7.024249425187082,107.73183422527113,98,98,98,98
13,-7.024248370659323,107.73201510320699,45,66,77,83
14,-7.024247316061952,107.73219598111501,98,98,98,98
15,-7.024246261394973,107.73237685899521,98,98,98,98
16,-7.0242452066583825,107.73255773684757,98,98,98,98
17,-7.024244151852184,107.73273861467207,39,61,74,80
18,-7.024243096976375,107.73291949246875,98,98,98,98
19,-7.024242042030957,107.73310037023758,98,98,98,98
20,-7.0242409870159275,107.73328124797857,39,61,74,80
21,-7.02423993193129,107.7334621256917,45,66,77,83
22,-7.024238876777043,107.733643003377,98,98,98,98
23,-7.024237821553187,107.73382388103443,98,98,98,98
24,-7.024236766259722,107.73400475866401,98,98,98,98
25,-7.024235710896646,107.73418563626574,45,66,77,83
26,-7.024234655463962,107.73436651383962,98,98,98,98
27,-7.0242335999616685,107.73454739138563,45,66,77,83
28,-7.024232544389767,107.7347282689038,98,98,98,98
29,-7.024231488748255,107.73490914639409,98,98,98,98
30,-7.024230433037134,107.73509002385651,45,66,77,83
31,-7.024229377256405,107.73527090129109,98,98,98,98
32,-7.024228321406066,107.73545177869778,98,98,98,98
33,-7.024227265486118,107.7356326560766,57,72,81,86
34,-7.024226209496563,107.73581353342756,98,98,98,98
35,-7.024435409068863,107.73093089030034,98,98,98,98
36,-7.02443435486177,107.731111768445,98,98,98,98
37,-7.024433300585064,107.73129264656187,98,98,98,98
38,-7.024432246238745,107.7314735246509,45,66,77,83
39,-7.024431191822815,107.7316544027121,98,98,98,98
40,-7.024430137337275,107.73183528074546,98,98,98,98
41,-7.024429082782121,107.732016158751,39,61,74,80
42,-7.024428028157357,107.7321970367287,39,61,74,80
43,-7.0244269734629805,107.73237791467857,98,98,98,98
44,-7.024425918698993,107.73255879260059,98,98,98,98
45,-7.024424863865392,107.73273967049478,98,98,98,98
46,-7.024423808962182,107.73292054836112,98,98,98,98
47,-7.02442275398936,107.73310142619964,45,66,77,83
48,-7.024421698946927,107.73328230401029,98,98,98,98
49,-7.0244206438348815,107.7334631817931,98,98,98,98
50,-7.024419588653227,107.73364405954804,98,98,98,98
51,-7.02441853340196,107.73382493727516,39,61,74,80
52,-7.024417478081082,107.73400581497441,98,98,98,98
53,-7.024416422690592,107.73418669264582,98,98,98,98
54,-7.024415367230491,107.73436757028936,45,53,67,72
55,-7.024414311700781,107.73454844790506,98,98,98,98
56,-7.0244132561014565,107.73472932549288,45,66,77,83
57,-7.024412200432526,107.73491020305285,98,98,98,98
58,-7.024411144693981,107.73509108058495,39,61,74,80
59,-7.024410088885826,107.73527195808919,98,98,98,98
60,-7.024409033008061,107.73545283556555,57,72,81,86
61,-7.024407977060685,107.73563371301405,57,72,81,86
62,-7.024406921043698,107.73581459043469,57,72,81,86
63,-7.024615067119966,107.73111282366848,98,98,98,98
64,-7.024614012815876,107.73129370185501,39,61,74,80
65,-7.0246129584421695,107.73147458001371,98,98,98,98
66,-7.024611903998852,107.7316554581446,98,98,98,98
67,-7.02461084948592,107.73183633624764,98,98,98,98
68,-7.024609794903374,107.73201721432285,98,98,98,98
69,-7.024608740251214,107.73219809237023,39,61,74,80
70,-7.0246076855294435,107.73237897038976,98,98,98,98
71,-7.024606630738057,107.73255984838147,98,98,98,98
72,-7.0246055758770565,107.73274072634531,39,61,74,80
73,-7.024604520946445,107.73292160428134,98,98,98,98
74,-7.024603465946218,107.73310248218952,98,98,98,98
75,-7.02460241087638,107.73328336006985,98,98,98,98
76,-7.0246013557369285,107.73346423792233,98,98,98,98
77,-7.0246003005278626,107.73364511574697,98,98,98,98
78,-7.024599245249186,107.73382599354375,45,66,77,83
79,-7.024598189900894,107.73400687131267,98,98,98,98
80,-7.024597134482991,107.73418774905375,45,53,67,72
81,-7.024596078995474,107.73436862676698,45,53,67,72
82,-7.024595023438344,107.73454950445233,45,66,77,83
83,-7.024593967811603,107.73473038210983,39,61,74,80
84,-7.0245929121152475,107.73491125973948,98,98,98,98
85,-7.02459185634928,107.73509213734124,39,61,74,80
86,-7.0245908005137006,107.73527301491517,98,98,98,98
87,-7.024589744608508,107.73545389246121,98,98,98,98
88,-7.0245886886337034,107.73563476997937,57,72,81,86
89,-7.024587632589286,107.73581564746966,57,72,81,86
90,-7.024795779376616,107.73111387891979,98,98,98,98
91,-7.024794725045139,107.731294757176,98,98,98,98
92,-7.024793670644049,107.73147563540438,39,61,74,80
93,-7.02479261617334,107.73165651360493,98,98,98,98
94,-7.024791561633016,107.73183739177765,57,72,81,86
95,-7.024790507023079,107.73201826992253,98,98,98,98
96,-7.024789452343524,107.73219914803957,98,98,98,98
97,-7.024788397594356,107.73238002612881,57,72,81,86
98,-7.024787342775571,107.73256090419017,57,72,81,86
99,-7.024786287887172,107.73274178222371,98,98,98,98
100,-7.024785232929157,107.7329226602294,39,61,74,80
101,-7.0247841779015285,107.73310353820725,98,98,98,98
102,-7.024783122804284,107.73328441615726,39,61,74,80
103,-7.024782067637424,107.73346529407942,39,61,74,80
104,-7.02478101240095,107.73364617197373,45,66,77,83
105,-7.024779957094862,107.73382704984019,98,98,98,98
106,-7.024778901719159,107.73400792767879,45,66,77,83
107,-7.024777846273841,107.73418880548954,25,55,70,77
108,-7.024776790758908,107.73436968327245,98,98,98,98
109,-7.0247757351743605,107.73455056102748,98,98,98,98
110,-7.024774679520198,107.73473143875465,45,66,77,83
111,-7.024773623796422,107.73491231645397,98,98,98,98
112,-7.024772568003031,107.73509319412541,98,98,98,98
113,-7.024771512140027,107.735274071769,98,98,98,98
114,-7.024770456207408,107.73545494938472,45,66,77,83
115,-7.024769400205174,107.73563582697255,98,98,98,98
116,-7.024768344133324,107.73581670453254,57,72,81,86
117,-7.024975437272857,107.7312958125248,98,98,98,98
118,-7.024974382844377,107.73147669082286,98,98,98,98
119,-7.024973328346281,107.73165756909309,39,61,74,80
120,-7.024972273778566,107.73183844733548,57,72,81,86
121,-7.024971219141235,107.73201932555004,57,72,81,86
122,-7.024970164434287,107.73220020373678,57,72,81,86
123,-7.024969109657722,107.73238108189567,57,72,81,86
124,-7.024968054811539,107.73256196002671,57,72,81,86
125,-7.0249669998957405,107.73274283812994,57,72,81,86
126,-7.024965944910324,107.73292371620532,57,72,81,86
