,Latitude,Longitude,A,B,C,D
0,-6.987302231938818,107.61875112667117,98,98,98,98
1,-6.987482961147828,107.61875213311029,98,98,98,98
2,-6.987664695957205,107.61857225892317,98,98,98,98
3,-6.987663690355313,107.61875313957611,98,98,98,98
4,-6.987851457503632,107.61748798045265,98,98,98,98
5,-6.9878504522911085,107.61766886133493,98,98,98,98
6,-6.987849447009314,107.61784974219056,98,98,98,98
7,-6.987848441658247,107.61803062301951,57,72,81,86
8,-6.987847436237909,107.61821150382178,57,72,81,86
9,-6.987846430748302,107.6183923845974,57,72,81,86
10,-6.9878454251894215,107.61857326534633,98,98,98,98
11,-6.98784441956127,107.6187541460686,98,98,98,98
12,-6.987843413863848,107.61893502676419,98,98,98,98
13,-6.988033192061332,107.61730810550824,98,98,98,98
14,-6.988032186891834,107.61748898648652,45,66,77,83
15,-6.988031181653063,107.61766986743812,98,98,98,98
16,-6.988030176345018,107.61785074836307,98,98,98,98
17,-6.988029170967701,107.61803162926135,57,72,81,86
18,-6.98802816552111,107.61821251013296,57,72,81,86
19,-6.988027160005247,107.6183933909779,57,72,81,86
20,-6.98802615442011,107.61857427179616,98,98,98,98
21,-6.9880251487657015,107.61875515258775,98,98,98,98
22,-6.98802414304202,107.61893603335268,98,98,98,98
23,-6.988023137249064,107.61911691409092,98,98,98,98
24,-6.988022131386837,107.61929779480249,98,98,98,98
25,-6.988219951193937,107.61622382465401,57,72,81,86
26,-6.988213921474252,107.61730911149945,98,98,98,98
27,-6.988212916278508,107.61748999254705,45,66,77,83
28,-6.988211911013491,107.61767087356799,98,98,98,98
29,-6.988210905679197,107.61785175456225,98,98,98,98
30,-6.988209900275627,107.61803263552986,98,98,98,98
31,-6.988208894802783,107.61821351647082,98,98,98,98
32,-6.988207889260666,107.61839439738507,39,61,74,80
33,-6.988206883649273,107.61857527827269,98,98,98,98
34,-6.988205877968605,107.6187561591336,62,71,88,91
35,-6.988204872218663,107.61893703996785,98,98,98,98
36,-6.988203866399447,107.61911792077542,98,98,98,98
37,-6.988202860510954,107.61929880155631,98,98,98,98
38,-6.98820185455319,107.61947968231051,39,61,74,80
39,-6.988400680762768,107.61622483025589,57,72,81,86
40,-6.98839967595644,107.61640571153276,98,98,98,98
41,-6.988398671080835,107.61658659278298,98,98,98,98
42,-6.988397666135953,107.61676747400655,98,98,98,98
43,-6.988396661121795,107.61694835520346,98,98,98,98
44,-6.988395656038358,107.61712923637371,98,98,98,98
45,-6.988394650885646,107.6173101175173,98,98,98,98
46,-6.988393645663658,107.61749099863424,45,66,77,83
47,-6.988392640372391,107.61767187972451,98,98,98,98
48,-6.988391635011849,107.61785276078813,98,98,98,98
49,-6.988390629582029,107.61803364182505,98,98,98,98
50,-6.988389624082932,107.61821452283533,98,98,98,98
51,-6.98838861851456,107.61839540381894,98,98,98,98
52,-6.98838761287691,107.61857628477587,98,98,98,98
53,-6.988386607169983,107.61875716570611,98,98,98,98
54,-6.988385601393781,107.61893804660968,98,98,98,98
55,-6.988384595548301,107.6191189274866,98,98,98,98
56,-6.988383589633547,107.61929980833682,98,98,98,98
57,-6.988382583649514,107.61948068916037,98,98,98,98
58,-6.988381577596209,107.61966156995723,98,98,98,98
59,-6.988380571473623,107.61984245072739,98,98,98,98
60,-6.988379565281763,107.62002333147088,45,66,77,83
61,-6.988378559020628,107.62020421218769,39,61,74,80
62,-6.988377552690213,107.62038509287778,98,98,98,98
63,-6.988376546290526,107.6205659735412,98,98,98,98
64,-6.988375539821561,107.62074685417791,45,66,77,83
