,Latitude,Longitude,A,B,C,D
0,-6.991598419496293,107.62619143490329,98,98,98,98
1,-6.991779147590484,107.62619244482664,98,98,98,98
2,-6.991778138473632,107.62637332595254,98,98,98,98
3,-6.991777129287472,107.62655420705168,98,98,98,98
4,-6.991776120032003,107.6267350881241,98,98,98,98
5,-6.991961893761585,107.62583169230595,98,98,98,98
6,-6.991960884757019,107.62601257355472,98,98,98,98
7,-6.991959875683143,107.62619345477674,98,98,98,98
8,-6.991958866539957,107.626374335972,98,98,98,98
9,-6.991957857327461,107.62655521714052,98,98,98,98
10,-6.9919568480456515,107.62673609828228,98,98,98,98
11,-6.991955838694534,107.62691697939728,98,98,98,98
12,-6.991954829274107,107.62709786048552,98,98,98,98
13,-6.991953819784368,107.627278741547,98,98,98,98
14,-6.991952810225319,107.62745962258171,98,98,98,98
15,-6.9919518005969605,107.62764050358966,98,98,98,98
16,-6.991950790899289,107.62782138457085,98,98,98,98
17,-6.991949781132312,107.62800226552525,98,98,98,98
18,-6.9919487712960215,107.6281831464529,98,98,98,98
19,-6.9919477613904215,107.62836402735378,98,98,98,98
20,-6.9919467514155125,107.62854490822788,98,98,98,98
21,-6.991945741371293,107.6287257890752,98,98,98,98
22,-6.991944731257763,107.62890666989574,98,98,98,98
23,-6.991943721074926,107.6290875506895,98,98,98,98
24,-6.991942710822776,107.6292684314565,98,98,98,98
25,-6.991941700501316,107.62944931219668,98,98,98,98
26,-6.991940690110549,107.62963019291011,98,98,98,98
27,-6.9919396796504705,107.62981107359674,98,98,98,98
28,-6.992143630866964,107.62565182079918,98,98,98,98
29,-6.992142621905381,107.62583270214405,98,98,98,98
30,-6.992141612874485,107.6260135834622,98,98,98,98
31,-6.992140603774275,107.62619446475358,98,98,98,98
32,-6.992139594604754,107.62637534601822,57,72,81,86
33,-6.99213858536592,107.62655622725609,98,98,98,98
34,-6.992137576057774,107.62673710846722,98,98,98,98
35,-6.9921365666803155,107.62691798965159,98,98,98,98
36,-6.992135557233547,107.6270988708092,98,98,98,98
37,-6.9921345477174635,107.62727975194005,98,98,98,98
38,-6.992133538132068,107.62746063304414,98,98,98,98
