,Latitude,Longitude,A,B,C,D
0,-6.975058743720078,107.61036243679662,98,98,98,98
1,-6.975057743067694,107.61054331379964,98,98,98,98
2,-6.975056742346165,107.61072419077607,98,98,98,98
3,-6.975239474238773,107.6103634382388,98,98,98,98
4,-6.975238473560213,107.61054431531103,57,72,81,86
5,-6.975237472812506,107.61072519235665,57,72,81,86
6,-6.975236471995656,107.6109060693757,57,72,81,86
7,-6.975235471109655,107.61108694636815,57,72,81,86
8,-6.975234470154507,107.611267823334,57,72,81,86
9,-6.975233469130215,107.61144870027327,98,98,98,98
10,-6.975232468036776,107.61162957718592,98,98,98,98
11,-6.975231466874189,107.61181045407199,98,98,98,98
12,-6.9752304656424595,107.61199133093145,98,98,98,98
13,-6.975420204755947,107.61036443970758,57,72,81,86
14,-6.975419204051211,107.61054531684901,57,72,81,86
15,-6.975418203277329,107.61072619396384,57,72,81,86
16,-6.975417202434295,107.61090707105208,57,72,81,86
17,-6.975416201522115,107.61108794811373,57,72,81,86
18,-6.975415200540786,107.6112688251488,57,72,81,86
19,-6.975414199490308,107.61144970215724,57,72,81,86
20,-6.975413198370683,107.6116305791391,57,72,81,86
21,-6.9754121971819085,107.61181145609437,57,72,81,86
22,-6.975411195923986,107.61199233302303,57,72,81,86
23,-6.975410194596915,107.61217320992509,57,72,81,86
24,-6.975409193200696,107.61235408680052,57,72,81,86
25,-6.9754081917353306,107.61253496364937,57,72,81,86
26,-6.975407190200817,107.6127158404716,57,72,81,86
27,-6.975406188597155,107.61289671726722,98,98,98,98
28,-6.975405186924346,107.61307759403623,98,98,98,98
29,-6.975404185182388,107.6132584707786,98,98,98,98
30,-6.975403183371283,107.61343934749439,98,98,98,98
31,-6.975402181491029,107.61362022418353,98,98,98,98
32,-6.975401179541629,107.61380110084606,98,98,98,98
33,-6.975600935271597,107.61036544120294,57,72,81,86
34,-6.975599934540686,107.61054631841357,57,72,81,86
35,-6.975598933740625,107.6107271955976,98,98,98,98
36,-6.975597932871413,107.61090807275507,57,72,81,86
37,-6.97559693193305,107.61108894988591,57,72,81,86
38,-6.975595930925538,107.61126982699017,57,72,81,86
39,-6.975594929848875,107.61145070406783,57,72,81,86
40,-6.975593928703064,107.6116315811189,57,72,81,86
41,-6.975592927488101,107.61181245814336,57,72,81,86
42,-6.975591926203989,107.61199333514122,57,72,81,86
43,-6.975590924850726,107.61217421211246,57,72,81,86
44,-6.975589923428314,107.61235508905712,57,72,81,86
45,-6.975588921936753,107.61253596597517,57,72,81,86
46,-6.975587920376041,107.61271684286659,39,61,74,80
47,-6.97558691874618,107.61289771973142,39,61,74,80
48,-6.9755859170471695,107.61307859656962,39,61,74,80
49,-6.975584915279009,107.61325947338122,57,72,81,86
50,-6.9755839134416995,107.6134403501662,57,72,81,86
51,-6.9755829115352395,107.61362122692455,98,98,98,98
52,-6.97558190955963,107.6138021036563,98,98,98,98
53,-6.975782666473658,107.61018556541848,57,72,81,86
54,-6.975781665785723,107.6103664427249,57,72,81,86
55,-6.975780665028636,107.61054732000473,57,72,81,86
56,-6.975779664202397,107.61072819725797,57,72,81,86
57,-6.975778663307006,107.61090907448462,57,72,81,86
58,-6.9757776623424625,107.61108995168469,57,72,81,86
