,Latitude,Longitude,A,B,C,D
0,-6.995980184414318,107.71394375831403,39,61,74,80
1,-6.995979140981158,107.71412462805218,98,98,98,98
2,-6.995978097478666,107.71430549776268,98,98,98,98
3,-6.995977053906842,107.71448636744553,45,66,77,83
4,-6.996162986195098,107.71358306292143,45,66,77,83
5,-6.99616194287339,107.71376393278426,39,61,74,80
6,-6.996160899482351,107.71394480261944,98,98,98,98
7,-6.996159856021976,107.71412567242697,98,98,98,98
8,-6.99615881249227,107.71430654220687,98,98,98,98
9,-6.996157768893232,107.71448741195911,98,98,98,98
10,-6.99615672522486,107.71466828168371,98,98,98,98
11,-6.9961556814871555,107.71484915138066,98,98,98,98
12,-6.99634683094675,107.71304149715323,98,98,98,98
13,-6.996345787805838,107.71322236716836,45,66,77,83
14,-6.996344744595591,107.71340323715584,98,98,98,98
15,-6.996343701316009,107.71358410711571,39,61,74,80
16,-6.996342657967093,107.71376497704793,39,61,74,80
17,-6.996341614548842,107.7139458469525,39,61,74,80
18,-6.996340571061256,107.71412671682943,98,98,98,98
19,-6.996339527504335,107.71430758667871,45,66,77,83
20,-6.9963384838780796,107.71448845650035,39,61,74,80
21,-6.99633744018249,107.71466932629433,45,66,77,83
22,-6.996336396417566,107.71485019606067,98,98,98,98
23,-6.996535888996526,107.71159557949603,98,98,98,98
24,-6.996534846383106,107.71177644980159,98,98,98,98
25,-6.996533803700351,107.71195732007952,98,98,98,98
26,-6.996532760948257,107.71213819032984,98,98,98,98
27,-6.9965317181268265,107.71231906055252,98,98,98,98
28,-6.996530675236061,107.71249993074757,98,98,98,98
29,-6.996529632275955,107.712680800915,98,98,98,98
30,-6.996528589246513,107.7128616710548,45,66,77,83
31,-6.996527546147736,107.71304254116696,98,98,98,98
32,-6.996526502979621,107.71322341125149,98,98,98,98
33,-6.99652545974217,107.71340428130837,98,98,98,98
34,-6.9965244164353795,107.71358515133763,39,61,74,80
35,-6.996523373059256,107.71376602133923,98,98,98,98
36,-6.996522329613794,107.71394689131321,39,61,74,80
37,-6.996521286098996,107.71412776125953,39,61,74,80
38,-6.996520242514861,107.7143086311782,98,98,98,98
39,-6.99651919886139,107.71448950106924,98,98,98,98
40,-6.996518155138584,107.71467037093261,98,98,98,98
41,-6.996517111346439,107.71485124076834,98,98,98,98
42,-6.996516067484959,107.71503211057642,45,66,77,83
43,-6.996515023554142,107.71521298035682,98,98,98,98
44,-6.996718689486735,107.71123488214948,62,71,88,91
45,-6.996717646984804,107.71141575257967,45,66,77,83
46,-6.996716604413536,107.71159662298224,62,71,88,91
47,-6.996715561772928,107.71177749335719,45,66,77,83
48,-6.99671451906298,107.71195836370453,45,66,77,83
49,-6.996713476283694,107.71213923402424,98,98,98,98
50,-6.99671243343507,107.7123201043163,25,55,70,77
51,-6.996711390517106,107.71250097458076,45,53,67,72
52,-6.996710347529805,107.71268184481758,98,98,98,98
53,-6.996709304473163,107.71286271502679,98,98,98,98
54,-6.996708261347184,107.71304358520834,39,61,74,80
55,-6.996707218151865,107.71322445536225,57,72,81,86
56,-6.996706174887208,107.71340532548854,57,72,81,86
57,-6.996705131553212,107.71358619558718,39,61,74,80
58,-6.996704088149879,107.71376706565819,98,98,98,98
59,-6.996703044677207,107.71394793570155,45,66,77,83
60,-6.996702001135197,107.71412880571727,98,98,98,98
61,-6.996700957523848,107.71430967570534,45,53,67,72
62,-6.99669991384316,107.71449054566577,98,98,98,98
63,-6.996698870093134,107.71467141559854,45,66,77,83
64,-6.9966978262737705,107.71485228550365,98,98,98,98
65,-6.996696782385069,107.71503315538112,62,71,88,91
66,-6.996695738427031,107.71521402523095,98,98,98,98
67,-6.996694694399654,107.7153948950531,98,98,98,98
68,-6.996900447416352,107.71105505499732,98,98,98,98
69,-6.9968994049565785,107.71123592552452,45,66,77,83
70,-6.996898362427463,107.71141679602411,45,66,77,83
71,-6.9968973198290065,107.71159766649608,98,98,98,98
72,-6.99689627716121,107.71177853694043,98,98,98,98
73,-6.996895234424072,107.71195940735716,98,98,98,98
74,-6.996894191617594,107.71214027774626,98,98,98,98
75,-6.996893148741775,107.71232114810775,45,66,77,83
76,-6.996892105796615,107.71250201844158,25,55,70,77
77,-6.996891062782115,107.7126828887478,45,66,77,83
78,-6.996890019698274,107.71286375902639,98,98,98,98
79,-6.996888976545093,107.71304462927735,45,66,77,83
80,-6.996887933322571,107.71322549950067,39,61,74,80
81,-6.996886890030709,107.71340636969634,39,61,74,80
82,-6.996885846669506,107.71358723986438,39,61,74,80
83,-6.996884803238964,107.71376811000478,98,98,98,98
84,-6.996883759739082,107.71394898011755,45,66,77,83
85,-6.996882716169859,107.71412985020265,25,55,70,77
86,-6.996881672531295,107.71431072026013,25,55,70,77
87,-6.996880628823393,107.71449159028995,98,98,98,98
88,-6.996879585046148,107.71467246029212,98,98,98,98
89,-6.996878541199566,107.71485333026664,62,71,88,91
90,-6.996877497283641,107.7150342002135,98,98,98,98
91,-6.99687645329838,107.71521507013271,98,98,98,98
92,-6.996875409243776,107.71539594002427,39,61,74,80
93,-6.996874365119836,107.71557680988815,45,66,77,83
94,-6.997082205329454,107.71087522770635,98,98,98,98
95,-6.997081162911838,107.71105609833057,98,98,98,98
96,-6.997080120424881,107.71123696892718,45,66,77,83
97,-6.997079077868581,107.71141783949618,45,66,77,83
98,-6.997078035242939,107.71159871003753,98,98,98,98
99,-6.997076992547952,107.71177958055128,98,98,98,98
100,-6.997075949783623,107.7119604510374,98,98,98,98
101,-6.997074906949953,107.7121413214959,39,61,74,80
102,-6.997073864046941,107.71232219192679,98,98,98,98
103,-6.997072821074584,107.71250306233003,98,98,98,98
104,-6.997071778032886,107.71268393270566,98,98,98,98
105,-6.997070734921845,107.71286480305363,45,66,77,83
106,-6.997069691741461,107.713045673374,45,66,77,83
107,-6.997068648491738,107.7132265436667,98,98,98,98
108,-6.997067605172671,107.71340741393178,39,61,74,80
109,-6.99706656178426,107.71358828416922,39,61,74,80
110,-6.99706551832651,107.71376915437902,98,98,98,98
111,-6.997064474799416,107.71395002456119,98,98,98,98
112,-6.99706343120298,107.7141308947157,98,98,98,98
113,-6.997062387537203,107.71431176484255,98,98,98,98
114,-6.997061343802083,107.71449263494178,98,98,98,98
115,-6.997060299997623,107.71467350501334,98,98,98,98
116,-6.99705925612382,107.71485437505726,98,98,98,98
117,-6.997058212180677,107.71503524507352,98,98,98,98
118,-6.9970571681681895,107.71521611506213,98,98,98,98
119,-6.997056124086361,107.71539698502308,39,61,74,80
120,-6.997055079935191,107.71557785495636,62,71,88,91
121,-6.99705403571468,107.715758724862,45,66,77,83
122,-6.997052991424829,107.71593959473996,45,66,77,83
123,-6.997262920850584,107.71087627099783,98,98,98,98
124,-6.997261878405788,107.71105714169144,45,66,77,83
125,-6.997260835891646,107.71123801235746,98,98,98,98
126,-6.997259793308161,107.71141888299584,45,66,77,83
127,-6.99725875065533,107.7115997536066,25,55,70,77
