,Latitude,Longitude,A,B,C,D
0,-6.993920605579175,107.63108836947445,98,98,98,98
1,-6.994101332941811,107.63108938161903,98,98,98,98
2,-6.9942830715911235,107.63090951238945,57,72,81,86
3,-6.994282060302915,107.63109039379043,98,98,98,98
4,-6.994463798977082,107.63091052451824,98,98,98,98
5,-6.99446278766249,107.63109140598861,57,72,81,86
6,-6.994461776278564,107.63127228743218,57,72,81,86
7,-6.994644526361509,107.63091153667385,98,98,98,98
8,-6.994643515020535,107.63109241821361,57,72,81,86
9,-6.994642503610225,107.63127329972657,57,72,81,86
10,-6.994825253744408,107.63091254885624,98,98,98,98
11,-6.994824242377052,107.6310934304654,57,72,81,86
12,-6.994823230940358,107.63127431204775,98,98,98,98
13,-6.995005981125776,107.63091356106546,57,72,81,86
14,-6.9950049697320384,107.631094442744,57,72,81,86
15,-6.995003958268961,107.63127532439576,98,98,98,98
16,-6.995187719856391,107.6307336915267,98,98,98,98
17,-6.9951867085056145,107.63091457330145,57,72,81,86
18,-6.9951856970854935,107.6310954550494,57,72,81,86
19,-6.995184685596033,107.63127633677054,57,72,81,86
20,-6.9953684472610815,107.6307347037201,98,98,98,98
21,-6.995367435883922,107.63091558556425,57,72,81,86
22,-6.995366424437421,107.6310964673816,57,72,81,86
23,-6.995365412921575,107.63127734917215,98,98,98,98
24,-6.99554917466424,107.6307357159403,57,72,81,86
25,-6.9955481632607,107.63091659785385,98,98,98,98
26,-6.995547151787817,107.6310974797406,57,72,81,86
27,-6.995546140245588,107.63127836160055,57,72,81,86
28,-6.99572889063595,107.63091761017027,98,98,98,98
29,-6.995727879136683,107.63109849212641,98,98,98,98
30,-6.995726867568069,107.63127937405577,57,72,81,86
31,-6.9959096180096685,107.63091862251346,98,98,98,98
32,-6.99590860648402,107.63109950453902,98,98,98,98
33,-6.9959075948890215,107.63128038653778,57,72,81,86
34,-6.995906583224675,107.63146126850974,98,98,98,98
35,-6.996090345381858,107.63091963488348,98,98,98,98
36,-6.996089333829826,107.63110051697844,98,98,98,98
37,-6.996088322208446,107.6312813990466,57,72,81,86
38,-6.996087310517713,107.63146228108796,98,98,98,98
39,-6.996271072752516,107.63092064728028,98,98,98,98
40,-6.996270061174104,107.63110152944466,57,72,81,86
41,-6.9962690495263375,107.63128241158222,57,72,81,86
42,-6.996268037809218,107.631463293693,98,98,98,98
43,-6.996451800121646,107.63092165970389,98,98,98,98
44,-6.9964507885168485,107.63110254193768,57,72,81,86
45,-6.9964497768427005,107.63128342414466,57,72,81,86
