,Latitude,Longitude,A,B,C,D
0,-6.928400871518229,107.68027835617845,98,98,98,98
1,-6.928399850921337,107.68045920507723,98,98,98,98
2,-6.928582612690709,107.68009852848438,98,98,98,98
3,-6.928581592135609,107.68027937747915,57,72,81,86
4,-6.928580571511845,107.68046022644664,57,72,81,86
5,-6.928579550819415,107.68064107538684,98,98,98,98
6,-6.928578530058322,107.68082192429976,98,98,98,98
7,-6.92876333333344,107.68009954974366,57,72,81,86
8,-6.92876231275147,107.68028039880716,98,98,98,98
9,-6.928761292100832,107.68046124784335,57,72,81,86
10,-6.928760271381529,107.68064209685227,39,61,74,80
11,-6.9287592505935605,107.68082294583388,39,61,74,80
12,-6.928758229736925,107.68100379478821,39,61,74,80
13,-6.928757208811624,107.68118464371526,45,66,77,83
14,-6.92894405397465,107.68010057103022,98,98,98,98
15,-6.928943033365809,107.68028142016243,57,72,81,86
16,-6.9289420126882995,107.68046226926734,98,98,98,98
17,-6.928940991942121,107.68064311834497,39,61,74,80
18,-6.928939971127277,107.6808239673953,39,61,74,80
19,-6.928938950243763,107.68100481641835,98,98,98,98
20,-6.928937929291584,107.68118566541409,98,98,98,98
21,-6.928936908270734,107.68136651438255,98,98,98,98
22,-6.9289358871812174,107.68154736332372,57,72,81,86
23,-6.92912477461434,107.68010159234407,98,98,98,98
24,-6.929123753978627,107.680282441545,57,72,81,86
25,-6.929122733274246,107.68046329071863,98,98,98,98
26,-6.929121712501194,107.68064413986497,39,61,74,80
27,-6.929120691659472,107.68082498898401,39,61,74,80
28,-6.929119670749083,107.68100583807578,98,98,98,98
29,-6.929118649770022,107.68118668714024,57,72,81,86
30,-6.929117628722293,107.68136753617742,57,72,81,86
31,-6.929116607605891,107.68154838518728,98,98,98,98
32,-6.929115586420823,107.68172923416985,98,98,98,98
33,-6.929114565167084,107.68191008312512,45,66,77,83
34,-6.929306515846419,107.6799217643883,98,98,98,98
35,-6.929305495252509,107.68010261368522,98,98,98,98
36,-6.929304474589925,107.68028346295485,57,72,81,86
37,-6.929303453858671,107.6804643121972,57,72,81,86
38,-6.929302433058746,107.68064516141226,57,72,81,86
39,-6.9293014121901475,107.68082601060003,98,98,98,98
40,-6.92930039125288,107.68100685976052,98,98,98,98
41,-6.92929937024694,107.68118770889369,57,72,81,86
42,-6.929298349172328,107.68136855799958,57,72,81,86
43,-6.929297328029046,107.68154940707817,98,98,98,98
44,-6.929296306817091,107.68173025612944,98,98,98,98
45,-6.929295285536465,107.68191110515343,39,61,74,80
46,-6.929487236509935,107.67992278568799,98,98,98,98
47,-6.929486215889154,107.68010363505364,98,98,98,98
48,-6.929485195199701,107.68028448439199,57,72,81,86
49,-6.929484174441575,107.68046533370305,57,72,81,86
50,-6.929483153614776,107.68064618298685,57,72,81,86
51,-6.929482132719302,107.68082703224333,98,98,98,98
52,-6.929481111755157,107.68100788147252,98,98,98,98
53,-6.929480090722336,107.68118873067442,98,98,98,98
54,-6.929479069620843,107.68136957984902,98,98,98,98
55,-6.929478048450678,107.68155042899633,98,98,98,98
56,-6.929477027211839,107.68173127811633,98,98,98,98
57,-6.929476005904326,107.68191212720905,98,98,98,98
58,-6.92966795717193,107.67992380701499,98,98,98,98
59,-6.929666936524281,107.68010465644934,98,98,98,98
60,-6.9296659158079565,107.68028550585642,98,98,98,98
61,-6.929664895022957,107.6804663552362,39,61,74,80
62,-6.929663874169284,107.68064720458872,57,72,81,86
63,-6.929662853246936,107.68082805391393,57,72,81,86
64,-6.929661832255911,107.68100890321183,39,61,74,80
65,-6.929660811196212,107.68118975248245,57,72,81,86
66,-6.929659790067838,107.68137060172579,98,98,98,98
67,-6.929658768870789,107.68155145094181,98,98,98,98
68,-6.929657747605065,107.68173230013053,98,98,98,98
69,-6.929656726270665,107.68191314929196,98,98,98,98
70,-6.929848677832402,107.67992482836925,98,98,98,98
71,-6.929847657157886,107.68010567787233,98,98,98,98
72,-6.929846636414691,107.68028652734813,98,98,98,98
73,-6.929845615602819,107.68046737679664,98,98,98,98
74,-6.929844594722271,107.68064822621788,98,98,98,98
75,-6.929843573773049,107.6808290756118,39,61,74,80
76,-6.9298425527551455,107.68100992497844,98,98,98,98
77,-6.9298415316685675,107.68119077431778,57,72,81,86
78,-6.92984051051331,107.68137162362984,98,98,98,98
79,-6.929839489289377,107.68155247291459,98,98,98,98
80,-6.929838467996769,107.68173332217204,45,66,77,83
81,-6.929837446635484,107.68191417140217,98,98,98,98
82,-6.930030419124062,107.67974500015171,57,72,81,86
83,-6.930029398491356,107.6799258497508,57,72,81,86
84,-6.93002837778997,107.68010669932262,57,72,81,86
85,-6.930027357019905,107.68028754886714,98,98,98,98
86,-6.930026336181161,107.68046839838438,98,98,98,98
87,-6.930025315273738,107.68064924787433,98,98,98,98
88,-6.930024294297637,107.68083009733698,45,66,77,83
89,-6.930023273252858,107.68101094677235,98,98,98,98
90,-6.930022252139399,107.68119179618041,98,98,98,98
91,-6.930021230957262,107.6813726455612,98,98,98,98
92,-6.930020209706446,107.68155349491465,39,61,74,80
93,-6.930019188386952,107.68173434424082,98,98,98,98
94,-6.930018166998779,107.6819151935397,98,98,98,98
95,-6.930211139808361,107.67974602149182,57,72,81,86
96,-6.930210119148787,107.67992687115965,57,72,81,86
97,-6.930209098420532,107.68010772080018,57,72,81,86
98,-6.930208077623596,107.68028857041344,98,98,98,98
99,-6.930207056757982,107.6804694199994,57,72,81,86
100,-6.930206035823684,107.68065026955807,98,98,98,98
101,-6.930205014820708,107.68083111908946,45,66,77,83
102,-6.93020399374905,107.68101196859354,62,71,88,91
103,-6.93020297260871,107.68119281807034,25,55,70,77
104,-6.930201951399692,107.68137366751984,98,98,98,98
105,-6.930200930121994,107.68155451694203,98,98,98,98
106,-6.930199908775616,107.68173536633694,98,98,98,98
107,-6.930198887360556,107.68191621570453,98,98,98,98
108,-6.930391860491138,107.67974704285922,98,98,98,98
109,-6.930390839804697,107.67992789259577,57,72,81,86
110,-6.930389819049574,107.68010874230504,57,72,81,86
111,-6.930388798225767,107.68028959198702,98,98,98,98
112,-6.930387777333279,107.6804704416417,98,98,98,98
113,-6.9303867563721075,107.6806512912691,98,98,98,98
114,-6.930385735342255,107.68083214086923,45,66,77,83
115,-6.930384714243719,107.68101299044203,98,98,98,98
116,-6.930383693076501,107.68119383998756,39,61,74,80
117,-6.9303826718406,107.68137468950579,45,66,77,83
118,-6.9303816505360185,107.68155553899672,45,66,77,83
119,-6.930380629162754,107.68173638846034,98,98,98,98
120,-6.930379607720808,107.68191723789667,98,98,98,98
121,-6.930572581172394,107.6797480642539,98,98,98,98
122,-6.930571560459087,107.67992891405918,98,98,98,98
123,-6.930570539677094,107.68010976383717,98,98,98,98
124,-6.930569518826417,107.68029061358789,45,66,77,83
125,-6.930568497907057,107.68047146331129,98,98,98,98
126,-6.93056747691901,107.68065231300743,98,98,98,98
127,-6.930566455862281,107.68083316267628,98,98,98,98
128,-6.9305654347368675,107.68101401231783,98,98,98,98
129,-6.93056441354277,107.68119486193207,39,61,74,80
130,-6.930563392279988,107.68137571151904,39,61,74,80
131,-6.930562370948523,107.6815565610787,39,61,74,80
132,-6.930561349548375,107.68173741061103,98,98,98,98
133,-6.930560328079541,107.6819182601161,98,98,98,98
134,-6.930754322523619,107.67956823577455,57,72,81,86
135,-6.930753301852128,107.67974908567585,98,98,98,98
136,-6.930752281111953,107.67992993554988,39,61,74,80
137,-6.930751260303094,107.6801107853966,39,61,74,80
138,-6.930750239425545,107.68029163521604,39,61,74,80
139,-6.9307492184793125,107.6804724850082,98,98,98,98
140,-6.930748197464392,107.68065333477306,98,98,98,98
141,-6.930747176380787,107.68083418451063,98,98,98,98
142,-6.930746155228496,107.6810150342209,98,98,98,98
143,-6.930745134007519,107.6811958839039,45,66,77,83
144,-6.930744112717855,107.68137673355957,62,71,88,91
145,-6.930743091359505,107.68155758318797,39,61,74,80
146,-6.930742069932471,107.68173843278905,39,61,74,80
147,-6.930741048436751,107.68191928236284,45,66,77,83
148,-6.9309350432287,107.67956925715507,98,98,98,98
149,-6.9309340225303435,107.6797501071251,98,98,98,98
150,-6.930933001763302,107.67993095706784,39,61,74,80
151,-6.930931980927573,107.68011180698329,39,61,74,80
152,-6.930930960023154,107.68029265687147,39,61,74,80
153,-6.930929939050048,107.68047350673237,98,98,98,98
154,-6.930928918008254,107.68065435656597,98,98,98,98
155,-6.930927896897773,107.68083520637227,98,98,98,98
156,-6.930926875718603,107.68101605615128,98,98,98,98
157,-6.930925854470747,107.68119690590301,45,66,77,83
158,-6.930924833154202,107.68137775562742,98,98,98,98
159,-6.930923811768968,107.68155860532454,98,98,98,98
160,-6.93092279031505,107.68173945499437,98,98,98,98
161,-6.931115763932257,107.67957027856286,98,98,98,98
162,-6.931114743207036,107.67975112860162,98,98,98,98
163,-6.931113722413127,107.6799319786131,39,61,74,80
164,-6.9311127015505285,107.6801128285973,39,61,74,80
165,-6.93111168061924,107.68029367855421,98,98,98,98
166,-6.931110659619261,107.68047452848383,98,98,98,98
167,-6.931109638550592,107.68065537838616,98,98,98,98
