,Latitude,Longitude,A,B,C,D
0,-6.980891062153087,107.6340904580057,98,98,98,98
1,-6.980890051571524,107.63427133379422,98,98,98,98
2,-6.980889040920764,107.6344522095559,98,98,98,98
3,-6.980888030200807,107.63463308529076,98,98,98,98
4,-6.981071789176999,107.63409146939797,98,98,98,98
5,-6.981070778569026,107.63427234525574,98,98,98,98
6,-6.98106976789185,107.63445322108669,57,72,81,86
7,-6.981068757145476,107.63463409689079,98,98,98,98
8,-6.9810677463299005,107.63481497266807,98,98,98,98
9,-6.981066735445128,107.6349958484185,98,98,98,98
10,-6.981065724491154,107.6351767241421,98,98,98,98
11,-6.981064713467981,107.63535759983885,98,98,98,98
12,-6.981252516199388,107.63409248081707,98,98,98,98
13,-6.981251505564998,107.6342733567441,98,98,98,98
14,-6.981250494861409,107.6344542326443,98,98,98,98
15,-6.981249484088617,107.63463510851767,98,98,98,98
16,-6.981248473246626,107.6348159843642,98,98,98,98
17,-6.98124746233543,107.63499686018389,57,72,81,86
18,-6.981246451355036,107.63517773597674,57,72,81,86
19,-6.981245440305436,107.63535861174275,98,98,98,98
20,-6.981244429186639,107.63553948748192,98,98,98,98
21,-6.981243417998639,107.63572036319424,98,98,98,98
22,-6.981242406741438,107.63590123887971,98,98,98,98
23,-6.9814332432202475,107.634093492263,98,98,98,98
24,-6.981432232559446,107.6342743682593,57,72,81,86
25,-6.981431221829441,107.63445524422876,98,98,98,98
26,-6.981430211030233,107.63463612017138,98,98,98,98
27,-6.981429200161823,107.63481699608715,57,72,81,86
28,-6.981428189224206,107.63499787197611,57,72,81,86
29,-6.981427178217389,107.63517874783821,57,72,81,86
30,-6.981426167141367,107.63535962367348,98,98,98,98
31,-6.981425155996142,107.6355404994819,98,98,98,98
32,-6.981424144781715,107.63572137526349,98,98,98,98
33,-6.981423133498084,107.63590225101822,57,72,81,86
34,-6.981422122145251,107.63608312674612,98,98,98,98
35,-6.981421110723214,107.63626400244713,98,98,98,98
36,-6.981420099231975,107.63644487812134,98,98,98,98
37,-6.981419087671532,107.63662575376866,98,98,98,98
38,-6.9816139702395805,107.63409450373578,98,98,98,98
39,-6.981612959552367,107.63427537980132,57,72,81,86
40,-6.981611948795945,107.63445625584004,98,98,98,98
41,-6.98161093797032,107.63463713185192,98,98,98,98
42,-6.98160992707549,107.63481800783697,57,72,81,86
43,-6.981608916111454,107.63499888379518,57,72,81,86
44,-6.9816079050782145,107.63517975972653,57,72,81,86
45,-6.981606893975769,107.63536063563106,39,61,74,80
46,-6.98160588280412,107.63554151150875,39,61,74,80
47,-6.981604871563263,107.63572238735959,98,98,98,98
48,-6.981603860253203,107.63590326318358,98,98,98,98
49,-6.981602848873938,107.63608413898072,57,72,81,86
50,-6.981601837425468,107.63626501475102,98,98,98,98
51,-6.981600825907794,107.63644589049446,98,98,98,98
52,-6.981599814320916,107.63662676621104,98,98,98,98
53,-6.9815988026648315,107.63680764190079,98,98,98,98
54,-6.981597790939544,107.63698851756365,98,98,98,98
55,-6.98159677914505,107.63716939319967,98,98,98,98
56,-6.981795707901806,107.63391463907374,98,98,98,98
57,-6.981794697257385,107.63409551523537,98,98,98,98
58,-6.9817936865437575,107.63427639137018,57,72,81,86
59,-6.981792675760922,107.63445726747815,57,72,81,86
60,-6.98179166490888,107.63463814355929,57,72,81,86
61,-6.98179065398763,107.6348190196136,57,72,81,86
62,-6.981789642997176,107.63499989564106,57,72,81,86
63,-6.981788631937514,107.6351807716417,57,72,81,86
64,-6.981787620808644,107.63536164761548,98,98,98,98
65,-6.981786609610569,107.63554252356244,98,98,98,98
66,-6.981785598343284,107.63572339948253,98,98,98,98
67,-6.9817845870067945,107.63590427537578,57,72,81,86
68,-6.9817835756010975,107.63608515124218,57,72,81,86
69,-6.981782564126195,107.63626602708175,98,98,98,98
70,-6.981781552582086,107.63644690289443,57,72,81,86
71,-6.98178054096877,107.63662777868029,98,98,98,98
72,-6.981779529286248,107.63680865443929,98,98,98,98
73,-6.9817785175345195,107.63698953017142,98,98,98,98
74,-6.981777505713584,107.63717040587669,98,98,98,98
75,-6.981776493823444,107.63735128155511,98,98,98,98
76,-6.981976434944496,107.6339156505309,57,72,81,86
77,-6.981975424273664,107.6340965267618,57,72,81,86
78,-6.981974413533622,107.63427740296588,57,72,81,86
79,-6.981973402724371,107.6344582791431,57,72,81,86
80,-6.981972391845914,107.6346391552935,57,72,81,86
81,-6.981971380898245,107.63482003141708,57,72,81,86
82,-6.981970369881369,107.63500090751381,57,72,81,86
83,-6.981969358795284,107.6351817835837,57,72,81,86
84,-6.98196834763999,107.63536265962675,57,72,81,86
85,-6.9819673364154875,107.63554353564295,57,72,81,86
86,-6.9819663251217765,107.63572441163232,57,72,81,86
87,-6.981965313758859,107.63590528759484,57,72,81,86
88,-6.9819643023267295,107.63608616353049,57,72,81,86
89,-6.981963290825394,107.63626703943932,57,72,81,86
90,-6.981962279254851,107.63644791532128,57,72,81,86
91,-6.981961267615098,107.63662879117639,98,98,98,98
92,-6.981960255906138,107.63680966700464,98,98,98,98
93,-6.981959244127967,107.63699054280605,98,98,98,98
94,-6.981958232280591,107.63717141858058,98,98,98,98
95,-6.981957220364006,107.63735229432827,98,98,98,98
96,-6.981956208378213,107.63753317004907,98,98,98,98
97,-6.9821571619856595,107.63391666201488,98,98,98,98
98,-6.9821561512884145,107.63409753831505,57,72,81,86
99,-6.982155140521961,107.63427841458838,98,98,98,98
100,-6.982154129686295,107.63445929083488,57,72,81,86
101,-6.982153118781419,107.63464016705456,98,98,98,98
102,-6.982152107807332,107.63482104324738,57,72,81,86
103,-6.982151096764036,107.63500191941338,57,72,81,86
104,-6.9821500856515275,107.63518279555254,57,72,81,86
105,-6.98214907446981,107.63536367166485,57,72,81,86
106,-6.982148063218881,107.63554454775033,57,72,81,86
107,-6.982147051898743,107.63572542380895,57,72,81,86
108,-6.982146040509394,107.63590629984073,57,72,81,86
109,-6.982145029050836,107.63608717584566,98,98,98,98
110,-6.982144017523066,107.63626805182375,98,98,98,98
111,-6.982143005926086,107.63644892777498,98,98,98,98
112,-6.982141994259897,107.63662980369935,57,72,81,86
113,-6.982140982524498,107.63681067959688,98,98,98,98
114,-6.982139970719888,107.63699155546753,98,98,98,98
115,-6.982138958846069,107.63717243131133,98,98,98,98
116,-6.98213794690304,107.63735330712828,98,98,98,98
117,-6.9821369348908,107.63753418291834,98,98,98,98
118,-6.982135922809352,107.63771505868156,98,98,98,98
119,-6.982337889025294,107.63391767352572,98,98,98,98
120,-6.982336878301638,107.63409854989514,57,72,81,86
121,-6.98233586750877,107.63427942623774,98,98,98,98
122,-6.982334856646689,107.6344603025535,98,98,98,98
123,-6.982333845715396,107.63464117884244,98,98,98,98
124,-6.982332834714891,107.63482205510454,98,98,98,98
125,-6.982331823645174,107.6350029313398,98,98,98,98
126,-6.982330812506244,107.63518380754822,98,98,98,98
127,-6.982329801298102,107.6353646837298,98,98,98,98
128,-6.982328790020748,107.63554555988455,98,98,98,98
129,-6.98232777867418,107.63572643601243,39,61,74,80
130,-6.982326767258403,107.63590731211349,39,61,74,80
131,-6.982325755773411,107.63608818818768,57,72,81,86
132,-6.98232474421921,107.63626906423504,57,72,81,86
133,-6.982323732595795,107.63644994025553,57,72,81,86
134,-6.98232272090317,107.63663081624917,57,72,81,86
135,-6.982321709141331,107.63681169221596,98,98,98,98
136,-6.982320697310282,107.63699256815588,98,98,98,98
137,-6.98231968541002,107.63717344406895,98,98,98,98
138,-6.982318673440546,107.63735431995515,98,98,98,98
139,-6.982317661401861,107.6375351958145,98,98,98,98
140,-6.982316649293964,107.63771607164696,98,98,98,98
141,-6.982315637116857,107.63789694745259,98,98,98,98
142,-6.982519626744253,107.63373780859783,98,98,98,98
143,-6.9825186160634,107.63391868506335,98,98,98,98
144,-6.982517605313333,107.63409956150205,98,98,98,98
145,-6.982516594494053,107.63428043791392,98,98,98,98
146,-6.982515583605558,107.63446131429896,98,98,98,98
147,-6.9825145726478475,107.63464219065716,98,98,98,98
148,-6.982513561620923,107.63482306698853,98,98,98,98
149,-6.982512550524785,107.63500394329306,98,98,98,98
150,-6.982511539359433,107.63518481957075,98,98,98,98
151,-6.982510528124866,107.6353656958216,98,98,98,98
152,-6.982509516821085,107.6355465720456,62,71,88,91
153,-6.982508505448092,107.63572744824276,39,61,74,80
154,-6.982507494005883,107.63590832441308,39,61,74,80
155,-6.982506482494462,107.63608920055654,57,72,81,86
156,-6.982505470913826,107.63627007667316,57,72,81,86
157,-6.982504459263977,107.63645095276291,57,72,81,86
158,-6.9825034475449135,107.63663182882583,57,72,81,86
159,-6.982502435756637,107.63681270486188,98,98,98,98
160,-6.982501423899147,107.63699358087108,98,98,98,98
161,-6.982500411972442,107.63717445685342,98,98,98,98
162,-6.9824993999765255,107.63735533280888,98,98,98,98
163,-6.982498387911395,107.6375362087375,98,98,98,98
164,-6.982497375777051,107.63771708463925,98,98,98,98
165,-6.982496363573493,107.63789796051412,98,98,98,98
166,-6.982495351300722,107.63807883636214,98,98,98,98
167,-6.982494338958738,107.63825971218327,98,98,98,98
168,-6.982700353807243,107.63373882009303,98,98,98,98
169,-6.982699343099981,107.63391969662783,98,98,98,98
170,-6.982698332323502,107.6341005731358,98,98,98,98
171,-6.982697321477806,107.63428144961694,98,98,98,98
172,-6.982696310562896,107.63446232607124,98,98,98,98
173,-6.982695299578771,107.63464320249871,98,98,98,98
174,-6.982694288525426,107.63482407889936,98,98,98,98
175,-6.982693277402868,107.63500495527316,98,98,98,98
176,-6.982692266211094,107.63518583162012,45,66,77,83
177,-6.982691254950104,107.63536670794024,45,66,77,83
178,-6.982690243619897,107.63554758423352,62,71,88,91
179,-6.9826892322204746,107.63572846049995,39,61,74,80
180,-6.982688220751838,107.63590933673953,45,66,77,83
181,-6.9826872092139824,107.63609021295227,57,72,81,86
182,-6.982686197606916,107.63627108913815,57,72,81,86
183,-6.98268518593063,107.63645196529718,57,72,81,86
184,-6.982684174185131,107.63663284142935,57,72,81,86
185,-6.982683162370415,107.63681371753468,57,72,81,86
186,-6.982682150486482,107.63699459361315,57,72,81,86
187,-6.982681138533338,107.63717546966474,45,66,77,83
188,-6.982680126510976,107.63735634568948,98,98,98,98
189,-6.982679114419399,107.63753722168737,98,98,98,98
190,-6.982678102258608,107.6377180976584,98,98,98,98
191,-6.9826770900286,107.63789897360253,98,98,98,98
192,-6.982676077729379,107.63807984951981,98,98,98,98
193,-6.982675065360942,107.63826072541022,57,72,81,86
194,-6.982674052923289,107.63844160127375,57,72,81,86
195,-6.9826730404164215,107.63862247711042,98,98,98,98
196,-6.982881080868705,107.63373983161506,98,98,98,98
197,-6.982880070135035,107.63392070821914,98,98,98,98
198,-6.982879059332142,107.63410158479638,98,98,98,98
199,-6.9828780484600355,107.63428246134679,98,98,98,98
200,-6.98287703751871,107.63446333787036,98,98,98,98
201,-6.9828760265081655,107.63464421436711,98,98,98,98
202,-6.982875015428404,107.63482509083701,98,98,98,98
203,-6.982874004279425,107.6350059672801,98,98,98,98
204,-6.9828729930612266,107.63518684369632,39,61,74,80
205,-6.982871981773811,107.63536772008572,39,61,74,80
206,-6.9828709704171805,107.63554859644826,39,61,74,80
207,-6.98286995899133,107.63572947278396,39,61,74,80
208,-6.9828689474962635,107.63591034909281,98,98,98,98
209,-6.982867935931978,107.63609122537483,57,72,81,86
210,-6.9828669242984756,107.63627210162998,98,98,98,98
211,-6.982865912595756,107.6364529778583,57,72,81,86
212,-6.98286490082382,107.63663385405974,57,72,81,86
213,-6.982863888982665,107.63681473023433,57,72,81,86
214,-6.982862877072294,107.63699560638207,57,72,81,86
215,-6.982861865092705,107.63717648250294,98,98,98,98
216,-6.982860853043899,107.63735735859696,98,98,98,98
217,-6.982859840925878,107.6375382346641,98,98,98,98
218,-6.982858828738639,107.6377191107044,98,98,98,98
219,-6.982857816482181,107.63789998671781,98,98,98,98
220,-6.982856804156508,107.63808086270437,98,98,98,98
221,-6.982855791761617,107.63826173866404,98,98,98,98
222,-6.98285477929751,107.63844261459684,57,72,81,86
223,-6.982853766764185,107.63862349050278,98,98,98,98
224,-6.982852754161646,107.63880436638183,98,98,98,98
225,-6.983062818619504,107.63355996646375,98,98,98,98
226,-6.9830618079286415,107.63374084316393,98,98,98,98
227,-6.983060797168559,107.63392171983726,98,98,98,98
228,-6.983059786339257,107.63410259648377,98,98,98,98
229,-6.983058775440735,107.63428347310347,98,98,98,98
