,Latitude,Longitude,A,B,C,D
0,-6.958024073729446,107.51874168165577,39,61,74,80
1,-6.95802311052081,107.5189225651713,45,53,67,72
2,-6.958022147243181,107.51910344866116,45,53,67,72
3,-6.958021183896557,107.51928433212537,25,55,70,77
4,-6.958020220480942,107.51946521556391,45,53,67,72
5,-6.95801925699633,107.5196460989768,25,55,70,77
6,-6.958018293442725,107.51982698236402,25,55,70,77
7,-6.958211558113012,107.51747645977782,45,53,67,72
8,-6.9582105953620905,107.51765734354193,39,61,74,80
9,-6.958209632542173,107.5178382272804,45,66,77,83
10,-6.95820866965326,107.51801911099321,98,98,98,98
11,-6.958207706695349,107.51819999468037,45,53,67,72
12,-6.958206743668444,107.51838087834189,45,53,67,72
13,-6.958205780572542,107.51856176197776,39,61,74,80
14,-6.958204817407646,107.51874264558799,39,61,74,80
15,-6.9582038541737505,107.51892352917255,39,61,74,80
16,-6.9582028908708615,107.51910441273145,25,55,70,77
17,-6.958201927498977,107.51928529626471,25,55,70,77
18,-6.9582009640580935,107.51946617977231,45,53,67,72
19,-6.958200000548219,107.51964706325424,25,55,70,77
20,-6.958393264673631,107.51729653939357,45,53,67,72
21,-6.958392301966461,107.51747742325237,45,53,67,72
22,-6.958391339190293,107.51765830708551,98,98,98,98
23,-6.958390376345128,107.51783919089301,45,66,77,83
24,-6.958389413430965,107.51802007467488,45,66,77,83
25,-6.958388450447805,107.5182009584311,45,53,67,72
26,-6.958387487395645,107.51838184216167,45,53,67,72
27,-6.958386524274488,107.51856272586659,45,53,67,72
28,-6.9583855610843335,107.51874360954585,45,53,67,72
29,-6.958384597825182,107.51892449319946,45,53,67,72
30,-6.958383634497031,107.51910537682743,39,61,74,80
31,-6.958382671099884,107.51928626042972,25,55,70,77
32,-6.958381707633739,107.51946714400637,25,55,70,77
33,-6.958380744098596,107.51964802755735,25,55,70,77
34,-6.95857593380864,107.5169357348921,45,66,77,83
35,-6.958574971214226,107.51711661887121,45,53,67,72
36,-6.958574008550812,107.51729750282469,25,55,70,77
37,-6.958573045818398,107.51747838675253,45,53,67,72
38,-6.9585720830169855,107.51765927065473,39,61,74,80
39,-6.958571120146572,107.5178401545313,45,66,77,83
40,-6.95857015720716,107.5180210383822,98,98,98,98
41,-6.9585691941987475,107.51820192220747,25,55,70,77
42,-6.958568231121335,107.51838280600708,45,66,77,83
43,-6.9585672679749235,107.51856368978106,45,53,67,72
44,-6.958566304759512,107.51874457352937,45,53,67,72
45,-6.958565341475102,107.51892545725204,25,55,70,77
46,-6.958564378121692,107.51910634094904,39,61,74,80
47,-6.958563414699282,107.5192872246204,39,61,74,80
48,-6.958562451207873,107.5194681082661,98,98,98,98
49,-6.958757640285449,107.51675581413694,62,71,88,91
50,-6.958756677734796,107.51693669821076,98,98,98,98
51,-6.958755715115141,107.51711758225892,25,55,70,77
52,-6.958754752426486,107.51729846628145,25,55,70,77
53,-6.958753789668829,107.51747935027834,45,53,67,72
54,-6.9587528268421694,107.51766023424959,62,71,88,91
55,-6.958751863946508,107.51784111819521,45,66,77,83
56,-6.958750900981846,107.51802200211516,25,55,70,77
57,-6.958749937948183,107.51820288600949,25,55,70,77
58,-6.958748974845517,107.51838376987816,45,66,77,83
59,-6.95874801167385,107.51856465372119,45,53,67,72
60,-6.958747048433182,107.51874553753855,25,55,70,77
61,-6.958746085123514,107.51892642133026,25,55,70,77
62,-6.958745121744842,107.51910730509633,98,98,98,98
63,-6.95874415829717,107.51928818883674,39,61,74,80
64,-6.958743194780498,107.51946907255147,39,61,74,80
