,Latitude,Longitude,A,B,C,D
0,-7.007047694547376,107.64291988048372,45,66,77,83
1,-7.00704667680166,107.64310076504285,39,61,74,80
2,-7.007045658986488,107.64328164957507,98,98,98,98
3,-7.007044641101859,107.64346253408036,98,98,98,98
4,-7.007043623147772,107.64364341855871,45,66,77,83
5,-7.007228420079443,107.64292089910376,57,72,81,86
6,-7.007227402307225,107.64310178373242,98,98,98,98
7,-7.0072263844655485,107.64328266833415,98,98,98,98
8,-7.007225366554413,107.64346355290895,98,98,98,98
9,-7.007224348573816,107.64364443745683,98,98,98,98
10,-7.007223330523761,107.64382532197776,98,98,98,98
11,-7.007222312404247,107.64400620647176,98,98,98,98
12,-7.0074091456099765,107.64292191775073,57,72,81,86
13,-7.007408127811256,107.64310280244891,98,98,98,98
14,-7.007407109943075,107.64328368712015,98,98,98,98
15,-7.007406092005433,107.64346457176448,98,98,98,98
16,-7.00740507399833,107.64364545638188,98,98,98,98
17,-7.007404055921763,107.64382634097232,98,98,98,98
18,-7.007403037775737,107.64400722553584,98,98,98,98
19,-7.007402019560249,107.64418811007243,39,61,74,80
20,-7.007401001275301,107.64436899458208,98,98,98,98
21,-7.007589871138977,107.64292293642461,98,98,98,98
22,-7.007588853313754,107.64310382119231,98,98,98,98
23,-7.007587835419069,107.64328470593308,98,98,98,98
24,-7.007586817454919,107.64346559064693,98,98,98,98
25,-7.0075857994213075,107.64364647533384,98,98,98,98
26,-7.007584781318231,107.64382735999382,98,98,98,98
27,-7.007583763145693,107.64400824462687,98,98,98,98
28,-7.00758274490369,107.64418912923298,45,66,77,83
29,-7.0075817265922264,107.64437001381214,45,66,77,83
30,-7.0075807082113,107.64455089836437,98,98,98,98
31,-7.0075796897609095,107.64473178288966,98,98,98,98
32,-7.007770596666443,107.64292395512544,98,98,98,98
33,-7.007769578814718,107.64310483996265,98,98,98,98
34,-7.007768560893527,107.64328572477295,98,98,98,98
35,-7.007767542902872,107.64346660955631,57,72,81,86
36,-7.007766524842751,107.64364749431276,98,98,98,98
37,-7.007765506713164,107.64382837904225,98,98,98,98
38,-7.0077644885141135,107.64400926374482,98,98,98,98
39,-7.007763470245601,107.64419014842046,98,98,98,98
40,-7.00776245190762,107.64437103306915,45,66,77,83
41,-7.007761433500176,107.6445519176909,25,55,70,77
42,-7.007760415023265,107.64473280228572,45,53,67,72
43,-7.007759396476892,107.64491368685358,45,66,77,83
44,-7.007951322192375,107.64292497385317,98,98,98,98
45,-7.007950304314147,107.64310585875992,98,98,98,98
46,-7.007949286366452,107.64328674363973,98,98,98,98
47,-7.007948268349289,107.64346762849263,98,98,98,98
48,-7.00794725026266,107.6436485133186,98,98,98,98
49,-7.007946232106565,107.64382939811762,39,61,74,80
50,-7.007945213881003,107.64401028288971,39,61,74,80
