,Latitude,Longitude,A,B,C,D
0,-6.987944627465214,107.69707607717297,62,71,88,91
1,-6.987943591697036,107.69725694635333,39,61,74,80
2,-6.987942555859604,107.69743781550625,98,98,98,98
3,-6.987941519952916,107.69761868463169,45,66,77,83
4,-6.987940483976973,107.69779955372965,39,61,74,80
5,-6.987939447931778,107.69798042280014,39,61,74,80
6,-6.9879384118173276,107.69816129184314,39,61,74,80
7,-6.9879373756336225,107.69834216085867,39,61,74,80
8,-6.9879363393806635,107.6985230298467,39,61,74,80
9,-6.987935303058452,107.69870389880725,98,98,98,98
10,-6.987934266666985,107.69888476774031,98,98,98,98
11,-6.987933230206262,107.6990656366459,98,98,98,98
12,-6.987932193676289,107.69924650552396,98,98,98,98
13,-6.988131558442171,107.6959918977137,45,66,77,83
14,-6.988130523062488,107.69617276712819,98,98,98,98
15,-6.988129487613549,107.69635363651524,39,61,74,80
16,-6.988128452095354,107.69653450587481,39,61,74,80
17,-6.988127416507901,107.6967153752069,98,98,98,98
18,-6.988126380851192,107.69689624451155,98,98,98,98
19,-6.988125345125225,107.69707711378872,45,66,77,83
20,-6.988124309330004,107.69725798303841,98,98,98,98
21,-6.988123273465528,107.69743885226063,39,61,74,80
22,-6.988122237531793,107.69761972145538,45,66,77,83
23,-6.988121201528803,107.69780059062265,98,98,98,98
24,-6.988120165456556,107.69798145976245,39,61,74,80
25,-6.988119129315054,107.69816232887476,39,61,74,80
26,-6.988118093104293,107.6983431979596,39,61,74,80
27,-6.98811705682428,107.69852406701695,45,66,77,83
28,-6.98811602047501,107.69870493604681,98,98,98,98
29,-6.988114984056483,107.69888580504917,39,61,74,80
30,-6.9881139475687,107.69906667402407,98,98,98,98
31,-6.9881129110116635,107.69924754297146,98,98,98,98
32,-6.9881118743853685,107.69942841189136,98,98,98,98
33,-6.988110837689819,107.69960928078376,39,61,74,80
34,-6.988109800925014,107.69979014964868,98,98,98,98
35,-6.988315382067465,107.69545032532487,98,98,98,98
36,-6.988314346868525,107.69563119489105,98,98,98,98
37,-6.9883133116003275,107.69581206442977,45,66,77,83
38,-6.98831227626287,107.69599293394106,98,98,98,98
39,-6.988311240856155,107.69617380342487,39,61,74,80
40,-6.988310205380181,107.6963546728812,39,61,74,80
41,-6.98830916983495,107.6965355423101,39,61,74,80
42,-6.988308134220459,107.69671641171152,45,66,77,83
43,-6.988307098536711,107.69689728108547,45,66,77,83
44,-6.988306062783704,107.69707815043195,98,98,98,98
45,-6.988305026961438,107.69725901975096,39,61,74,80
46,-6.988303991069915,107.6974398890425,98,98,98,98
47,-6.988302955109134,107.69762075830656,39,61,74,80
48,-6.988301919079095,107.69780162754313,98,98,98,98
49,-6.9883008829797975,107.69798249675223,98,98,98,98
50,-6.988299846811243,107.69816336593387,45,66,77,83
51,-6.988298810573431,107.69834423508802,45,66,77,83
52,-6.98829777426636,107.69852510421468,98,98,98,98
53,-6.988296737890032,107.69870597331385,98,98,98,98
54,-6.9882957014444465,107.69888684238553,98,98,98,98
55,-6.988294664929602,107.69906771142973,98,98,98,98
56,-6.9882936283455,107.69924858044644,98,98,98,98
57,-6.988292591692142,107.69942944943566,39,61,74,80
58,-6.988291554969525,107.69961031839736,39,61,74,80
59,-6.98829051817765,107.69979118733158,45,66,77,83
60,-6.98828948131652,107.69997205623831,39,61,74,80
61,-6.988288444386131,107.70015292511754,39,61,74,80
62,-6.988499205230051,107.69490875230052,98,98,98,98
63,-6.988498170211865,107.69508962201837,98,98,98,98
64,-6.988497135124422,107.69527049170878,39,61,74,80
65,-6.988496099967715,107.69545136137172,39,61,74,80
66,-6.988495064741748,107.69563223100724,45,66,77,83
67,-6.988494029446521,107.69581310061528,45,66,77,83
68,-6.9884929940820335,107.69599397019587,45,66,77,83
69,-6.988491958648286,107.69617483974899,45,66,77,83
70,-6.988490923145278,107.69635570927466,98,98,98,98
71,-6.988489887573009,107.69653657877285,45,66,77,83
72,-6.988488851931483,107.69671744824359,98,98,98,98
73,-6.988487816220693,107.69689831768684,45,66,77,83
74,-6.9884867804406445,107.69707918710264,39,61,74,80
75,-6.988485744591338,107.69726005649098,98,98,98,98
76,-6.988484708672768,107.69744092585182,39,61,74,80
77,-6.98848367268494,107.6976217951852,57,72,81,86
78,-6.988482636627852,107.69780266449109,57,72,81,86
79,-6.9884816005015065,107.69798353376952,45,66,77,83
80,-6.988480564305899,107.69816440302046,45,66,77,83
81,-6.98847952804103,107.69834527224391,45,53,67,72
82,-6.988478491706904,107.6985261414399,39,61,74,80
83,-6.988477455303517,107.69870701060837,98,98,98,98
84,-6.988476418830873,107.69888787974938,98,98,98,98
85,-6.988475382288967,107.6990687488629,39,61,74,80
86,-6.988474345677802,107.69924961794891,39,61,74,80
87,-6.98847330899738,107.69943048700743,98,98,98,98
88,-6.988472272247695,107.69961135603847,45,66,77,83
89,-6.9884712354287535,107.69979222504202,39,61,74,80
90,-6.988470198540551,107.69997309401805,39,61,74,80
91,-6.988469161583089,107.70015396296658,98,98,98,98
92,-6.988468124556371,107.70033483188762,98,98,98,98
93,-6.988467087460392,107.70051570078114,39,61,74,80
94,-6.988466050295152,107.70069656964716,98,98,98,98
95,-6.988683027929883,107.69436717864068,98,98,98,98
96,-6.988681993092464,107.69454804851019,39,61,74,80
97,-6.988680958185781,107.69472891835225,39,61,74,80
98,-6.988679923209838,107.69490978816688,98,98,98,98
99,-6.988678888164631,107.69509065795407,62,71,88,91
100,-6.988677853050162,107.69527152771379,39,61,74,80
101,-6.988676817866431,107.69545239744606,39,61,74,80
102,-6.988675782613437,107.69563326715087,98,98,98,98
103,-6.98867474729118,107.69581413682823,98,98,98,98
104,-6.988673711899661,107.69599500647814,98,98,98,98
105,-6.988672676438883,107.69617587610058,45,66,77,83
106,-6.98867164090884,107.69635674569555,98,98,98,98
107,-6.988670605309537,107.69653761526308,98,98,98,98
108,-6.98866956964097,107.69671848480313,45,66,77,83
109,-6.988668533903142,107.6968993543157,98,98,98,98
110,-6.988667498096052,107.69708022380082,45,66,77,83
111,-6.988666462219701,107.69726109325846,62,71,88,91
112,-6.988665426274087,107.69744196268863,39,61,74,80
113,-6.9886643902592125,107.69762283209131,98,98,98,98
114,-6.988663354175075,107.69780370146654,39,61,74,80
115,-6.988662318021678,107.69798457081427,45,53,67,72
116,-6.9886612817990175,107.69816544013453,45,53,67,72
117,-6.988660245507096,107.69834630942731,45,53,67,72
118,-6.988659209145913,107.6985271786926,45,53,67,72
119,-6.988658172715469,107.6987080479304,45,66,77,83
120,-6.988657136215764,107.69888891714072,39,61,74,80
121,-6.988656099646796,107.69906978632355,45,66,77,83
122,-6.988655063008569,107.69925065547888,45,66,77,83
123,-6.988654026301081,107.69943152460672,98,98,98,98
124,-6.988652989524331,107.69961239370707,39,61,74,80
125,-6.988651952678319,107.69979326277992,39,61,74,80
126,-6.988650915763047,107.69997413182529,57,72,81,86
127,-6.9886498787785145,107.70015500084313,57,72,81,86
128,-6.98864884172472,107.70033586983348,98,98,98,98
129,-6.988647804601666,107.70051673879632,57,72,81,86
130,-6.988646767409349,107.70069760773166,98,98,98,98
131,-6.9886457301477725,107.70087847663949,98,98,98,98
132,-6.988644692816935,107.70105934551981,98,98,98,98
133,-6.988643655416837,107.70124021437262,98,98,98,98
134,-6.988866850166907,107.69382560434535,39,61,74,80
135,-6.988865815510264,107.69400647436652,98,98,98,98
136,-6.9888647807843585,107.69418734436024,45,66,77,83
137,-6.988863745989187,107.69436821432653,98,98,98,98
138,-6.988862711124751,107.69454908426536,98,98,98,98
139,-6.988861676191052,107.69472995417675,45,66,77,83
140,-6.988860641188088,107.6949108240607,98,98,98,98
141,-6.988859606115859,107.69509169391719,98,98,98,98
142,-6.988858570974364,107.69527256374624,98,98,98,98
143,-6.98885753576361,107.69545343354783,45,66,77,83
144,-6.988856500483588,107.69563430332197,45,66,77,83
145,-6.988855465134303,107.69581517306865,45,66,77,83
146,-6.988854429715754,107.69599604278787,62,71,88,91
147,-6.9888533942279425,107.69617691247963,39,61,74,80
148,-6.988852358670866,107.69635778214392,98,98,98,98
149,-6.988851323044526,107.69653865178076,98,98,98,98
150,-6.98885028734892,107.69671952139014,98,98,98,98
151,-6.988849251584053,107.69690039097202,45,66,77,83
152,-6.988848215749923,107.69708126052646,45,66,77,83
153,-6.988847179846528,107.69726213005342,98,98,98,98
154,-6.98884614387387,107.69744299955292,39,61,74,80
155,-6.9888451078319465,107.69762386902492,98,98,98,98
156,-6.988844071720761,107.69780473846946,62,71,88,91
157,-6.988843035540312,107.69798560788651,25,55,70,77
158,-6.9888419992906,107.69816647727609,45,53,67,72
159,-6.988840962971625,107.69834734663819,45,53,67,72
160,-6.988839926583386,107.69852821597279,45,53,67,72
161,-6.988838890125885,107.69870908527992,45,66,77,83
162,-6.988837853599119,107.69888995455955,39,61,74,80
