,Latitude,Longitude,A,B,C,D
0,-6.96803336024403,107.53977846641826,98,98,98,98
1,-6.9682179908579185,107.53905590168728,57,72,81,86
2,-6.968217018470933,107.53923678625628,57,72,81,86
3,-6.968216046014859,107.53941767079942,98,98,98,98
4,-6.968215073489692,107.53959855531672,57,72,81,86
5,-6.968214100895435,107.53977943980811,98,98,98,98
6,-6.968213128232085,107.53996032427366,39,61,74,80
7,-6.968399703953018,107.53887599016241,57,72,81,86
8,-6.968398731609668,107.53905687482643,57,72,81,86
9,-6.96839775919722,107.53923775946458,57,72,81,86
10,-6.968396786715682,107.53941864407687,57,72,81,86
11,-6.96839581416505,107.53959952866329,57,72,81,86
12,-6.968394841545325,107.53978041322385,57,72,81,86
13,-6.968393868856506,107.53996129775852,39,61,74,80
14,-6.9685804447287145,107.53887696325826,57,72,81,86
15,-6.968579472359902,107.53905784799143,57,72,81,86
16,-6.968578499921994,107.53923873269872,57,72,81,86
17,-6.9685775274149915,107.53941961738016,57,72,81,86
18,-6.9685765548388945,107.53960050203574,57,72,81,86
19,-6.968575582193702,107.53978138666544,98,98,98,98
20,-6.968574609479412,107.53996227126927,98,98,98,98
21,-6.9687611855028955,107.53887793637998,57,72,81,86
22,-6.968760213108624,107.5390588211823,57,72,81,86
23,-6.968759240645253,107.53923970595875,57,72,81,86
24,-6.968758268112786,107.53942059070933,57,72,81,86
25,-6.968757295511224,107.53960147543405,57,72,81,86
26,-6.968756322840561,107.5397823601329,98,98,98,98
27,-6.968755350100804,107.53996324480589,98,98,98,98
28,-6.968754377291948,107.540144129453,98,98,98,98
29,-6.968941926275562,107.53887890952757,57,72,81,86
30,-6.96894095385583,107.53905979439902,57,72,81,86
31,-6.968939981366997,107.53924067924463,57,72,81,86
32,-6.968939008809066,107.53942156406437,57,72,81,86
33,-6.9689380361820366,107.53960244885823,57,72,81,86
34,-6.968937063485908,107.53978333362625,98,98,98,98
35,-6.96893609072068,107.53996421836837,98,98,98,98
36,-6.968935117886353,107.54014510308464,98,98,98,98
37,-6.969122667046715,107.53887988270101,57,72,81,86
38,-6.9691216946015215,107.53906076764162,57,72,81,86
39,-6.969120722087227,107.53924165255637,57,72,81,86
40,-6.969119749503832,107.53942253744526,57,72,81,86
41,-6.969118776851336,107.53960342230829,57,72,81,86
42,-6.9691178041297395,107.53978430714544,57,72,81,86
43,-6.969116831339043,107.53996519195674,57,72,81,86
44,-6.969115858479245,107.54014607674215,57,72,81,86
45,-6.969316043646486,107.53652934842067,57,72,81,86
46,-6.9693150720741714,107.53671023376648,57,72,81,86
47,-6.9693141004327535,107.53689111908645,57,72,81,86
48,-6.969313128722232,107.53707200438059,57,72,81,86
49,-6.969312156942608,107.53725288964888,57,72,81,86
50,-6.969311185093881,107.53743377489133,57,72,81,86
51,-6.96931021317605,107.53761466010792,98,98,98,98
52,-6.969309241189116,107.53779554529868,98,98,98,98
53,-6.969308269133079,107.53797643046357,98,98,98,98
54,-6.96930729700794,107.53815731560263,57,72,81,86
55,-6.969306324813698,107.53833820071583,98,98,98,98
56,-6.969305352550352,107.53851908580319,57,72,81,86
57,-6.9693043802179035,107.53869997086467,57,72,81,86
58,-6.969303407816352,107.53888085590029,57,72,81,86
59,-6.969302435345698,107.53906174091007,57,72,81,86
60,-6.969301462805943,107.53924262589398,57,72,81,86
61,-6.969300490197083,107.53942351085203,57,72,81,86
62,-6.969299517519123,107.53960439578421,57,72,81,86
63,-6.969298544772058,107.53978528069051,57,72,81,86
64,-6.9692975719558925,107.53996616557096,98,98,98,98
65,-6.9692965990706215,107.54014705042553,57,72,81,86
66,-6.96929562611625,107.54032793525423,98,98,98,98
67,-6.96949872773362,107.53616854983935,57,72,81,86
68,-6.969497756274078,107.536349435306,57,72,81,86
69,-6.969496784745431,107.53653032074679,57,72,81,86
70,-6.96949581314768,107.53671120616175,57,72,81,86
71,-6.969494841480824,107.53689209155088,57,72,81,86
72,-6.969493869744862,107.53707297691417,57,72,81,86
73,-6.969492897939794,107.53725386225162,57,72,81,86
74,-6.969491926065623,107.53743474756322,57,72,81,86
75,-6.969490954122346,107.53761563284898,57,72,81,86
76,-6.969489982109965,107.53779651810889,57,72,81,86
77,-6.969489010028478,107.53797740334295,57,72,81,86
78,-6.969488037877887,107.53815828855116,57,72,81,86
79,-6.969487065658192,107.53833917373352,98,98,98,98
80,-6.969486093369391,107.53852005889001,98,98,98,98
81,-6.969485121011486,107.53870094402066,98,98,98,98
82,-6.969484148584477,107.53888182912546,57,72,81,86
83,-6.969483176088362,107.53906271420439,57,72,81,86
84,-6.9694822035231425,107.53924359925746,39,61,74,80
85,-6.969481230888821,107.53942448428465,98,98,98,98
86,-6.969480258185393,107.539605369286,98,98,98,98
87,-6.96947928541286,107.53978625426146,57,72,81,86
88,-6.969478312571225,107.53996713921106,57,72,81,86
89,-6.969477339660483,107.54014802413478,57,72,81,86
90,-6.96947636668064,107.54032890903262,98,98,98,98
91,-6.96967946888192,107.53616952205299,57,72,81,86
92,-6.969678497396945,107.53635040758878,57,72,81,86
93,-6.969677525842862,107.53653129309875,57,72,81,86
94,-6.969676554219674,107.53671217858287,57,72,81,86
95,-6.969675582527379,107.53689306404117,57,72,81,86
96,-6.969674610765976,107.53707394947361,57,72,81,86
97,-6.969673638935467,107.5372548348802,57,72,81,86
98,-6.9696726670358515,107.53743572026097,57,72,81,86
99,-6.969671695067128,107.5376166056159,57,72,81,86
100,-6.9696707230292985,107.53779749094495,57,72,81,86
101,-6.969669750922363,107.53797837624818,57,72,81,86
102,-6.96966877874632,107.53815926152555,57,72,81,86
103,-6.969667806501172,107.53834014677707,98,98,98,98
104,-6.969666834186915,107.53852103200272,98,98,98,98
105,-6.969665861803555,107.53870191720253,45,66,77,83
106,-6.969664889351084,107.53888280237648,39,61,74,80
107,-6.969663916829511,107.53906368752456,57,72,81,86
108,-6.969662944238829,107.5392445726468,39,61,74,80
109,-6.969661971579042,107.53942545774315,39,61,74,80
110,-6.969660998850148,107.53960634281364,39,61,74,80
111,-6.969660026052148,107.53978722785827,39,61,74,80
112,-6.969659053185044,107.53996811287702,57,72,81,86
113,-6.969658080248831,107.5401489978699,57,72,81,86
114,-6.969657107243514,107.54032988283693,98,98,98,98
115,-6.969860210028705,107.53617049429246,57,72,81,86
116,-6.969859238518296,107.53635137989741,57,72,81,86
117,-6.969858266938779,107.53653226547654,98,98,98,98
118,-6.969857295290155,107.53671315102982,39,61,74,80
119,-6.969856323572419,107.53689403655727,57,72,81,86
120,-6.969855351785577,107.53707492205888,57,72,81,86
121,-6.969854379929625,107.53725580753463,57,72,81,86
122,-6.969853408004564,107.53743669298456,57,72,81,86
123,-6.969852436010396,107.53761757840864,57,72,81,86
124,-6.969851463947118,107.53779846380688,57,72,81,86
125,-6.969850491814734,107.53797934917925,57,72,81,86
126,-6.9698495196132395,107.53816023452579,39,61,74,80
127,-6.969848547342636,107.53834111984646,98,98,98,98
128,-6.969847575002926,107.53852200514129,45,66,77,83
129,-6.969846602594107,107.53870289041025,98,98,98,98
130,-6.969845630116179,107.53888377565336,98,98,98,98
131,-6.969844657569143,107.53906466087061,98,98,98,98
132,-6.969843684953001,107.53924554606199,98,98,98,98
133,-6.9698427122677495,107.5394264312275,98,98,98,98
134,-6.969841739513391,107.53960731636715,98,98,98,98
135,-6.969840766689923,107.53978820148095,39,61,74,80
136,-6.969839793797346,107.53996908656886,98,98,98,98
137,-6.9698388208356645,107.54014997163091,98,98,98,98
138,-6.969837847804873,107.54033085666708,45,66,77,83
139,-6.969836874704974,107.54051174167738,45,66,77,83
140,-6.970040951173974,107.53617146655776,57,72,81,86
141,-6.970039979638133,107.53635235223187,57,72,81,86
142,-6.970039008033182,107.53653323788015,57,72,81,86
143,-6.970038036359118,107.5367141235026,39,61,74,80
144,-6.970037064615948,107.53689500909923,39,61,74,80
145,-6.970036092803663,107.53707589467,98,98,98,98
146,-6.970035120922269,107.53725678021493,39,61,74,80
147,-6.970034148971763,107.537437665734,39,61,74,80
148,-6.970033176952149,107.53761855122725,98,98,98,98
149,-6.970032204863424,107.53779943669464,57,72,81,86
150,-6.970031232705589,107.53798032213619,98,98,98,98
151,-6.970030260478643,107.53816120755188,39,61,74,80
152,-6.970029288182587,107.5383420929417,98,98,98,98
153,-6.970028315817421,107.53852297830569,45,66,77,83
154,-6.970027343383145,107.53870386364383,98,98,98,98
155,-6.97002637087976,107.5388847489561,98,98,98,98
156,-6.970025398307263,107.5390656342425,45,66,77,83
157,-6.970024425665658,107.53924651950305,98,98,98,98
158,-6.970023452954942,107.53942740473774,45,66,77,83
159,-6.970022480175118,107.53960828994654,98,98,98,98
160,-6.970021507326182,107.53978917512948,98,98,98,98
161,-6.970020534408137,107.53997006028658,98,98,98,98
162,-6.9700195614209814,107.54015094541779,45,66,77,83
163,-6.970018588364718,107.54033183052312,39,61,74,80
164,-6.970017615239344,107.54051271560259,98,98,98,98
165,-6.970222663809895,107.53599155307977,57,72,81,86
166,-6.970221692317733,107.53617243884888,57,72,81,86
167,-6.970220720756458,107.53635332459217,57,72,81,86
168,-6.970219749126072,107.53653421030963,57,72,81,86
169,-6.970218777426572,107.53671509600125,57,72,81,86
170,-6.97021780565796,107.53689598166702,98,98,98,98
171,-6.970216833820236,107.53707686730695,45,66,77,83
172,-6.9702158619134,107.53725775292104,45,66,77,83
173,-6.97021488993745,107.53743863850929,39,61,74,80
174,-6.970213917892388,107.5376195240717,45,66,77,83
175,-6.970212945778216,107.53780040960825,39,61,74,80
176,-6.970211973594931,107.53798129511895,45,66,77,83
177,-6.970211001342534,107.53816218060382,45,66,77,83
178,-6.970210029021024,107.53834306606282,98,98,98,98
179,-6.970209056630403,107.53852395149597,98,98,98,98
180,-6.970208084170672,107.53870483690326,45,66,77,83
181,-6.970207111641826,107.53888572228469,62,71,88,91
182,-6.970206139043869,107.53906660764027,98,98,98,98
183,-6.970205166376802,107.53924749296998,98,98,98,98
184,-6.9702041936406225,107.53942837827383,45,66,77,83
185,-6.97020322083533,107.5396092635518,45,66,77,83
186,-6.970202247960928,107.53979014880392,98,98,98,98
187,-6.970201275017414,107.53997103403016,98,98,98,98
188,-6.970200302004786,107.54015191923054,39,61,74,80
189,-6.970199328923049,107.54033280440503,57,72,81,86
190,-6.970198355772199,107.54051368955365,57,72,81,86
191,-6.97019738255224,107.5406945746764,57,72,81,86
192,-6.970403404977571,107.53599252532757,98,98,98,98
