,Latitude,Longitude,A,B,C,D
0,-6.990532588213508,107.68696182005125,45,66,77,83
1,-6.990531555946473,107.68714269173776,98,98,98,98
2,-6.990720531481443,107.68569675011153,98,98,98,98
3,-6.990719499672459,107.68587762205891,98,98,98,98
4,-6.990718467794191,107.68605849397895,45,66,77,83
5,-6.990717435846635,107.68623936587161,39,61,74,80
6,-6.990716403829798,107.68642023773693,98,98,98,98
7,-6.990715371743674,107.68660110957487,39,61,74,80
8,-6.990714339588266,107.68678198138545,39,61,74,80
9,-6.990713307363574,107.68696285316865,45,66,77,83
10,-6.990906408958788,107.68479342227697,98,98,98,98
11,-6.990905377469308,107.68497429443045,98,98,98,98
12,-6.990904345910541,107.6851551665566,45,66,77,83
13,-6.9909033142824875,107.6853360386554,45,66,77,83
14,-6.990902282585146,107.68551691072683,45,66,77,83
15,-6.99090125081852,107.68569778277092,45,66,77,83
16,-6.990900218982605,107.68587865478764,39,61,74,80
17,-6.990899187077405,107.68605952677703,62,71,88,91
18,-6.990898155102917,107.68624039873903,45,66,77,83
19,-6.990897123059144,107.68642127067368,98,98,98,98
20,-6.990896090946083,107.68660214258097,62,71,88,91
21,-6.990895058763738,107.68678301446089,98,98,98,98
22,-6.990894026512104,107.68696388631344,45,66,77,83
23,-6.991089191253886,107.68443271008928,45,66,77,83
24,-6.991088159876062,107.68461358236681,45,66,77,83
25,-6.99108712842895,107.68479445461699,98,98,98,98
26,-6.99108609691255,107.68497532683983,45,66,77,83
27,-6.99108506532686,107.6851561990353,98,98,98,98
28,-6.991084033671883,107.68533707120345,39,61,74,80
29,-6.991083001947615,107.68551794334422,62,71,88,91
30,-6.991081970154061,107.68569881545766,45,66,77,83
31,-6.991080938291217,107.68587968754373,45,66,77,83
32,-6.991079906359085,107.68606055960245,25,55,70,77
33,-6.991078874357664,107.6862414316338,62,71,88,91
34,-6.991077842286956,107.68642230363778,98,98,98,98
35,-6.991076810146959,107.68660317561442,98,98,98,98
36,-6.991075777937673,107.68678404756369,45,66,77,83
37,-6.9910747456591,107.68696491948559,98,98,98,98
38,-6.991271973377957,107.68407199754218,62,71,88,91
39,-6.9912709421117984,107.68425286994373,98,98,98,98
40,-6.991269910776349,107.68443374231795,98,98,98,98
41,-6.991268879371611,107.68461461466484,45,66,77,83
42,-6.99126784789758,107.68479548698436,45,66,77,83
43,-6.9912668163542575,107.68497635927653,98,98,98,98
44,-6.991265784741646,107.68515723154137,98,98,98,98
45,-6.991264753059745,107.68533810377886,62,71,88,91
46,-6.991263721308551,107.68551897598898,45,66,77,83
47,-6.991262689488068,107.68569984817175,45,66,77,83
48,-6.9912616575982955,107.68588072032718,62,71,88,91
49,-6.991260625639231,107.68606159245525,62,71,88,91
50,-6.991259593610877,107.68624246455593,62,71,88,91
51,-6.991258561513234,107.68642333662928,98,98,98,98
52,-6.9912575293463,107.68660420867525,45,66,77,83
53,-6.991256497110076,107.68678508069385,62,71,88,91
54,-6.991255464804562,107.68696595268511,98,98,98,98
55,-6.9914537241764965,107.68389215716125,39,61,74,80
56,-6.991452692952716,107.6840730296595,45,66,77,83
57,-6.991451661659645,107.68425390213041,39,61,74,80
58,-6.9914506302972805,107.68443477457397,98,98,98,98
59,-6.991449598865623,107.6846156469902,98,98,98,98
60,-6.991448567364673,107.68479651937908,98,98,98,98
61,-6.991447535794432,107.6849773917406,98,98,98,98
62,-6.991446504154897,107.68515826407479,98,98,98,98
63,-6.991445472446071,107.68533913638161,98,98,98,98
64,-6.991444440667951,107.6855200086611,62,71,88,91
65,-6.99144340882054,107.68570088091322,25,55,70,77
66,-6.991442376903838,107.68588175313798,62,71,88,91
67,-6.991441344917844,107.6860626253354,62,71,88,91
68,-6.991440312862554,107.68624349750544,25,55,70,77
69,-6.991439280737977,107.68642436964812,25,55,70,77
70,-6.991438248544106,107.68660524176344,98,98,98,98
71,-6.991437216280941,107.6867861138514,98,98,98,98
72,-6.991635474958027,107.68371231664163,39,61,74,80
73,-6.991634443776631,107.68389318923657,39,61,74,80
74,-6.991633412525939,107.68407406180417,39,61,74,80
75,-6.991632381205954,107.68425493434442,45,66,77,83
76,-6.991631349816674,107.68443580685734,45,53,67,72
77,-6.9916303183581,107.68461667934291,62,71,88,91
78,-6.991629286830231,107.68479755180114,45,66,77,83
79,-6.991628255233069,107.68497842423203,98,98,98,98
80,-6.991627223566612,107.68515929663555,98,98,98,98
81,-6.991626191830861,107.68534016901172,98,98,98,98
82,-6.991625160025817,107.68552104136054,62,71,88,91
83,-6.991624128151478,107.68570191368202,62,71,88,91
84,-6.991623096207846,107.68588278597613,62,71,88,91
85,-6.991622064194917,107.6860636582429,62,71,88,91
86,-6.991621032112698,107.6862445304823,62,71,88,91
87,-6.991619999961183,107.68642540269434,62,71,88,91
88,-6.991618967740374,107.686606274879,62,71,88,91
89,-6.991617935450273,107.6867871470363,62,71,88,91
90,-6.9918172257225475,107.68353247598331,45,66,77,83
91,-6.991816194583537,107.68371334867494,45,66,77,83
92,-6.9918151633752315,107.68389422133923,45,66,77,83
93,-6.991814132097628,107.68407509397616,39,61,74,80
94,-6.991813100750728,107.68425596658578,45,66,77,83
95,-6.991812069334533,107.68443683916804,98,98,98,98
96,-6.991811037849042,107.68461771172296,62,71,88,91
97,-6.991810006294256,107.68479858425056,62,71,88,91
98,-6.991808974670171,107.68497945675078,25,55,70,77
99,-6.991807942976791,107.68516032922366,62,71,88,91
100,-6.991806911214116,107.68534120166919,62,71,88,91
101,-6.991805879382147,107.68552207408737,62,71,88,91
102,-6.991804847480879,107.6857029464782,62,71,88,91
103,-6.991803815510315,107.68588381884166,62,71,88,91
104,-6.991802783470458,107.68606469117776,62,71,88,91
105,-6.9918017513613036,107.68624556348651,62,71,88,91
106,-6.991800719182855,107.68642643576791,62,71,88,91
107,-6.99179968693511,107.68660730802192,62,71,88,91
108,-6.991798654618069,107.68678818024857,45,66,77,83
109,-6.991997945373429,107.6835335079746,98,98,98,98
110,-6.991996914207513,107.68371438073557,45,66,77,83
111,-6.9919958829722955,107.68389525346922,98,98,98,98
112,-6.991994851667782,107.68407612617551,98,98,98,98
113,-6.991993820293969,107.68425699885448,45,66,77,83
114,-6.991992788850857,107.68443787150609,62,71,88,91
115,-6.991991757338449,107.68461874413038,25,55,70,77
116,-6.991990725756744,107.6847996167273,25,55,70,77
117,-6.9919896941057385,107.68498048929689,25,55,70,77
118,-6.991988662385437,107.68516136183914,62,71,88,91
119,-6.991987630595837,107.68534223435401,62,71,88,91
120,-6.99198659873694,107.68552310684154,62,71,88,91
121,-6.991985566808745,107.68570397930172,62,71,88,91
122,-6.9919845348112535,107.68588485173453,62,71,88,91
123,-6.991983502744463,107.68606572414,62,71,88,91
124,-6.9919824706083755,107.6862465965181,62,71,88,91
125,-6.99198143840299,107.68642746886883,62,71,88,91
126,-6.991980406128309,107.68660834119221,62,71,88,91
127,-6.991979373784329,107.68678921348823,98,98,98,98
128,-6.992179696146304,107.68335366713555,45,66,77,83
129,-6.992178665022777,107.68353453999322,98,98,98,98
130,-6.992177633829953,107.68371541282355,62,71,88,91
131,-6.992176602567826,107.68389628562653,98,98,98,98
132,-6.992175571236399,107.6840771584022,98,98,98,98
133,-6.992174539835673,107.68425803115052,62,71,88,91
134,-6.9921735083656475,107.6844389038715,62,71,88,91
135,-6.992172476826322,107.68461977656513,25,55,70,77
