,Latitude,Longitude,A,B,C,D
0,-6.994927579910077,107.6768576711287,45,66,77,83
1,-6.995111387287683,107.67631607600244,45,66,77,83
2,-6.99511035843752,107.6764969510347,45,66,77,83
3,-6.995109329518027,107.67667782603968,45,66,77,83
4,-6.9951083005292025,107.67685870101741,39,61,74,80
5,-6.995107271471047,107.67703957596785,45,66,77,83
6,-6.995294165531786,107.67595535542519,45,66,77,83
7,-6.995293136793455,107.67613623058135,45,66,77,83
8,-6.9952921079857875,107.67631710571024,62,71,88,91
9,-6.995291079108788,107.67649798081187,98,98,98,98
10,-6.995290050162458,107.67667885588627,45,66,77,83
11,-6.995289021146793,107.67685973093336,98,98,98,98
12,-6.995287992061796,107.67704060595322,45,66,77,83
13,-6.995286962907467,107.67722148094579,62,71,88,91
14,-6.995477972161512,107.67541375918127,45,66,77,83
15,-6.995476943604351,107.67559463448859,98,98,98,98
16,-6.995475914977856,107.67577550976866,98,98,98,98
17,-6.9954748862820235,107.67595638502145,45,66,77,83
18,-6.995473857516859,107.67613726024702,98,98,98,98
19,-6.995472828682357,107.67631813544531,45,66,77,83
20,-6.995471799778523,107.67649901061634,45,66,77,83
21,-6.995470770805353,107.67667988576011,45,53,67,72
22,-6.995469741762848,107.67686076087661,98,98,98,98
23,-6.995468712651011,107.67704163596584,98,98,98,98
24,-6.995467683469838,107.67722251102781,62,71,88,91
25,-6.995466654219332,107.6774033860625,98,98,98,98
26,-6.995661778326646,107.67487216230296,39,61,74,80
27,-6.995660749950669,107.67505303776144,39,61,74,80
28,-6.995659721505353,107.67523391319266,98,98,98,98
29,-6.995658692990701,107.67541478859663,45,66,77,83
30,-6.995657664406711,107.67559566397334,98,98,98,98
31,-6.995656635753387,107.6757765393228,98,98,98,98
32,-6.9956556070307245,107.67595741464501,98,98,98,98
33,-6.995654578238727,107.67613828993996,98,98,98,98
34,-6.995653549377392,107.67631916520763,45,66,77,83
35,-6.995652520446723,107.67650004044805,45,66,77,83
36,-6.995651491446714,107.67668091566122,98,98,98,98
37,-6.995650462377371,107.67686179084711,62,71,88,91
38,-6.9956494332386905,107.67704266600573,98,98,98,98
39,-6.995648404030674,107.67722354113708,25,55,70,77
40,-6.995647374753322,107.67740441624117,62,71,88,91
41,-6.995646345406634,107.67758529131798,45,66,77,83
42,-6.995845584027141,107.67433056479034,98,98,98,98
43,-6.995844555832355,107.67451144039994,98,98,98,98
44,-6.995843527568233,107.6746923159823,98,98,98,98
45,-6.9958424992347705,107.6748731915374,98,98,98,98
46,-6.99584147083197,107.67505406706528,98,98,98,98
47,-6.995840442359833,107.67523494256588,45,66,77,83
48,-6.995839413818356,107.67541581803924,62,71,88,91
49,-6.99583838520754,107.67559669348536,62,71,88,91
50,-6.995837356527384,107.6757775689042,25,55,70,77
51,-6.995836327777892,107.6759584442958,98,98,98,98
52,-6.9958352989590615,107.67613931966014,98,98,98,98
53,-6.995834270070893,107.67632019499722,98,98,98,98
54,-6.9958332411133854,107.67650107030704,98,98,98,98
55,-6.99583221208654,107.67668194558959,62,71,88,91
56,-6.995831182990356,107.67686282084489,62,71,88,91
57,-6.995830153824835,107.6770436960729,25,55,70,77
58,-6.995829124589974,107.67722457127364,25,55,70,77
59,-6.995828095285778,107.67740544644714,62,71,88,91
60,-6.995827065912243,107.67758632159332,62,71,88,91
61,-6.995826036469368,107.67776719671227,45,66,77,83
62,-6.996029389262944,107.67378896664339,45,66,77,83
63,-6.996028361249364,107.6739698424041,98,98,98,98
64,-6.996027333166446,107.67415071813758,39,61,74,80
65,-6.996026305014186,107.67433159384383,39,61,74,80
66,-6.996025276792586,107.67451246952282,98,98,98,98
67,-6.996024248501644,107.67469334517457,98,98,98,98
68,-6.996023220141361,107.67487422079908,45,66,77,83
69,-6.996022191711738,107.67505509639633,45,66,77,83
70,-6.9960211632127765,107.67523597196634,25,55,70,77
71,-6.996020134644474,107.67541684750911,98,98,98,98
72,-6.99601910600683,107.67559772302462,98,98,98,98
73,-6.996018077299848,107.67577859851286,25,55,70,77
74,-6.996017048523524,107.67595947397386,98,98,98,98
75,-6.996016019677861,107.67614034940759,62,71,88,91
76,-6.996014990762857,107.67632122481407,25,55,70,77
77,-6.996013961778514,107.67650210019328,62,71,88,91
78,-6.996012932724831,107.67668297554523,98,98,98,98
79,-6.996011903601808,107.67686385086992,62,71,88,91
80,-6.996010874409445,107.67704472616734,62,71,88,91
81,-6.996009845147741,107.67722560143748,62,71,88,91
82,-6.996008815816698,107.67740647668036,25,55,70,77
83,-6.9960077864163175,107.67758735189595,62,71,88,91
84,-6.996006756946594,107.67776822708429,98,98,98,98
85,-6.996005727407532,107.67794910224534,45,53,67,72
86,-6.996213194034005,107.67324736786217,45,66,77,83
87,-6.996212166201643,107.673428243774,45,66,77,83
88,-6.99621113829994,107.67360911965858,98,98,98,98
89,-6.996210110328892,107.67378999551593,62,71,88,91
90,-6.996209082288501,107.67397087134604,45,66,77,83
91,-6.996208054178768,107.67415174714891,62,71,88,91
92,-6.996207025999695,107.67433262292455,39,61,74,80
93,-6.996205997751277,107.67451349867295,98,98,98,98
94,-6.996204969433519,107.67469437439411,98,98,98,98
95,-6.996203941046416,107.67487525008801,25,55,70,77
96,-6.996202912589974,107.67505612575467,25,55,70,77
97,-6.996201884064186,107.67523700139408,25,55,70,77
98,-6.996200855469059,107.67541787700623,25,55,70,77
99,-6.996199826804587,107.67559875259114,25,55,70,77
100,-6.996198798070777,107.67577962814879,62,71,88,91
101,-6.996197769267623,107.67596050367918,98,98,98,98
102,-6.996196740395126,107.67614137918231,98,98,98,98
103,-6.996195711453288,107.67632225465819,62,71,88,91
104,-6.996194682442109,107.6765031301068,98,98,98,98
105,-6.996193653361588,107.67668400552814,25,55,70,77
106,-6.996192624211725,107.67686488092222,62,71,88,91
107,-6.99619159499252,107.67704575628903,98,98,98,98
108,-6.996190565703972,107.67722663162859,62,71,88,91
109,-6.996189536346084,107.67740750694085,62,71,88,91
110,-6.9961885069188545,107.67758838222585,62,71,88,91
111,-6.996187477422285,107.67776925748358,62,71,88,91
112,-6.9961864478563704,107.67795013271403,62,71,88,91
113,-6.996185418221119,107.6781310079172,25,55,70,77
114,-6.996183358742588,107.67849275824169,39,61,74,80
115,-6.996394942968664,107.67306752054529,45,66,77,83
116,-6.996393915178841,107.67324839655375,39,61,74,80
117,-6.996392887319673,107.67342927253496,45,66,77,83
118,-6.996391859391161,107.67361014848895,45,66,77,83
119,-6.996390831393305,107.6737910244157,25,55,70,77
120,-6.996389803326104,107.67397190031522,62,71,88,91
121,-6.996388775189558,107.6741527761875,25,55,70,77
122,-6.99638774698367,107.67433365203253,25,55,70,77
123,-6.996386718708436,107.67451452785033,98,98,98,98
124,-6.9963856903638595,107.67469540364087,98,98,98,98
125,-6.9963846619499375,107.67487627940419,45,66,77,83
126,-6.996383633466673,107.67505715514024,98,98,98,98
127,-6.996382604914061,107.67523803084904,98,98,98,98
128,-6.996381576292109,107.67541890653061,98,98,98,98
129,-6.996380547600811,107.6755997821849,25,55,70,77
130,-6.99637951884017,107.67578065781196,62,71,88,91
131,-6.996378490010184,107.67596153341175,62,71,88,91
132,-6.996377461110856,107.67614240898429,62,71,88,91
133,-6.996376432142185,107.67632328452956,25,55,70,77
134,-6.996375403104168,107.67650416004757,62,71,88,91
135,-6.996374373996809,107.67668503553831,25,55,70,77
136,-6.996373344820106,107.6768659110018,62,71,88,91
137,-6.996372315574059,107.67704678643801,62,71,88,91
138,-6.99637128625867,107.67722766184696,62,71,88,91
139,-6.996370256873936,107.67740853722863,62,71,88,91
140,-6.99636922741986,107.67758941258303,62,71,88,91
141,-6.99636819789644,107.67777028791015,25,55,70,77
142,-6.996367168303677,107.67795116321,62,71,88,91
143,-6.996366138641571,107.67813203848256,62,71,88,91
144,-6.996365108910121,107.67831291372785,62,71,88,91
145,-6.996364079109329,107.67849378894587,45,66,77,83
146,-6.996363049239194,107.67867466413658,98,98,98,98
147,-6.996575664138767,107.67306854919468,39,61,74,80
148,-6.99657463632214,107.67324942527254,39,61,74,80
149,-6.996573608436168,107.67343030132317,45,66,77,83
150,-6.996572580480849,107.67361117734656,45,66,77,83
151,-6.996571552456182,107.67379205334271,62,71,88,91
152,-6.996570524362171,107.67397292931163,45,66,77,83
153,-6.996569496198814,107.67415380525331,25,55,70,77
154,-6.996568467966108,107.67433468116775,62,71,88,91
155,-6.99656743966406,107.67451555705495,62,71,88,91
156,-6.996566411292664,107.67469643291489,62,71,88,91
157,-6.996565382851923,107.67487730874761,62,71,88,91
158,-6.996564354341835,107.67505818455307,25,55,70,77
159,-6.996563325762401,107.67523906033128,98,98,98,98
160,-6.996562297113622,107.67541993608224,98,98,98,98
161,-6.996561268395498,107.67560081180594,98,98,98,98
162,-6.996560239608028,107.6757816875024,98,98,98,98
163,-6.996559210751212,107.6759625631716,25,55,70,77
164,-6.996558181825051,107.67614343881353,62,71,88,91
165,-6.996557152829545,107.6763243144282,25,55,70,77
166,-6.996556123764692,107.6765051900156,25,55,70,77
167,-6.996555094630494,107.67668606557575,62,71,88,91
168,-6.996554065426952,107.67686694110864,62,71,88,91
169,-6.996553036154063,107.67704781661426,62,71,88,91
170,-6.99655200681183,107.6772286920926,98,98,98,98
171,-6.9965509774002514,107.67740956754368,98,98,98,98
172,-6.996549947919328,107.67759044296747,98,98,98,98
173,-6.996548918369059,107.67777131836401,62,71,88,91
174,-6.996547888749445,107.67795219373325,62,71,88,91
175,-6.996546859060488,107.67813306907522,62,71,88,91
176,-6.996545829302183,107.6783139443899,62,71,88,91
177,-6.996544799474535,107.67849481967731,62,71,88,91
178,-6.996543769577542,107.67867569493743,98,98,98,98
179,-6.9967574130814185,107.67288870169683,45,66,77,83
180,-6.996756385307338,107.67306957787132,45,66,77,83
181,-6.996755357463906,107.67325045401859,62,71,88,91
182,-6.996754329551127,107.6734313301386,45,66,77,83
183,-6.996753301569001,107.6736122062314,25,55,70,77
184,-6.996752273517526,107.67379308229695,25,55,70,77
185,-6.996751245396704,107.67397395833528,25,55,70,77
186,-6.996750217206533,107.67415483434635,25,55,70,77
187,-6.996749188947015,107.67433571033021,25,55,70,77
188,-6.996748160618147,107.67451658628681,98,98,98,98
189,-6.996747132219935,107.67469746221616,62,71,88,91
190,-6.996746103752372,107.67487833811828,62,71,88,91
191,-6.996745075215463,107.67505921399314,62,71,88,91
192,-6.996744046609207,107.67524008984074,25,55,70,77
193,-6.9967430179336025,107.6754209656611,62,71,88,91
194,-6.996741989188651,107.67560184145422,98,98,98,98
195,-6.996740960374352,107.67578271722007,25,55,70,77
196,-6.996739931490706,107.67596359295868,25,55,70,77
197,-6.996738902537711,107.67614446867002,62,71,88,91
198,-6.99673787351537,107.6763253443541,62,71,88,91
199,-6.9967368444236815,107.6765062200109,62,71,88,91
200,-6.996735815262645,107.67668709564046,62,71,88,91
201,-6.9967347860322615,107.67686797124274,62,71,88,91
202,-6.996733756732533,107.67704884681775,98,98,98,98
203,-6.996732727363456,107.67722972236551,98,98,98,98
204,-6.996731697925031,107.677410597886,98,98,98,98
205,-6.996730668417261,107.6775914733792,98,98,98,98
206,-6.996729638840144,107.67777234884512,62,71,88,91
207,-6.996728609193679,107.67795322428378,62,71,88,91
208,-6.996727579477868,107.67813409969514,25,55,70,77
209,-6.99672654969271,107.67831497507925,25,55,70,77
210,-6.996725519838206,107.67849585043605,25,55,70,77
211,-6.996938134275255,107.67288973033129,45,66,77,83
212,-6.9969371064743715,107.67307060657518,25,55,70,77
213,-6.9969360786041355,107.67325148279184,98,98,98,98
214,-6.996935050664551,107.67343235898127,98,98,98,98
215,-6.996934022655619,107.67361323514348,62,71,88,91
216,-6.996932994577334,107.67379411127843,62,71,88,91
217,-6.9969319664297,107.67397498738616,62,71,88,91
218,-6.996930938212718,107.67415586346665,62,71,88,91
219,-6.9969299099263855,107.6743367395199,25,55,70,77
220,-6.9969288815707005,107.67451761554591,25,55,70,77
221,-6.99692785314567,107.67469849154467,25,55,70,77
222,-6.996926824651288,107.6748793675162,62,71,88,91
223,-6.996925796087558,107.67506024346046,25,55,70,77
224,-6.996924767454477,107.67524111937749,25,55,70,77
225,-6.996923738752046,107.67542199526726,62,71,88,91
226,-6.996922709980268,107.67560287112977,25,55,70,77
227,-6.996921681139139,107.67578374696502,25,55,70,77
228,-6.996920652228662,107.67596462277302,25,55,70,77
229,-6.996919623248835,107.67614549855377,62,71,88,91
