,Latitude,Longitude,A,B,C,D
0,-6.976296810483231,107.61525313027333,98,98,98,98
1,-6.976295807780382,107.61543400704221,98,98,98,98
2,-6.976294805008376,107.61561488378447,98,98,98,98
3,-6.976293802167214,107.61579576050009,45,66,77,83
4,-6.976479545534557,107.61489238001423,45,66,77,83
5,-6.9764785429437985,107.6150732569056,98,98,98,98
6,-6.9764775402838834,107.61525413377035,98,98,98,98
7,-6.976476537554808,107.61543501060846,98,98,98,98
8,-6.976475534756576,107.61561588741992,98,98,98,98
9,-6.976474531889185,107.61579676420475,62,71,88,91
10,-6.976473528952638,107.61597764096292,45,66,77,83
11,-6.976472525946931,107.61615851769446,45,66,77,83
12,-6.976661277933948,107.61471250641225,98,98,98,98
13,-6.976660275386128,107.61489338339946,45,66,77,83
14,-6.976659272769147,107.61507426036005,25,55,70,77
15,-6.97665827008301,107.61525513729401,98,98,98,98
16,-6.9766572673277105,107.61543601420134,98,98,98,98
17,-6.9766562645032515,107.615616891082,39,61,74,80
18,-6.9766552616096345,107.61579776793604,98,98,98,98
19,-6.976654258646854,107.61597864476344,45,66,77,83
20,-6.9766532556149174,107.61615952156419,98,98,98,98
21,-6.976652252513818,107.61634039833828,39,61,74,80
22,-6.976843010315091,107.61453263267182,98,98,98,98
23,-6.976842007810214,107.61471350975489,98,98,98,98
24,-6.976841005236175,107.61489438681134,98,98,98,98
25,-6.976840002592974,107.61507526384115,98,98,98,98
26,-6.976838999880613,107.61525614084431,45,66,77,83
27,-6.976837997099089,107.61543701782085,39,61,74,80
28,-6.976836994248403,107.61561789477074,98,98,98,98
29,-6.976835991328557,107.61579877169399,98,98,98,98
30,-6.976834988339548,107.6159796485906,98,98,98,98
31,-6.976833985281379,107.61616052546056,98,98,98,98
32,-6.976832982154048,107.61634140230387,45,53,67,72
33,-6.976831978957555,107.61652227912055,62,71,88,91
34,-6.977024742677981,107.61435275879298,98,98,98,98
35,-6.977023740216051,107.6145336359719,98,98,98,98
36,-6.977022737684956,107.61471451312418,98,98,98,98
37,-6.977021735084697,107.61489539024984,39,61,74,80
38,-6.977020732415276,107.61507626734885,45,66,77,83
39,-6.977019729676692,107.61525714442125,98,98,98,98
40,-6.977018726868943,107.615438021467,98,98,98,98
41,-6.977017723992032,107.6156188984861,98,98,98,98
42,-6.977016721045956,107.61579977547856,98,98,98,98
43,-6.977015718030717,107.6159806524444,39,61,74,80
44,-6.977014714946316,107.61616152938358,98,98,98,98
45,-6.97701371179275,107.61634240629611,45,66,77,83
