,Latitude,Longitude,A,B,C,D
0,-6.941059320211116,107.54777302991143,98,98,98,98
1,-6.941241031836669,107.54759312950277,39,61,74,80
2,-6.941240059939933,107.54777400254643,45,66,77,83
3,-6.941422743442983,107.54741322895637,98,98,98,98
4,-6.941421771589522,107.54759410209486,98,98,98,98
5,-6.941604455030053,107.54723332827226,57,72,81,86
6,-6.941603483219871,107.54741420150553,45,66,77,83
7,-6.941602511340864,107.54759507471289,45,66,77,83
8,-6.941786166597875,107.54705342745038,57,72,81,86
9,-6.941785194830976,107.54723430077847,98,98,98,98
10,-6.941784222995251,107.54741517408064,98,98,98,98
11,-6.941967878146439,107.54687352649076,57,72,81,86
12,-6.941966906422827,107.54705439991366,98,98,98,98
13,-6.941965934630387,107.54723527331065,98,98,98,98
14,-6.941964962769121,107.54741614668167,39,61,74,80
15,-6.942150561287238,107.54651275184972,98,98,98,98
16,-6.942149589675744,107.54669362539339,98,98,98,98
17,-6.9421486179954215,107.54687449891111,57,72,81,86
18,-6.94214764624627,107.5470553724029,57,72,81,86
19,-6.94214667442829,107.54723624586875,57,72,81,86
20,-6.94214570254148,107.54741711930865,57,72,81,86
21,-6.9423322727539825,107.54633285051978,98,98,98,98
22,-6.942331301185784,107.54651372415825,98,98,98,98
23,-6.942330329548755,107.54669459777078,39,61,74,80
24,-6.942329357842895,107.54687547135738,57,72,81,86
25,-6.942328386068204,107.54705634491805,57,72,81,86
26,-6.942327414224682,107.54723721845279,57,72,81,86
27,-6.942513984201449,107.54615294905207,98,98,98,98
28,-6.942513012676551,107.54633382278536,98,98,98,98
29,-6.94251204108282,107.54651469649271,98,98,98,98
30,-6.942511069420256,107.54669557017414,57,72,81,86
31,-6.942510097688857,107.54687644382962,98,98,98,98
32,-6.942509125888628,107.54705731745916,98,98,98,98
33,-6.942508154019565,107.54723819106277,39,61,74,80
34,-6.942695695629638,107.54597304744661,98,98,98,98
35,-6.942694724148042,107.54615392127471,62,71,88,91
36,-6.942693752597612,107.54633479507686,98,98,98,98
37,-6.942692780978346,107.54651566885309,98,98,98,98
38,-6.942691809290247,107.5466965426034,57,72,81,86
39,-6.942690837533313,107.54687741632777,98,98,98,98
40,-6.942689865707543,107.5470582900262,98,98,98,98
41,-6.942688893812939,107.54723916369869,98,98,98,98
42,-6.94287740703854,107.54579314570339,62,71,88,91
43,-6.94287643560025,107.54597401962629,98,98,98,98
44,-6.942875464093125,107.54615489352327,98,98,98,98
45,-6.942874492517163,107.5463357673943,45,66,77,83
46,-6.942873520872364,107.54651664123942,39,61,74,80
47,-6.942872549158729,107.54669751505861,98,98,98,98
48,-6.942871577376257,107.54687838885187,98,98,98,98
49,-6.942870605524948,107.54705926261917,57,72,81,86
50,-6.943059118428151,107.54561324382237,98,98,98,98
51,-6.943058147033172,107.54579411784009,62,71,88,91
52,-6.943057175569354,107.54597499183188,98,98,98,98
53,-6.943056204036697,107.54615586579773,98,98,98,98
54,-6.943055232435203,107.54633673973767,98,98,98,98
55,-6.943054260764871,107.54651761365167,98,98,98,98
56,-6.943053289025699,107.54669848753974,45,66,77,83
57,-6.943052317217691,107.54687936140189,39,61,74,80
58,-6.943051345340844,107.54706023523809,39,61,74,80
59,-6.943240829798464,107.54543334180359,98,98,98,98
60,-6.943239858446799,107.54561421591612,98,98,98,98
61,-6.943238887026293,107.54579509000271,98,98,98,98
62,-6.9432379155369475,107.5459759640634,98,98,98,98
63,-6.943236943978761,107.54615683809814,98,98,98,98
64,-6.943235972351736,107.54633771210696,98,98,98,98
65,-6.94323500065587,107.54651858608987,45,66,77,83
66,-6.943234028891163,107.54669946004682,45,66,77,83
67,-6.943233057057615,107.54688033397785,45,66,77,83
68,-6.943232085155228,107.54706120788295,39,61,74,80
69,-6.943422541149476,107.54525343964703,62,71,88,91
70,-6.943421569841129,107.54543431385436,98,98,98,98
71,-6.9434205984639386,107.54561518803578,98,98,98,98
72,-6.9434196270179065,107.54579606219127,45,66,77,83
73,-6.943418655503032,107.54597693632084,98,98,98,98
74,-6.943417683919317,107.54615781042449,62,71,88,91
75,-6.943416712266758,107.5463386845022,98,98,98,98
76,-6.943415740545357,107.54651955855398,45,66,77,83
77,-6.943414768755114,107.54670043257983,62,71,88,91
78,-6.9434137968960306,107.54688130657975,45,66,77,83
79,-6.943605223677361,107.54489266302463,62,71,88,91
80,-6.943604252481179,107.54507353735269,62,71,88,91
81,-6.943603281216153,107.54525441165484,62,71,88,91
82,-6.943602309882282,107.54543528593106,62,71,88,91
83,-6.943601338479568,107.54561616018138,45,66,77,83
84,-6.94360036700801,107.54579703440577,98,98,98,98
85,-6.943599395467605,107.54597790860421,98,98,98,98
86,-6.943598423858361,107.54615878277676,98,98,98,98
87,-6.94359745218027,107.54633965692337,98,98,98,98
88,-6.943596480433335,107.54652053104402,98,98,98,98
89,-6.943595508617558,107.54670140513878,39,61,74,80
90,-6.943594536732936,107.5468822792076,45,66,77,83
91,-6.943785963793569,107.54489363492056,62,71,88,91
92,-6.943784992571867,107.54507450931752,98,98,98,98
93,-6.943784021281321,107.54525538368856,62,71,88,91
94,-6.943783049921926,107.54543625803369,62,71,88,91
95,-6.943782078493687,107.54561713235289,62,71,88,91
96,-6.943781106996601,107.54579800664617,62,71,88,91
97,-6.943780135430671,107.54597888091352,62,71,88,91
98,-6.943779163795893,107.54615975515496,98,98,98,98
99,-6.943778192092273,107.54634062937045,98,98,98,98
100,-6.943777220319804,107.54652150356002,98,98,98,98
101,-6.943776248478492,107.54670237772366,57,72,81,86
102,-6.943775276568332,107.54688325186135,39,61,74,80
103,-6.94396767508664,107.54471373235064,98,98,98,98
104,-6.943966703908266,107.54489460684242,98,98,98,98
105,-6.943965732661046,107.54507548130827,62,71,88,91
106,-6.943964761344977,107.54525635574821,62,71,88,91
107,-6.94396378996006,107.54543723016222,62,71,88,91
108,-6.9439628185062965,107.54561810455033,62,71,88,91
109,-6.943961846983685,107.5457989789125,62,71,88,91
110,-6.943960875392225,107.54597985324875,62,71,88,91
111,-6.943959903731918,107.54616072755908,45,66,77,83
112,-6.943958932002764,107.54634160184348,98,98,98,98
113,-6.943957960204763,107.54652247610193,98,98,98,98
114,-6.943956988337915,107.54670335033447,98,98,98,98
115,-6.944149386360387,107.54453382964293,98,98,98,98
116,-6.944148415225347,107.54471470422952,98,98,98,98
117,-6.944147444021454,107.54489557879019,62,71,88,91
118,-6.944146472748715,107.54507645332494,62,71,88,91
119,-6.944145501407125,107.54525732783378,45,66,77,83
120,-6.944144529996685,107.54543820231669,62,71,88,91
121,-6.944143558517397,107.54561907677369,62,71,88,91
122,-6.9441425869692575,107.54579995120476,98,98,98,98
123,-6.944141615352271,107.5459808256099,98,98,98,98
124,-6.944140643666434,107.54616169998913,98,98,98,98
125,-6.9441396719117465,107.54634257434242,98,98,98,98
126,-6.944138700088212,107.54652344866977,45,66,77,83
127,-6.944137728195827,107.54670432297122,98,98,98,98
128,-6.944330126523099,107.54453480147882,98,98,98,98
129,-6.944329155362542,107.54471567613429,98,98,98,98
130,-6.944328184133135,107.54489655076387,98,98,98,98
131,-6.944327212834874,107.54507742536752,62,71,88,91
132,-6.9443262414677625,107.54525829994526,62,71,88,91
133,-6.9443252700318,107.54543917449708,45,66,77,83
134,-6.944324298526987,107.54562004902297,98,98,98,98
135,-6.944323326953321,107.54580092352295,57,72,81,86
136,-6.944322355310805,107.54598179799699,98,98,98,98
137,-6.944321383599439,107.54616267244512,98,98,98,98
138,-6.944320411819219,107.5463435468673,39,61,74,80
139,-6.94431943997015,107.54652442126356,39,61,74,80
140,-6.944511837801521,107.54435489859031,98,98,98,98
141,-6.944510866684301,107.54453577334061,62,71,88,91
142,-6.944509895498229,107.544716648065,98,98,98,98
143,-6.944508924243302,107.54489752276346,98,98,98,98
144,-6.944507952919523,107.54507839743603,62,71,88,91
145,-6.944506981526891,107.54525927208266,45,66,77,83
146,-6.944506010065405,107.54544014670337,98,98,98,98
147,-6.944505038535067,107.54562102129817,98,98,98,98
148,-6.944504066935876,107.54580189586706,57,72,81,86
149,-6.94450309526783,107.54598277041,57,72,81,86
150,-6.944502123530933,107.54616364492702,98,98,98,98
151,-6.944501151725182,107.54634451941811,98,98,98,98
152,-6.944500179850579,107.54652539388327,98,98,98,98
153,-6.944693549060604,107.54417499556402,62,71,88,91
154,-6.944692577986728,107.54435587040912,62,71,88,91
155,-6.9446916068439934,107.54453674522833,98,98,98,98
156,-6.944690635632406,107.5447176200216,98,98,98,98
157,-6.944689664351961,107.54489849478898,98,98,98,98
158,-6.9446886930026634,107.54507936953044,62,71,88,91
159,-6.94468772158451,107.545260244246,62,71,88,91
160,-6.9446867500975005,107.54544111893561,62,71,88,91
161,-6.944685778541638,107.54562199359931,98,98,98,98
162,-6.944684806916919,107.54580286823709,57,72,81,86
163,-6.944683835223346,107.54598374284893,57,72,81,86
164,-6.944682863460919,107.54616461743485,57,72,81,86
165,-6.944681891629636,107.54634549199486,57,72,81,86
166,-6.9446809197295,107.54652636652892,98,98,98,98
167,-6.944874289269815,107.54417596733981,98,98,98,98
168,-6.944873318170424,107.54435684225383,98,98,98,98
169,-6.9448723470021765,107.54453771714195,98,98,98,98
170,-6.9448713757650715,107.54471859200413,98,98,98,98
171,-6.944870404459111,107.54489946684042,62,71,88,91
172,-6.944869433084293,107.54508034165079,62,71,88,91
173,-6.944868461640619,107.54526121643522,62,71,88,91
174,-6.944867490128086,107.54544209119375,62,71,88,91
175,-6.944866518546697,107.54562296592636,98,98,98,98
176,-6.944865546896453,107.54580384063304,45,66,77,83
177,-6.944864575177352,107.54598471531379,57,72,81,86
178,-6.9448636033893925,107.54616558996862,57,72,81,86
179,-6.944862631532578,107.54634646459752,57,72,81,86
180,-6.945056000533558,107.54399606413271,98,98,98,98
181,-6.945055029477515,107.54417693914154,98,98,98,98
182,-6.945054058352612,107.54435781412447,57,72,81,86
183,-6.9450530871588505,107.54453868908148,98,98,98,98
184,-6.945052115896229,107.54471956401258,98,98,98,98
185,-6.945051144564751,107.54490043891776,62,71,88,91
