,real_names,dta_filenames
0,01 DTA Cimahi / Cihujung,01DTACimahi_Cihujung.xlsx
1,02 DTA Cibaligo/ Cimancong / Cilember,02DTACibaligo_Cimancong_Cilember.xlsx
2,03 DTA Cigondewah / Cibeureum,03DTACigondewah_Cibeureum.xlsx
3,04 DTA Ciwidey,04DTACiwidey.xlsx
4,05 DTA Ciranjeng/ Cisangkuy Hulu,05DTACiranjeng_CisangkuyHulu.xlsx
5,06 DTA Citepus,06DTACitepus.xlsx
6,07 DTA Cisangkuy,07DTACisangkuy.xlsx
7,08 DTA Cikapundung,08DTACikapundung.xlsx
8,09 DTA Cicadas,09DTACicadas.xlsx
9,10 DTA Cidurian,10DTACidurian.xlsx
10,11 DTA Cipamokolan,11DTACipamokolan.xlsx
11,12 DTA Cikeruh,12DTACikeruh.xlsx
12,13 DTA Citarik,13DTACitarik.xlsx
13,14 DTA Cirasea,14DTACirasea.xlsx
14,DTA Citarum Hulu,DTACitarumHulu.xlsx
15,DTA Irigasi,DTAIrigasi.xlsx
16,DTA Saluran Irigasi,DTASaluranIrigasi.xlsx
17,DTA Cijalupang,DTACijalupang.xlsx
18,DTA Cikambuy,DTACikambuy.xlsx
19,DTA Oxbow Sapan,DTAOxbowSapan.xlsx
20,DTA Cibiuk,DTACibiuk.xlsx
21,DTA Cirangrang Ciguriang,DTACirangrangCiguriang.xlsx
22,DTA NN 4,DTANN4.xlsx
23,DTA Cipanya,DTACipanya.xlsx
24,DTA Lokal 2,DTALokal2.xlsx
25,DTA Cimariuk,DTACimariuk.xlsx
26,DTA Ciherang,DTACiherang.xlsx
27,DTA Jolog,DTAJolog.xlsx
28,DTA KR Cieunteung,DTAKRCieunteung.xlsx
29,DTA Cigajah,DTACigajah.xlsx
30,DTA Oxbow Leuwi Nini,DTAOxbowLeuwiNini.xlsx
31,DTA Oxbow Mahmud,DTAOxbowMahmud.xlsx
32,DTA Oxbow Daraulin,DTAOxbowDaraulin.xlsx
33,DTA Lokal 1,DTALokal1.xlsx
34,DTA KR Andir,DTAKRAndir.xlsx
35,DTA Bojong Citepus,DTABojongCitepus.xlsx
36,DTA KR Citepus,DTAKRCitepus.xlsx
37,DTA Lokal 7,DTALokal7.xlsx
38,DTA Lokal 6,DTALokal6.xlsx
39,DTA Cibojong,DTACibojong.xlsx
40,DTA Oxbow Bojongsoang,DTAOxbowBojongsoang.xlsx
41,DTA Cipalasari I,DTACipalasariI.xlsx
42,DTA Cicukang,DTACicukang.xlsx
43,DTA Cikahuripan,DTACikahuripan.xlsx
44,DTA Irigasi2,DTAIrigasi_2.xlsx
45,DTA Lokal 4,DTALokal4.xlsx
46,DTA Lokal 3,DTALokal3.xlsx
47,DTA Cicangkudu,DTACicangkudu.xlsx
48,DTA Cijambe,DTACijambe.xlsx
49,DTA Parunghalang,DTAParunghalang.xlsx
50,DTA Lokal 5,DTALokal5.xlsx
51,DTA Lokal 8,DTALokal8.xlsx
52,DTA CItunggul,DTACItunggul.xlsx
53,DTA Ciraden,DTACiraden.xlsx
54,DTA Ciharuman,DTACiharuman.xlsx
55,DTA Ciraden2,DTACiraden_2.xlsx
56,DTA Oxbow,DTAOxbow.xlsx
57,DTA Lembang Haur,DTALembangHaur.xlsx
58,DTA Oxbow Leuwi Uyah / Polder Sapan,DTAOxbowLeuwiUyah_PolderSapan.xlsx
